iter	Passed	Remaining
0	176	52684
1	188	28055
2	201	19940
3	214	15856
4	227	13436
5	239	11753
6	248	10407
7	257	9409
8	265	8577
9	271	7865
10	277	7284
11	283	6801
12	291	6427
13	297	6080
14	303	5767
15	309	5487
16	315	5247
17	321	5031
18	327	4849
19	333	4674
20	339	4512
21	345	4371
22	351	4236
23	357	4108
24	362	3990
25	368	3884
26	374	3788
27	380	3700
28	387	3623
29	393	3543
30	400	3471
31	408	3420
32	415	3362
33	422	3305
34	429	3248
35	436	3198
36	442	3144
37	448	3093
38	454	3043
39	460	2994
40	466	2950
41	472	2905
42	479	2864
43	485	2826
44	491	2785
45	497	2748
46	503	2711
47	509	2675
48	515	2639
49	521	2606
50	527	2573
51	532	2541
52	539	2514
53	545	2486
54	552	2459
55	559	2437
56	565	2408
57	570	2382
58	577	2358
59	582	2331
60	589	2308
61	594	2283
62	602	2268
63	609	2247
64	615	2225
65	620	2199
66	626	2177
67	632	2157
68	639	2140
69	645	2121
70	652	2104
71	658	2086
72	665	2068
73	672	2052
74	680	2040
75	686	2024
76	692	2006
77	699	1990
78	705	1974
79	712	1958
80	717	1940
81	723	1924
82	729	1908
83	736	1892
84	742	1879
85	748	1863
86	755	1850
87	761	1835
88	768	1821
89	774	1807
90	781	1794
91	787	1781
92	793	1766
93	800	1754
94	806	1739
95	812	1726
96	818	1712
97	824	1698
98	830	1685
99	836	1672
100	842	1660
101	849	1648
102	854	1635
103	861	1623
104	867	1611
105	875	1603
106	881	1590
107	887	1578
108	893	1565
109	899	1553
110	905	1542
111	912	1531
112	917	1519
113	923	1506
114	929	1494
115	937	1486
116	943	1475
117	949	1464
118	954	1452
119	959	1439
120	965	1428
121	972	1418
122	978	1407
123	985	1398
124	992	1389
125	1000	1381
126	1007	1372
127	1014	1362
128	1020	1352
129	1027	1343
130	1033	1333
131	1039	1323
132	1045	1312
133	1051	1302
134	1059	1295
135	1067	1287
136	1075	1279
137	1079	1267
138	1084	1256
139	1090	1246
140	1097	1237
141	1104	1228
142	1110	1218
143	1116	1209
144	1124	1201
145	1132	1194
146	1139	1186
147	1148	1179
148	1155	1170
149	1163	1163
150	1172	1157
151	1179	1148
152	1186	1140
153	1196	1134
154	1203	1125
155	1209	1116
156	1215	1107
157	1223	1099
158	1229	1090
159	1236	1081
160	1243	1073
161	1251	1065
162	1259	1058
163	1266	1050
164	1274	1042
165	1281	1034
166	1289	1027
167	1297	1019
168	1304	1010
169	1311	1002
170	1320	996
171	1326	987
172	1332	978
173	1339	969
174	1344	960
175	1351	951
176	1357	943
177	1364	935
178	1370	926
179	1377	918
180	1382	909
181	1389	900
182	1396	892
183	1402	884
184	1408	875
185	1415	867
186	1421	859
187	1427	850
188	1434	842
189	1440	834
190	1446	825
191	1453	817
192	1459	809
193	1466	801
194	1473	793
195	1479	785
196	1486	777
197	1493	769
198	1499	760
199	1508	754
200	1515	746
201	1521	738
202	1527	729
203	1533	721
204	1539	713
205	1545	705
206	1551	697
207	1556	688
208	1562	680
209	1568	672
210	1574	664
211	1580	656
212	1589	649
213	1595	641
214	1601	633
215	1607	625
216	1614	617
217	1620	609
218	1627	601
219	1632	593
220	1639	585
221	1646	578
222	1652	570
223	1659	562
224	1665	555
225	1671	547
226	1677	539
227	1684	531
228	1690	523
229	1695	516
230	1702	508
231	1710	501
232	1716	493
233	1723	486
234	1729	478
235	1735	470
236	1742	463
237	1748	455
238	1754	447
239	1760	440
240	1767	432
241	1774	425
242	1780	417
243	1786	410
244	1792	402
245	1799	394
246	1805	387
247	1811	379
248	1817	372
249	1822	364
250	1828	356
251	1834	349
252	1840	342
253	1848	334
254	1855	327
255	1861	319
256	1867	312
257	1873	304
258	1878	297
259	1884	289
260	1891	282
261	1897	275
262	1903	267
263	1910	260
264	1917	253
265	1923	245
266	1929	238
267	1936	231
268	1941	223
269	1948	216
270	1955	209
271	1961	201
272	1969	194
273	1975	187
274	1981	180
275	1987	172
276	1993	165
277	2000	158
278	2006	150
279	2012	143
280	2019	136
281	2025	129
282	2031	122
283	2038	114
284	2046	107
285	2052	100
286	2059	93
287	2067	86
288	2074	78
289	2080	71
290	2086	64
291	2094	57
292	2101	50
293	2107	43
294	2114	35
295	2119	28
296	2126	21
297	2131	14
298	2138	7
299	2145	0
