date,open,high,low,close,volume
2019-09-05,5500.0,5500.0,5450.0,5470.0,625327
2019-09-06,5470.0,5500.0,5400.0,5450.0,516662
2019-09-09,5420.0,5470.0,5400.0,5450.0,369511
2019-09-10,5450.0,5450.0,5370.0,5400.0,821441
2019-09-11,5400.0,5420.0,5370.0,5420.0,429890
2019-09-12,5450.0,5520.0,5420.0,5520.0,622048
2019-09-13,5540.0,5620.0,5500.0,5620.0,1325067
2019-09-16,5620.0,5640.0,5540.0,5570.0,1238267
2019-09-17,5570.0,5570.0,5500.0,5540.0,1189898
2019-09-18,5540.0,5620.0,5520.0,5570.0,1542208
2019-09-19,5570.0,5770.0,5540.0,5740.0,3421555
2019-09-20,5840.0,6320.0,5740.0,5770.0,2535289
2019-09-23,5770.0,5870.0,5740.0,5790.0,2878182
2019-09-24,5790.0,5820.0,5740.0,5770.0,1324749
2019-09-25,5740.0,5770.0,5690.0,5720.0,1522720
2019-09-26,5720.0,5790.0,5690.0,5790.0,2320597
2019-09-27,6220.0,6220.0,5770.0,5770.0,2163685
2019-09-30,5790.0,5870.0,5770.0,5820.0,2304040
2019-10-01,5820.0,5890.0,5790.0,5890.0,1846967
2019-10-02,5840.0,5920.0,5840.0,5870.0,2160049
2019-10-03,5840.0,5870.0,5790.0,5870.0,1856827
2019-10-04,5870.0,5920.0,5840.0,5870.0,1582366
2019-10-07,5870.0,5870.0,5770.0,5770.0,1931392
2019-10-08,5770.0,5820.0,5740.0,5790.0,1159716
2019-10-09,5820.0,5890.0,5790.0,5890.0,1715656
2019-10-10,5890.0,6040.0,5890.0,5970.0,4857384
2019-10-11,5970.0,6020.0,5940.0,5970.0,1525076
2019-10-14,5970.0,6090.0,5970.0,6090.0,3538655
2019-10-15,6090.0,6120.0,6040.0,6070.0,2327203
2019-10-16,6090.0,6120.0,6070.0,6070.0,2073772
2019-10-17,6040.0,6070.0,5990.0,6070.0,1915729
2019-10-18,6090.0,6090.0,5970.0,5990.0,1865732
2019-10-21,5970.0,6020.0,5820.0,5820.0,2742188
2019-10-22,5820.0,5840.0,5790.0,5840.0,1660272
2019-10-23,5840.0,5890.0,5840.0,5840.0,983685
2019-10-24,5870.0,5870.0,5820.0,5870.0,921275
2019-10-25,5870.0,5870.0,5820.0,5870.0,1105479
2019-10-28,5870.0,5940.0,5870.0,5890.0,1090296
2019-10-29,5920.0,5940.0,5870.0,5890.0,1702377
2019-10-30,5920.0,6070.0,5870.0,6040.0,7431303
2019-10-31,6040.0,6070.0,5590.0,5990.0,1293107
2019-11-01,5890.0,6040.0,5890.0,6020.0,1907428
2019-11-04,6020.0,6140.0,6020.0,6120.0,3939389
2019-11-05,6140.0,6190.0,6120.0,6120.0,3578931
2019-11-06,6170.0,6170.0,6090.0,6120.0,2507149
2019-11-07,6120.0,6140.0,6090.0,6120.0,2102499
2019-11-08,6190.0,6240.0,6120.0,6170.0,3921492
2019-11-11,6170.0,6190.0,6140.0,6140.0,1719955
2019-11-12,6140.0,6140.0,6090.0,6140.0,1574994
2019-11-13,6140.0,6290.0,6140.0,6220.0,3575361
2019-11-14,6220.0,6240.0,6090.0,6090.0,2291325
2019-11-15,6070.0,6120.0,6070.0,6070.0,1652242
2019-11-18,6070.0,6090.0,5970.0,5990.0,2764302
2019-11-19,5990.0,6020.0,5970.0,6020.0,1398481
2019-11-20,6040.0,6040.0,5940.0,5940.0,1357644
2019-11-21,5470.0,5990.0,5470.0,5970.0,1782516
