date,open,high,low,close,volume
2021-12-03,7670.0,7670.0,7670.0,7670.0,100
2021-12-06,8200.0,8200.0,8200.0,8200.0,200
2021-12-07,8760.0,8760.0,8760.0,8760.0,400
2021-12-08,9370.0,9370.0,9370.0,9370.0,5200
2021-12-09,10020.0,10020.0,10020.0,10020.0,2200
2021-12-10,10710.0,10710.0,10710.0,10710.0,33200
2021-12-13,11450.0,11450.0,11450.0,11450.0,5200
2021-12-14,12240.0,12240.0,12240.0,12240.0,156800
2021-12-15,13090.0,13090.0,12790.0,13090.0,914200
2021-12-16,14000.0,14000.0,13940.0,14000.0,888600
2021-12-17,14960.0,14980.0,13750.0,13750.0,2709700
2021-12-20,13680.0,13880.0,13300.0,13680.0,1388900
2021-12-21,13750.0,13940.0,13270.0,13410.0,1237100
2021-12-22,13430.0,13620.0,13330.0,13490.0,1718000
2021-12-23,13430.0,13910.0,13430.0,13520.0,970700
2021-12-24,13910.0,14070.0,13520.0,13670.0,1133100
2021-12-27,13750.0,14610.0,13750.0,14230.0,880900
2021-12-28,14770.0,14770.0,13920.0,14070.0,1241200
2021-12-29,14130.0,14230.0,13590.0,13590.0,690500
2021-12-30,13650.0,13880.0,13520.0,13560.0,1026400
2021-12-31,13720.0,13780.0,13140.0,13140.0,1539000
2022-01-04,13170.0,14050.0,12790.0,14050.0,17419300
2022-01-05,15030.0,15030.0,15030.0,15030.0,122800
2022-01-06,16050.0,16050.0,15510.0,16050.0,3017500
2022-01-07,16140.0,17170.0,15920.0,17170.0,1781200
2022-01-10,17360.0,17710.0,16940.0,17360.0,1540400
2022-01-11,17390.0,17520.0,16940.0,17040.0,1317000
2022-01-12,17040.0,18220.0,16940.0,18220.0,2089800
2022-01-13,18540.0,19470.0,18540.0,19470.0,3293400
2022-01-14,19470.0,19570.0,18990.0,19210.0,2041400
2022-01-17,19210.0,19370.0,18190.0,19020.0,2034300
2022-01-18,18860.0,19600.0,18540.0,19180.0,1882500
2022-01-19,19500.0,19820.0,19180.0,19500.0,2827500
2022-01-20,19340.0,19660.0,18730.0,19050.0,1812100
2022-01-21,18700.0,19020.0,18540.0,18640.0,1385500
2022-01-24,18510.0,18510.0,17360.0,17360.0,1098500
2022-01-25,16620.0,17650.0,16140.0,17580.0,3022400
2022-01-26,17740.0,17970.0,17100.0,17390.0,1282600
2022-01-27,17260.0,17490.0,16720.0,17230.0,925900
2022-01-28,17070.0,17200.0,16300.0,17200.0,888400
2022-02-07,17300.0,17580.0,17300.0,17580.0,909900
2022-02-08,17710.0,18030.0,17260.0,17740.0,1541700
2022-02-09,17840.0,17940.0,17330.0,17420.0,1148500
2022-02-10,17420.0,17740.0,17260.0,17710.0,1010000
2022-02-11,17840.0,17840.0,17260.0,17580.0,948400
2022-02-14,17260.0,17710.0,17260.0,17520.0,993200
2022-02-15,17740.0,17780.0,17300.0,17300.0,730700
2022-02-16,17390.0,18160.0,17260.0,18160.0,2275600
2022-02-17,18220.0,19050.0,18220.0,18830.0,1763900
2022-02-18,18830.0,19180.0,18290.0,18540.0,1412800
2022-02-21,18540.0,18610.0,18030.0,18220.0,1033000
2022-02-22,18060.0,18060.0,17550.0,17580.0,985400
2022-02-23,17580.0,18250.0,17390.0,18060.0,1353700
2022-02-24,17970.0,18060.0,17580.0,18000.0,1402100
2022-02-25,18100.0,18640.0,18030.0,18510.0,1958200
2022-02-28,18570.0,18570.0,18160.0,18220.0,950600
2022-03-01,18130.0,18250.0,17900.0,18130.0,839500
2022-03-02,18350.0,18540.0,18220.0,18380.0,1075300
2022-03-03,18410.0,19660.0,18410.0,19660.0,2938400
2022-03-04,19820.0,20240.0,19630.0,20050.0,1663500
2022-03-07,19890.0,20300.0,19690.0,19890.0,1373100
2022-03-08,19660.0,19660.0,18930.0,18930.0,1567000
2022-03-09,18700.0,18990.0,18290.0,18890.0,1673500
2022-03-10,19150.0,19920.0,18190.0,18960.0,2118800
2022-03-11,19020.0,19890.0,18860.0,19760.0,2110900
2022-03-14,19980.0,20240.0,19730.0,19980.0,1281400
2022-03-15,19980.0,20780.0,19820.0,20430.0,2000200
2022-03-16,20460.0,20620.0,19920.0,19980.0,1007600
2022-03-17,19950.0,20650.0,19760.0,20560.0,1976700
2022-03-18,20590.0,21290.0,20330.0,20360.0,1931000
2022-03-21,20360.0,20460.0,19820.0,19950.0,1021500
2022-03-22,19950.0,19950.0,19600.0,19760.0,849500
2022-03-23,19790.0,19920.0,19530.0,19850.0,745300
2022-03-24,19890.0,20300.0,19730.0,20010.0,1253900
2022-03-25,20110.0,20240.0,19950.0,20110.0,667400
2022-03-28,19980.0,20110.0,19660.0,19820.0,731000
2022-03-29,19730.0,20080.0,19440.0,19760.0,1300800
2022-03-30,19500.0,19730.0,19180.0,19180.0,635900
2022-03-31,19280.0,19980.0,19250.0,19820.0,1447300
2022-04-01,19760.0,19980.0,19690.0,19980.0,791000
2022-04-04,19820.0,20300.0,19600.0,19980.0,1086300
2022-04-05,20080.0,20140.0,19690.0,19950.0,764600
2022-04-06,19820.0,20110.0,19690.0,19690.0,777300
2022-04-07,19660.0,19950.0,19280.0,19340.0,1044000
2022-04-08,19410.0,19630.0,19120.0,19120.0,895800
2022-04-12,19210.0,19370.0,19120.0,19120.0,890800
2022-04-13,18990.0,19920.0,18700.0,19920.0,1982800
2022-04-14,19950.0,19980.0,19530.0,19600.0,958800
2022-04-15,19500.0,19730.0,19340.0,19470.0,815100
2022-04-18,19500.0,19630.0,19180.0,19470.0,775500
2022-04-19,19500.0,19530.0,18640.0,19310.0,1013600
2022-04-20,19250.0,19310.0,18220.0,18220.0,750500
2022-04-21,18060.0,18450.0,16980.0,18410.0,1967600
2022-04-22,18410.0,18770.0,17780.0,18220.0,630600
2022-04-25,18220.0,18290.0,16980.0,16980.0,379400
2022-04-26,16940.0,17010.0,15860.0,17010.0,926200
2022-04-27,17040.0,18190.0,17040.0,18190.0,2148800
2022-04-28,18540.0,19310.0,18450.0,18610.0,1096500
2022-04-29,18700.0,18730.0,18100.0,18570.0,639800
2022-05-04,18510.0,18640.0,18160.0,18510.0,757000
2022-05-05,18800.0,18830.0,17940.0,17940.0,615700
2022-05-06,18060.0,18250.0,17520.0,17650.0,915400
2022-05-09,17650.0,18240.0,17560.0,17560.0,608900
2022-05-10,17350.0,18760.0,16470.0,18760.0,2561800
2022-05-11,18820.0,19710.0,18820.0,19470.0,1599800
2022-05-12,19470.0,19470.0,18820.0,19060.0,1114000
2022-05-13,18850.0,19000.0,18530.0,18820.0,622700
2022-05-16,18820.0,19760.0,18820.0,19530.0,1760000
2022-05-17,19650.0,20530.0,19120.0,20530.0,1924900
2022-05-18,20410.0,20820.0,20000.0,20230.0,1428800
2022-05-19,20000.0,20590.0,19590.0,20180.0,1033200
2022-05-20,20290.0,20620.0,20150.0,20350.0,996300
2022-05-23,20350.0,20470.0,20230.0,20350.0,763300
2022-05-24,20350.0,21760.0,20000.0,21760.0,3355800
2022-05-25,22060.0,22530.0,22030.0,22530.0,1825800
2022-05-26,22410.0,22760.0,22060.0,22290.0,1342200
2022-05-27,22290.0,22620.0,21970.0,22150.0,1618000
2022-05-30,22090.0,22410.0,21760.0,22210.0,1607800
2022-05-31,22260.0,22290.0,20680.0,20760.0,2227400
2022-06-01,20290.0,21710.0,20210.0,21350.0,1871600
2022-06-02,21410.0,21530.0,20230.0,20350.0,1104400
2022-06-03,20230.0,20350.0,19410.0,19710.0,1286600
2022-06-06,19590.0,19620.0,18650.0,18790.0,1838500
2022-06-07,18760.0,19680.0,18350.0,19680.0,1159600
2022-06-08,19820.0,20150.0,19820.0,20000.0,863000
2022-06-09,20120.0,20120.0,19120.0,19410.0,755900
2022-06-10,19350.0,19350.0,18740.0,18880.0,1196300
2022-06-13,18320.0,18440.0,17620.0,17620.0,1606000
2022-06-14,17410.0,18210.0,17060.0,17650.0,1492300
2022-06-15,17470.0,18290.0,17470.0,18180.0,1613900
2022-06-16,18650.0,18650.0,18060.0,18180.0,1224200
2022-06-17,18000.0,18240.0,17740.0,18000.0,1340100
2022-06-20,17970.0,18650.0,17060.0,17680.0,1331600
2022-06-21,18180.0,18530.0,17620.0,17650.0,1287200
2022-06-22,17560.0,18260.0,17350.0,18000.0,1895300
2022-06-23,18240.0,18320.0,17530.0,17850.0,2268100
2022-06-24,17940.0,18320.0,17680.0,18000.0,1934600
2022-06-27,18000.0,19240.0,17880.0,19240.0,2937900
2022-06-28,19470.0,20230.0,19470.0,19880.0,2923400
2022-06-29,19760.0,20000.0,19590.0,19820.0,2256700
2022-06-30,20000.0,20230.0,19470.0,19530.0,1787300
2022-07-01,19560.0,20760.0,19500.0,20530.0,3885300
2022-07-04,20790.0,21230.0,20210.0,20210.0,2757000
2022-07-05,20350.0,21000.0,19820.0,20410.0,2339400
2022-07-06,20530.0,20970.0,20120.0,20590.0,3718100
2022-07-07,20380.0,20880.0,20320.0,20730.0,2610400
2022-07-08,21060.0,21210.0,20180.0,20850.0,2448500
2022-07-11,20940.0,21880.0,20710.0,21530.0,3150100
2022-07-12,21560.0,22710.0,21470.0,22470.0,3634500
2022-07-13,22380.0,22470.0,21760.0,21760.0,2565300
2022-07-14,21590.0,21880.0,20910.0,21820.0,2989000
2022-07-15,21820.0,21820.0,21180.0,21680.0,2003100
2022-07-18,21760.0,22590.0,21760.0,22380.0,4048800
2022-07-19,22180.0,22440.0,21880.0,22000.0,2126200
2022-07-20,22180.0,22410.0,21530.0,21680.0,3291100
2022-07-21,21530.0,21560.0,20180.0,20180.0,3521400
2022-07-22,19820.0,20380.0,19240.0,20210.0,3224300
2022-07-25,20260.0,20590.0,20060.0,20260.0,1843600
2022-07-26,20000.0,20290.0,19760.0,19760.0,1474300
2022-07-27,19620.0,19850.0,19060.0,19850.0,2409700
2022-07-28,19940.0,20350.0,19820.0,20060.0,3607600
2022-07-29,19710.0,20120.0,19290.0,19650.0,2586700
2022-08-01,19410.0,19410.0,18290.0,19030.0,3865900
2022-08-02,18910.0,19290.0,18290.0,18910.0,3273300
2022-08-03,19000.0,19590.0,18760.0,19590.0,3251500
2022-08-04,19590.0,19620.0,19060.0,19210.0,2340400
2022-08-05,19210.0,19470.0,19000.0,19290.0,1873900
2022-08-08,19290.0,19380.0,18530.0,18530.0,2736100
2022-08-09,18120.0,18880.0,17940.0,18880.0,5039300
2022-08-10,18850.0,19240.0,18210.0,18850.0,3285800
2022-08-11,18850.0,19120.0,18470.0,18590.0,3272900
2022-08-12,18590.0,18590.0,17880.0,18240.0,5335800
2022-08-15,18410.0,18790.0,18210.0,18710.0,3251400
2022-08-16,18850.0,18880.0,17970.0,18240.0,4839800
2022-08-17,18240.0,18440.0,17380.0,17530.0,5249200
2022-08-18,17530.0,17710.0,16910.0,16970.0,4337500
2022-08-19,16710.0,17710.0,16500.0,17710.0,5770700
2022-08-22,17710.0,17710.0,17290.0,17530.0,2731600
2022-08-23,17350.0,17620.0,17120.0,17620.0,2281000
2022-08-24,17680.0,17940.0,17410.0,17410.0,3863000
2022-08-25,17470.0,17820.0,17120.0,17210.0,2680000
2022-08-26,17240.0,17760.0,16940.0,17760.0,3273300
2022-08-29,17590.0,17790.0,17120.0,17710.0,3801500
2022-08-30,17760.0,18150.0,17380.0,17760.0,3941900
2022-08-31,17650.0,18060.0,17410.0,17410.0,4273200
2022-09-05,17470.0,17790.0,16650.0,16650.0,5241000
2022-09-06,16320.0,17240.0,16320.0,16710.0,4286500
2022-09-07,16790.0,16940.0,16470.0,16680.0,2485300
2022-09-08,16760.0,17000.0,15880.0,16379.999999999998,5434000
2022-09-09,16790.0,16790.0,15650.0,15850.0,3547900
2022-09-12,15620.0,16210.0,15620.0,15910.0,1916469
