date,open,high,low,close,volume
2019-09-12,20930.0,21150.0,20740.0,21090.0,1763420
2019-09-13,21200.0,21750.0,21060.0,21750.0,2303060
2019-09-16,21750.0,22270.0,21720.0,21830.0,1250810
2019-09-17,21670.0,22370.0,21500.0,22370.0,1566850
2019-09-18,22320.0,22510.0,22130.0,22460.0,1630310
2019-09-19,22480.0,22510.0,22240.0,22270.0,1029490
2019-09-20,22270.0,22430.0,21720.0,21830.0,2204400
2019-09-23,21670.0,22100.0,21610.0,21640.0,1089550
2019-09-24,21720.0,21830.0,21530.0,21530.0,821180
2019-09-25,21420.0,21770.0,21230.0,21770.0,1445080
2019-09-26,21770.0,22210.0,21770.0,21910.0,888310
2019-09-27,21990.0,22050.0,21860.0,21970.0,876890
2019-09-30,21940.0,22180.0,21500.0,21500.0,1429150
2019-10-01,21500.0,21830.0,21500.0,21830.0,862420
2019-10-02,21830.0,22270.0,21800.0,21940.0,1505190
2019-10-03,21720.0,22510.0,21690.0,22510.0,1939160
2019-10-04,22540.0,22730.0,22100.0,22100.0,884430
2019-10-07,22320.0,22320.0,21830.0,22050.0,807180
2019-10-08,22050.0,22430.0,21880.0,22430.0,650420
2019-10-09,22430.0,22810.0,22270.0,22510.0,1415560
2019-10-10,22510.0,22760.0,22370.0,22370.0,1054690
2019-10-11,22370.0,22480.0,22210.0,22270.0,552640
2019-10-14,22370.0,22890.0,22290.0,22460.0,1381960
2019-10-15,22370.0,22670.0,22370.0,22590.0,631810
2019-10-16,22590.0,22730.0,22460.0,22460.0,650130
2019-10-17,22570.0,22570.0,22270.0,22270.0,801110
2019-10-18,22270.0,22270.0,21830.0,21880.0,1225560
2019-10-21,21670.0,21830.0,21450.0,21450.0,1281520
2019-10-22,21450.0,21830.0,21450.0,21830.0,566150
2019-10-23,21830.0,21990.0,21750.0,21880.0,455760
2019-10-24,21880.0,22100.0,21690.0,21990.0,513170
2019-10-25,21830.0,22130.0,21720.0,21940.0,968770
2019-10-28,22430.0,22480.0,22160.0,22160.0,800080
2019-10-29,22320.0,22320.0,21830.0,22160.0,921380
2019-10-30,22100.0,22270.0,21910.0,21940.0,760410
2019-10-31,21940.0,22210.0,21860.0,22160.0,777680
2019-11-01,22100.0,22430.0,21990.0,22370.0,1180640
2019-11-04,22430.0,23170.0,22430.0,23030.0,1744250
2019-11-05,23080.0,23190.0,23000.0,23190.0,898400
2019-11-06,23110.0,23300.0,23030.0,23030.0,821030
2019-11-07,23310.0,23590.0,23030.0,23480.0,1105060
2019-11-08,23590.0,23710.0,23260.0,23310.0,729880
2019-11-11,23280.0,23650.0,23200.0,23310.0,724450
2019-11-12,23370.0,23820.0,23310.0,23760.0,1499510
2019-11-13,23820.0,24220.0,23820.0,24220.0,1804440
2019-11-14,24270.0,24270.0,23760.0,23990.0,811080
2019-11-15,24070.0,24100.0,23710.0,23710.0,627650
2019-11-18,23590.0,23820.0,23280.0,23310.0,958470
2019-11-19,23310.0,23540.0,23200.0,23510.0,676040
2019-11-20,23650.0,23650.0,23280.0,23450.0,246520
2019-11-21,23430.0,23540.0,23230.0,23260.0,611690
2019-11-22,23430.0,23430.0,22470.0,22690.0,1041320
2019-11-25,22690.0,22920.0,22300.0,22410.0,822450
2019-11-26,22750.0,22890.0,22470.0,22580.0,406540
2019-11-27,22630.0,23370.0,22630.0,23030.0,1060810
2019-11-28,23140.0,23140.0,22830.0,22950.0,396280
2019-11-29,22860.0,23090.0,22860.0,22860.0,391620
2019-12-02,22750.0,22750.0,22240.0,22240.0,702050
2019-12-03,22240.0,22610.0,22010.0,22410.0,786830
2019-12-04,22410.0,22890.0,22350.0,22780.0,352310
2019-12-05,22890.0,22920.0,22380.0,22580.0,393640
2019-12-06,22410.0,22690.0,22320.0,22380.0,374930
2019-12-09,22580.0,22580.0,22380.0,22580.0,358570
2019-12-10,22580.0,22780.0,22440.0,22520.0,415660
2019-12-11,22520.0,22630.0,22470.0,22630.0,280130
2019-12-12,22920.0,23140.0,22690.0,23140.0,724090
2019-12-13,23140.0,23680.0,23140.0,23650.0,1426060
2019-12-16,23820.0,23850.0,23430.0,23650.0,841690
2019-12-17,23590.0,23650.0,23310.0,23400.0,580480
2019-12-18,23200.0,24020.0,23200.0,23710.0,1478200
2019-12-19,23760.0,23960.0,23370.0,23820.0,702550
2019-12-20,23710.0,24160.0,23710.0,24130.0,712940
2019-12-23,24130.0,25370.0,24130.0,25260.0,2442660
2019-12-24,25150.0,25490.0,25010.0,25340.0,741520
2019-12-25,24890.0,25540.0,24890.0,25510.0,585450
2019-12-26,25430.0,25600.0,24950.0,24950.0,525840
2019-12-27,24950.0,26080.0,24840.0,26080.0,1098010
2019-12-30,26130.0,26610.0,25970.0,26020.0,872650
2019-12-31,26080.0,26250.0,25910.0,26050.0,630410
2020-01-02,25970.0,26640.0,25910.0,26470.0,872620
2020-01-03,26730.0,26810.0,26360.0,26360.0,603940
2020-01-06,26250.0,26360.0,25850.0,25850.0,794490
2020-01-07,25850.0,26360.0,25510.0,26360.0,526890
2020-01-08,25970.0,27040.0,25850.0,26590.0,1230830
2020-01-09,26950.0,28170.0,26870.0,28030.0,1573190
2020-01-10,28030.0,29350.0,28000.0,28960.0,1506410
2020-01-13,28220.0,29070.0,27940.0,28280.0,544740
2020-01-14,28280.0,29070.0,28170.0,28280.0,752200
2020-01-15,28170.0,28960.0,28170.0,28790.0,695290
2020-01-16,28790.0,30540.0,28790.0,30480.0,1004080
2020-01-17,30540.0,30820.0,29970.0,30200.0,643490
2020-01-20,30200.0,30590.0,30030.0,30090.0,761650
2020-01-21,30090.0,30760.0,30090.0,30480.0,609600
2020-01-22,30480.0,31500.0,30370.0,31330.0,781390
2020-01-30,30760.0,30990.0,29350.0,29750.0,1388710
2020-01-31,29520.0,30250.0,29070.0,29070.0,1154570
2020-02-03,28110.0,31050.0,27040.0,30200.0,1562560
2020-02-04,30710.0,30880.0,30250.0,30710.0,1406270
2020-02-05,30990.0,31160.0,30200.0,30200.0,718710
2020-02-06,30420.0,30540.0,29920.0,30030.0,1469930
2020-02-07,29750.0,30090.0,29130.0,29180.0,1501140
