date,open,high,low,close,volume
2019-09-04,4100.0,4280.0,4100.0,4270.0,13300
2019-09-05,4300.0,4300.0,4220.0,4270.0,2560
2019-09-06,4270.0,4270.0,4240.0,4240.0,510
2019-09-09,4220.0,4220.0,3980.0,4190.0,9060
2019-09-10,4160.0,4220.0,4070.000000000001,4220.0,24980
2019-09-11,4220.0,4220.0,4220.0,4220.0,630
2019-09-12,4220.0,4220.0,4220.0,4220.0,890
2019-09-13,4220.0,4230.0,4100.0,4230.0,6570
2019-09-16,4300.0,4300.0,4240.0,4250.0,17120
2019-09-17,4160.0,4280.0,4040.0,4250.0,2210
2019-09-18,4250.0,4250.0,4250.0,4250.0,18220
2019-09-19,4280.0,4280.0,4240.0,4250.0,12110
2019-09-20,4280.0,4300.0,4280.0,4280.0,4970
2019-09-23,4280.0,4280.0,4220.0,4220.0,2710
2019-09-24,4280.0,4280.0,4080.0,4210.0,3910
2019-09-25,4220.0,4220.0,4120.0,4220.0,28910
2019-09-26,4220.0,4220.0,4130.0,4150.0,22610
2019-09-27,4220.0,4220.0,4160.0,4220.0,12870
2019-09-30,4220.0,4280.0,4220.0,4250.0,9670
2019-10-01,4250.0,4280.0,4100.0,4280.0,2450
2019-10-02,4250.0,4250.0,4250.0,4250.0,1790
2019-10-03,4250.0,4250.0,4120.0,4120.0,11770
2019-10-04,4240.0,4240.0,4220.0,4240.0,2350
2019-10-07,4280.0,4280.0,4170.0,4250.0,14210
2019-10-08,4250.0,4250.0,4150.0,4220.0,3000
2019-10-09,4160.0,4220.0,4160.0,4210.0,2290
2019-10-10,4220.0,4220.0,4130.0,4210.0,760
2019-10-11,4210.0,4210.0,4200.0,4200.0,1230
2019-10-14,4160.0,4200.0,4160.0,4200.0,3530
2019-10-15,4270.0,4270.0,4170.0,4170.0,14820
2019-10-16,4160.0,4220.0,4140.0,4220.0,1240
2019-10-17,4220.0,4220.0,3980.0,3980.0,30600
2019-10-18,4160.0,4160.0,4040.0,4040.0,13590
2019-10-21,4160.0,4160.0,4050.0,4100.0,41260
2019-10-22,4100.0,4160.0,4100.0,4160.0,4750
2019-10-23,4190.0,4190.0,4080.0,4160.0,2460
2019-10-24,4050.0,4160.0,4050.0,4060.0,11310
2019-10-25,4190.0,4190.0,4070.000000000001,4130.0,5780
2019-10-28,4100.0,4160.0,4060.0,4060.0,5500
2019-10-29,4150.0,4150.0,4020.0,4050.0,9960
2019-10-30,4150.0,4150.0,3980.0,4140.0,27100
2019-10-31,4140.0,4140.0,4140.0,4140.0,5040
2019-11-01,4130.0,4130.0,4070.000000000001,4100.0,13530
2019-11-04,3990.0,4120.0,3990.0,4100.0,2970
2019-11-05,4100.0,4100.0,4050.0,4100.0,10030
2019-11-06,4160.0,4160.0,4100.0,4150.0,4050
2019-11-07,4040.0,4150.0,4040.0,4130.0,7410
2019-11-08,4130.0,4220.0,4130.0,4190.0,45280
2019-11-11,4190.0,4190.0,4160.0,4160.0,2500
2019-11-12,4160.0,4160.0,4130.0,4160.0,13690
2019-11-13,4160.0,4190.0,4150.0,4190.0,24550
2019-11-14,4190.0,4280.0,4190.0,4280.0,23540
2019-11-15,4280.0,4310.0,4280.0,4280.0,11680
2019-11-18,4280.0,4310.0,4220.0,4280.0,19830
2019-11-19,4220.0,4220.0,4220.0,4220.0,560
2019-11-20,4210.0,4260.0,4210.0,4220.0,13430
2019-11-21,4310.0,4310.0,4220.0,4220.0,2570
2019-11-22,4310.0,4310.0,4220.0,4220.0,14720
2019-11-25,4230.0,4230.0,4210.0,4210.0,5490
2019-11-26,4210.0,4210.0,4100.0,4210.0,10690
2019-11-27,4100.0,4220.0,4100.0,4220.0,13970
2019-11-28,4280.0,4280.0,4210.0,4210.0,5650
2019-11-29,4220.0,4220.0,4220.0,4220.0,1880
2019-12-02,4220.0,4220.0,4220.0,4220.0,870
2019-12-03,4220.0,4220.0,4160.0,4160.0,20400
2019-12-04,4120.0,4280.0,4120.0,4280.0,41900
2019-12-05,4280.0,4310.0,4240.0,4250.0,22620
2019-12-06,4250.0,4270.0,4250.0,4270.0,25810
2019-12-09,4270.0,4340.0,4270.0,4340.0,39100
2019-12-10,4400.0,4430.0,4340.0,4370.0,171980
2019-12-11,4430.0,4560.0,4370.0,4530.0,143770
2019-12-12,4590.0,4830.0,4590.0,4800.0,84830
2019-12-13,4830.0,4940.0,4800.0,4930.0,55120
2019-12-16,4770.0,4920.0,4770.0,4890.0,38810
2019-12-17,4890.0,4890.0,4770.0,4770.0,78410
2019-12-18,4830.0,4830.0,4770.0,4800.0,49050
2019-12-19,4820.0,4820.0,4720.0,4720.0,26230
2019-12-20,4830.0,4870.0,4770.0,4830.0,45990
2019-12-23,4830.0,4890.0,4640.0,4830.0,47260
2019-12-24,4830.0,4890.0,4740.0,4830.0,18220
2019-12-25,4830.0,4830.0,4830.0,4830.0,68110
2019-12-26,4740.0,4870.0,4650.0,4830.0,30790
2019-12-27,4830.0,5170.0,4830.0,5070.0,49710
2019-12-30,5220.0,5220.0,5070.0,5140.0,56040
2019-12-31,5140.0,5150.0,4830.0,5060.0,85160
2020-01-02,4830.0,5050.0,4830.0,5050.0,20940
2020-01-03,5090.0,5090.0,4830.0,4830.0,28830
2020-01-06,4800.0,4960.0,4800.0,4830.0,30180
2020-01-07,5030.0,5030.0,4830.0,4830.0,50180
2020-01-08,4740.0,4890.0,4740.0,4830.0,10790
2020-01-09,4900.0,4900.0,4770.0,4830.0,14510
2020-01-10,4900.0,4900.0,4790.0,4890.0,34450
2020-01-13,5160.0,5160.0,4830.0,4890.0,22160
2020-01-14,5140.0,5140.0,4870.0,4890.0,24550
2020-01-15,4900.0,4900.0,4890.0,4890.0,13260
2020-01-16,4890.0,4890.0,4840.0,4860.0,32830
2020-01-17,4860.0,5160.0,4860.0,5030.0,12750
2020-01-20,4930.0,4930.0,4900.0,4900.0,5630
2020-01-21,4900.0,5160.0,4900.0,4960.0,4530
2020-01-22,5160.0,5300.0,5030.0,5300.0,125900
2020-01-30,5300.0,5670.0,5110.0,5670.0,67040
2020-01-31,6060.0,6070.0,5990.0,6070.0,86900
2020-02-03,6450.0,6450.0,6060.0,6120.0,218220
2020-02-04,6120.0,6250.0,6060.0,6150.0,85900
2020-02-05,6320.0,6320.0,6070.0,6120.0,86490
2020-02-06,6190.0,6190.0,5990.0,6150.0,117190
2020-02-07,6180.0,6190.0,6060.0,6180.0,107350
2020-02-10,6180.0,6440.0,6120.0,6190.0,190770
2020-02-11,6190.0,6250.0,6120.0,6190.0,93320
2020-02-12,6190.0,6190.0,6120.0,6160.0,10320
2020-02-13,6120.0,6160.0,5800.0,5800.0,20830
2020-02-14,6060.0,6060.0,5810.0,5900.0,28840
2020-02-17,5800.0,5930.0,5800.0,5870.0,45890
2020-02-18,5990.0,5990.0,5800.0,5800.0,20500
2020-02-19,6120.0,6210.0,5800.0,6120.0,25340
2020-02-20,6310.0,6310.0,6060.0,6190.0,43210
2020-02-21,6060.0,6120.0,5990.0,6030.0,29550
2020-02-24,6030.0,6030.0,5800.0,5800.0,16000
2020-02-25,5800.0,5870.0,5800.0,5870.0,12470
2020-02-26,5870.0,6100.0,5870.0,5900.0,4620
2020-02-27,5900.0,6110.0,5900.0,6080.0,30150
2020-02-28,6380.0,6380.0,5930.0,5990.0,12770
2020-03-02,6320.0,6320.0,5990.0,5990.0,6950
2020-03-03,5990.0,5990.0,5800.0,5870.0,7420
2020-03-04,5800.0,5930.0,5670.0,5870.0,17160
2020-03-05,5870.0,5870.0,5740.0,5800.0,13960
2020-03-06,5740.0,5800.0,5670.0,5800.0,3860
2020-03-09,5400.0,5490.0,5400.0,5400.0,36660
2020-03-10,5400.0,5770.0,5190.0,5200.0,31750
2020-03-11,5560.0,5560.0,5200.0,5480.0,23750
2020-03-12,5790.0,5790.0,5200.0,5480.0,2370
2020-03-13,5610.0,5610.0,5100.0,5480.0,4410
2020-03-16,5160.0,5350.0,5160.0,5220.0,5940
2020-03-17,5340.0,5340.0,5340.0,5340.0,1020
2020-03-18,5540.0,5720.0,5540.0,5540.0,18200
2020-03-19,5730.0,5730.0,5350.0,5480.0,1070
2020-03-20,5350.0,5670.0,5350.0,5480.0,20640
2020-03-23,5160.0,5160.0,5100.0,5110.0,2430
2020-03-24,5460.0,5460.0,5350.0,5350.0,4020
2020-03-25,5480.0,5480.0,5030.0,5450.0,3280
2020-03-26,5080.0,5740.0,5080.0,5470.0,4090
2020-03-27,5480.0,5480.0,5120.0,5120.0,1020
2020-03-30,5470.0,5470.0,5470.0,5470.0,10
2020-03-31,5350.0,5350.0,5090.0,5160.0,10140
2020-04-01,4800.0,5410.0,4800.0,5400.0,2120
2020-04-03,5290.0,5540.0,5290.0,5470.0,1150
2020-04-06,5410.0,5800.0,5410.0,5480.0,10860
2020-04-07,5480.0,5480.0,5350.0,5350.0,4240
2020-04-08,5160.0,5350.0,5160.0,5350.0,3350
2020-04-09,5000.0,5350.0,5000.0,5350.0,40530
2020-04-10,5540.0,5540.0,5350.0,5410.0,1540
2020-04-13,5100.0,5410.0,5060.0,5160.0,29210
2020-04-14,5160.0,5280.0,5160.0,5280.0,5140
2020-04-15,5280.0,5350.0,5090.0,5350.0,3520
2020-04-16,5320.0,5320.0,5160.0,5160.0,8880
2020-04-17,5410.0,5410.0,5220.0,5270.0,5740
2020-04-20,5640.0,5640.0,5230.0,5230.0,17560
2020-04-21,5230.0,5350.0,5230.0,5250.0,23930
2020-04-22,5090.0,5290.0,5090.0,5270.0,1720
2020-04-23,5470.0,5470.0,5220.0,5220.0,29870
2020-04-24,5160.0,5160.0,5100.0,5120.0,9000
2020-04-27,5090.0,5160.0,5030.0,5030.0,21570
2020-04-28,5160.0,5160.0,5030.0,5160.0,11690
2020-04-29,5150.0,5160.0,5060.0,5160.0,6340
2020-05-04,5240.0,5240.0,4830.0,4900.0,21270
2020-05-05,4900.0,5090.0,4900.0,4960.0,5880
2020-05-06,5090.0,5090.0,4930.0,5080.0,20560
2020-05-07,5030.0,5160.0,4970.0,5090.0,22760
2020-05-08,4920.0,5160.0,4910.0,5090.0,75820
2020-05-11,4900.0,5150.0,4900.0,5090.0,2610
2020-05-12,4910.0,5090.0,4910.0,5080.0,4790
2020-05-13,5060.0,5060.0,4720.0,5030.0,49820
2020-05-14,4830.0,5160.0,4830.0,5090.0,11920
2020-05-15,5090.0,5120.0,5080.0,5080.0,6490
2020-05-18,5070.0,5070.0,4910.0,4910.0,12900
2020-05-19,4910.0,5030.0,4910.0,5030.0,280
2020-05-20,4920.0,5030.0,4920.0,5030.0,320
2020-05-21,4900.0,5040.0,4900.0,4960.0,4610
