date,open,high,low,close,volume
2019-08-30,5260.0,5550.0,5210.0,5430.0,2110682
2019-09-03,5430.0,5490.0,5260.0,5380.0,1085394
2019-09-04,5380.0,5380.0,5210.0,5210.0,825920
2019-09-05,5260.0,5380.0,5150.0,5260.0,1147710
2019-09-06,5260.0,5260.0,5150.0,5210.0,497604
2019-09-09,5210.0,5260.0,5150.0,5150.0,665714
2019-09-10,5210.0,5210.0,5030.0,5090.0,1237555
2019-09-11,5090.0,5090.0,4920.0,4980.0,1435413
2019-09-12,4980.0,5090.0,4980.0,4980.0,469720
2019-09-13,5030.0,5090.0,4980.0,5090.0,733450
2019-09-16,5150.0,5380.0,5150.0,5320.0,3753282
2019-09-17,5380.0,5380.0,5260.0,5260.0,991885
2019-09-18,5380.0,6060.0,5320.0,5780.0,7270257
2019-09-19,5780.0,5830.0,5550.0,5660.0,2378270
2019-09-20,5610.0,5660.0,5490.0,5490.0,1370145
2019-09-23,5430.0,5550.0,5320.0,5380.0,1886780
2019-09-24,5430.0,5430.0,5260.0,5320.0,2398500
2019-09-25,5320.0,5320.0,5210.0,5260.0,809954
2019-09-26,5380.0,5430.0,5260.0,5380.0,874720
2019-09-27,5380.0,5430.0,5260.0,5320.0,1335490
2019-09-30,5320.0,5610.0,5260.0,5490.0,4429925
2019-10-01,5490.0,5550.0,5430.0,5430.0,1360255
2019-10-02,5490.0,5490.0,5320.0,5380.0,1139454
2019-10-03,5320.0,5320.0,4800.0,5260.0,1269280
2019-10-04,5260.0,5320.0,5210.0,5210.0,1016755
2019-10-07,5210.0,5380.0,5210.0,5320.0,1138130
2019-10-08,5320.0,5780.0,5320.0,5550.0,4095336
2019-10-09,5550.0,5610.0,5430.0,5550.0,1243195
2019-10-10,5490.0,5550.0,5430.0,5550.0,1328263
2019-10-11,5550.0,5780.0,5550.0,5660.0,3414347
2019-10-14,5660.0,5720.0,5490.0,5550.0,1126140
2019-10-15,5550.0,5550.0,5430.0,5490.0,1306150
2019-10-16,5550.0,5550.0,5430.0,5550.0,1321034
2019-10-17,5550.0,5550.0,5380.0,5430.0,1179110
2019-10-18,5430.0,5490.0,5380.0,5490.0,1031390
2019-10-21,5490.0,5490.0,5380.0,5430.0,1494825
2019-10-22,5430.0,5490.0,5320.0,5430.0,2009330
2019-10-23,5430.0,5550.0,5430.0,5490.0,1519570
2019-10-24,5490.0,5550.0,5430.0,5490.0,2417601
2019-10-25,5490.0,5830.0,5490.0,5660.0,4684091
2019-10-28,5660.0,5720.0,5550.0,5550.0,797791
2019-10-29,5550.0,5610.0,5490.0,5550.0,734733
2019-10-30,5550.0,5550.0,5430.0,5490.0,1323290
2019-10-31,5550.0,5720.0,5490.0,5490.0,2899950
2019-11-01,5550.0,5610.0,5490.0,5610.0,1429750
2019-11-04,5610.0,5830.0,5610.0,5720.0,4807099
2019-11-05,5720.0,5780.0,5660.0,5720.0,2141491
2019-11-06,5720.0,5830.0,5660.0,5720.0,2734645
2019-11-07,5720.0,5780.0,5610.0,5720.0,1429027
2019-11-08,5720.0,5830.0,5660.0,5720.0,1371270
2019-11-11,5720.0,5780.0,5610.0,5660.0,1142340
2019-11-12,5660.0,5780.0,5610.0,5780.0,2169688
2019-11-13,5780.0,5890.0,5660.0,5720.0,2277476
2019-11-14,5780.0,5780.0,5660.0,5780.0,2985402
2019-11-15,5780.0,5830.0,5660.0,5830.0,3078541
2019-11-18,5780.0,5950.0,5780.0,5830.0,1587295
2019-11-19,5830.0,5890.0,5780.0,5830.0,3343278
2019-11-20,5830.0,5830.0,5720.0,5780.0,883697
2019-11-21,5780.0,5830.0,5660.0,5720.0,1263300
2019-11-22,5720.0,5720.0,4920.0,5550.0,3184631
2019-11-25,5550.0,5610.0,5430.0,5490.0,1302247
2019-11-26,5550.0,5550.0,5430.0,5490.0,1263205
2019-11-27,5490.0,5550.0,5380.0,5430.0,2172019
2019-11-28,5430.0,5490.0,5320.0,5380.0,1610126
2019-11-29,5430.0,5430.0,5320.0,5380.0,638900
2019-12-02,5380.0,5380.0,5150.0,5380.0,2301082
2019-12-03,5260.0,5260.0,5090.0,5150.0,1493969
2019-12-04,5150.0,5320.0,5150.0,5260.0,1904333
2019-12-05,5320.0,5380.0,5150.0,5210.0,1877347
2019-12-06,5260.0,5260.0,5150.0,5260.0,883466
2019-12-09,5260.0,5260.0,5150.0,5210.0,826065
2019-12-10,5210.0,5210.0,5090.0,5150.0,1458479
2019-12-11,5090.0,5090.0,4860.0,4980.0,2486692
2019-12-12,4980.0,5030.0,4920.0,4980.0,1052730
2019-12-13,5090.0,5090.0,4980.0,5030.0,1005140
2019-12-16,5030.0,5030.0,4920.0,4980.0,506310
2019-12-17,4980.0,4980.0,4750.0,4860.0,2708369
2019-12-18,4860.0,4860.0,4630.0,4690.0,1775559
2019-12-19,4690.0,4750.0,4580.0,4630.0,1240446
2019-12-20,4630.0,4690.0,4580.0,4630.0,893368
2019-12-23,4630.0,4920.0,4630.0,4800.0,2040498
2019-12-24,4800.0,4800.0,4690.0,4750.0,828991
2019-12-25,4750.0,4800.0,4690.0,4750.0,506548
2019-12-26,4750.0,4750.0,4580.0,4630.0,1536611
2019-12-27,4630.0,4690.0,4580.0,4690.0,1463621
2019-12-30,4690.0,4690.0,4580.0,4630.0,876553
2019-12-31,4630.0,4750.0,4580.0,4690.0,767594
2020-01-02,4690.0,4690.0,4580.0,4690.0,1232420
2020-01-03,4690.0,4750.0,4580.0,4630.0,2024568
2020-01-06,4750.0,4860.0,4690.0,4860.0,3836947
2020-01-07,4860.0,4860.0,4690.0,4750.0,1378587
2020-01-08,4800.0,4800.0,4580.0,4630.0,3326547
2020-01-09,4630.0,4630.0,4460.0,4520.0,2652190
2020-01-10,4520.0,4520.0,4350.0,4400.0,2137026
2020-01-13,4400.0,4400.0,4180.0,4290.0,2759130
2020-01-14,4290.0,4290.0,4120.0,4230.0,1688991
2020-01-15,4230.0,4290.0,4120.0,4180.0,934445
2020-01-16,4180.0,4350.0,4120.0,4230.0,2902912
2020-01-17,4230.0,4290.0,4120.0,4180.0,1181300
2020-01-20,4180.0,4290.0,4120.0,4290.0,1126220
2020-01-21,4290.0,4860.0,4290.0,4860.0,9879031
2020-01-22,4920.0,4920.0,4750.0,4800.0,2282520
2020-01-30,4860.0,4860.0,4520.0,4690.0,2743532
2020-01-31,4630.0,4630.0,4290.0,4350.0,2822569
2020-02-03,4350.0,4350.0,3890.0,4230.0,3747796
2020-02-04,4180.0,4400.0,4180.0,4400.0,2443762
2020-02-05,4350.0,4400.0,4230.0,4350.0,923440
2020-02-06,4290.0,4520.0,4290.0,4460.0,1826752
2020-02-07,4460.0,4460.0,4350.0,4350.0,1135672
2020-02-10,4350.0,4350.0,4230.0,4290.0,1080915
2020-02-11,4290.0,4350.0,4230.0,4350.0,550993
2020-02-12,4350.0,4520.0,4350.0,4460.0,1453371
2020-02-13,4460.0,4520.0,4400.0,4460.0,824818
2020-02-14,4460.0,4520.0,4400.0,4460.0,565040
2020-02-17,4460.0,4520.0,4400.0,4460.0,901360
2020-02-18,4460.0,4460.0,4290.0,4400.0,940476
2020-02-19,4350.0,4460.0,4350.0,4400.0,521327
2020-02-20,4400.0,4520.0,4400.0,4460.0,763481
2020-02-21,4460.0,4520.0,4350.0,4400.0,1067633
2020-02-24,4400.0,4400.0,4120.0,4180.0,2076235
2020-02-25,4180.0,4230.0,4060.0,4230.0,1895380
2020-02-26,4180.0,4290.0,4060.0,4230.0,1506840
2020-02-27,4230.0,4290.0,4180.0,4230.0,791522
2020-02-28,4230.0,4290.0,4120.0,4230.0,2431582
2020-03-02,4230.0,4400.0,4120.0,4350.0,2928755
2020-03-03,4350.0,4690.0,4350.0,4520.0,4877781
2020-03-04,4580.0,4630.0,4460.0,4630.0,1678305
2020-03-05,4630.0,4800.0,4630.0,4750.0,2911743
2020-03-06,4690.0,4690.0,4520.0,4630.0,1852717
2020-03-09,4460.0,4460.0,3890.0,4000.0,6939472
2020-03-10,3720.0,4180.0,3720.0,4120.0,2521792
2020-03-11,4060.0,4230.0,3950.0,4060.0,4072814
2020-03-12,4000.0,4000.0,3830.0,3890.0,5065041
2020-03-13,3890.0,3950.0,3660.0,3890.0,2004446
2020-03-16,3890.0,4060.0,3830.0,3950.0,2839903
2020-03-17,3890.0,4000.0,3830.0,4000.0,1249700
2020-03-18,4000.0,4000.0,3720.0,3720.0,5270301
2020-03-19,3720.0,3780.0,3550.0,3660.0,3181479
2020-03-20,3660.0,3720.0,3490.0,3550.0,5539323
2020-03-23,3490.0,3490.0,3090.0,3090.0,7326967
2020-03-24,3490.0,3490.0,2920.0,3260.0,1470085
2020-03-25,3260.0,3370.0,3200.0,3260.0,2703274
2020-03-26,3260.0,3260.0,3090.0,3150.0,1517984
2020-03-27,3150.0,3200.0,3090.0,3150.0,990510
2020-03-30,3030.0,3090.0,2690.0,2800.0,2159515
2020-03-31,2690.0,2920.0,2690.0,2750.0,2202715
2020-04-01,2690.0,2920.0,2630.0,2860.0,2092997
2020-04-03,2970.0,3200.0,2860.0,3200.0,4006383
2020-04-06,3200.0,3490.0,3150.0,3490.0,4762754
2020-04-07,3490.0,3490.0,3200.0,3260.0,4013139
2020-04-08,3320.0,3320.0,3090.0,3260.0,2956727
2020-04-09,3260.0,3370.0,3260.0,3320.0,3914822
2020-04-10,3260.0,3370.0,3260.0,3320.0,4935592
2020-04-13,3370.0,3430.0,3260.0,3320.0,3111240
2020-04-14,3370.0,3370.0,3150.0,3200.0,3486419
2020-04-15,3200.0,3320.0,3150.0,3260.0,2500874
