date,open,high,low,close,volume
2019-09-12,60760.0,62690.0,60760.0,62190.0,86800
2019-09-13,62780.0,62780.0,61680.0,62530.0,95610
2019-09-16,62690.0,62690.0,61850.0,62100.0,82100
2019-09-17,62100.0,62190.0,61680.0,61680.0,99630
2019-09-18,61680.0,62190.0,61680.0,62020.0,79090
2019-09-19,62100.0,62270.0,61600.0,62020.0,115760
2019-09-20,61680.0,61850.0,60590.0,60590.0,1437250
2019-09-23,61180.0,61850.0,61180.0,61520.0,106260
2019-09-24,61520.0,61940.0,61180.0,61600.0,82690
2019-09-25,61430.0,61430.0,60670.0,60670.0,285900
2019-09-26,60840.0,61260.0,60420.0,60840.0,216600
2019-09-27,61010.0,62020.0,60670.0,61680.0,312160
2019-09-30,61850.0,63870.0,61850.0,62950.0,538970
2019-10-01,62950.0,64290.00000000001,62950.0,63700.0,223610
2019-10-02,63540.0,63960.0,62860.0,62950.0,140250
2019-10-03,61600.0,62690.0,61520.0,62690.0,145590
2019-10-04,62950.0,62950.0,61260.0,61260.0,236400
2019-10-07,61010.0,61430.0,59500.0,59500.0,377380
2019-10-08,59750.0,60590.0,59750.0,60510.0,133110
2019-10-09,60510.0,60510.0,59580.0,59920.0,108940
2019-10-10,59750.0,60420.0,59750.0,60170.0,119930
2019-10-11,60170.0,61430.0,60170.0,60670.0,69830
2019-10-14,60840.0,60840.0,60590.0,60590.0,101310
2019-10-15,60590.0,60760.0,60170.0,60250.0,106480
2019-10-16,60510.0,60590.0,60170.0,60420.0,104680
2019-10-17,60250.0,60420.0,60000.0,60000.0,135060
2019-10-18,60000.0,60250.0,60000.0,60080.0,61890
2019-10-21,60250.0,60250.0,59330.0,59580.0,101280
2019-10-22,59240.0,59580.0,59080.0,59330.0,124850
2019-10-23,59240.0,60080.0,59240.0,59580.0,76080
2019-10-24,59750.0,59750.0,59330.0,59500.0,84560
2019-10-25,59500.0,60250.0,59500.0,60170.0,73560
2019-10-28,60080.0,60080.0,59410.0,59750.0,216540
2019-10-29,59580.0,59920.0,59580.0,59660.0,99310
2019-10-30,59660.0,60340.0,59500.0,59580.0,146510
2019-10-31,60170.0,61350.0,60080.0,60670.0,318850
2019-11-01,60670.0,62360.0,60670.0,62270.0,410880
2019-11-04,62780.0,62860.0,61940.0,62270.0,232940
2019-11-05,62270.0,63540.0,62100.0,63280.0,365140
2019-11-06,63450.0,63450.0,62860.0,63200.0,201360
2019-11-07,63200.0,63200.0,62270.0,62360.0,192310
2019-11-08,62610.0,62690.0,61850.0,61940.0,164590
2019-11-11,61940.0,62530.0,61600.0,61940.0,135680
2019-11-12,61940.0,62270.0,61430.0,62100.0,136550
2019-11-13,62270.0,62270.0,61090.0,61430.0,194320
2019-11-14,61090.0,61940.0,61090.0,61850.0,105870
2019-11-15,62280.0,63050.0,62020.0,62450.0,118990
2019-11-18,62280.0,62700.0,62190.0,62280.0,110590
2019-11-19,62280.0,62280.0,61770.0,61850.0,179930
2019-11-20,61600.0,61680.0,61340.0,61510.0,118680
2019-11-21,61080.0,61430.0,60150.0,60150.0,195650
2019-11-22,60570.0,61170.0,60060.0,60490.0,135120
2019-11-25,60570.0,61600.0,60490.0,61510.0,112070
2019-11-26,61340.0,61770.0,60910.0,60910.0,121720
2019-11-27,60910.0,61340.0,60570.0,60570.0,108940
2019-11-28,60400.0,61000.0,59630.0,59800.0,114250
2019-11-29,59800.0,60060.0,59550.0,59970.0,67070
2019-12-02,60490.0,60490.0,58440.0,58440.0,88870
2019-12-03,58100.0,58700.0,56730.0,56900.0,199420
2019-12-04,56900.0,57240.0,55540.0,56990.0,130450
2019-12-05,56990.0,57760.0,56310.0,56480.0,105160
2019-12-06,56480.0,56480.0,55450.0,56140.0,108190
2019-12-09,56310.0,56310.0,55790.0,56050.0,120840
2019-12-10,56310.0,58780.0,56310.0,57760.0,267860
2019-12-11,58100.0,58440.0,57590.0,58010.0,91410
2019-12-12,57760.0,58350.0,57670.0,58010.0,169360
2019-12-13,58010.0,58270.0,57160.0,58010.0,137540
2019-12-16,58520.0,62020.0,58010.0,62020.0,434040
2019-12-17,62700.0,63470.0,61600.0,61600.0,378650
2019-12-18,61600.0,63640.0,61080.0,62280.0,292770
2019-12-19,63220.0,63470.0,61000.0,61000.0,193310
2019-12-20,61000.0,62790.0,61000.0,61850.0,957620
2019-12-23,61850.0,62530.0,61430.0,61430.0,325140
2019-12-24,61430.0,61850.0,59210.0,59380.0,185890
2019-12-25,59380.0,59890.0,58610.0,58610.0,165220
2019-12-26,58520.0,58610.0,57590.0,58010.0,182140
2019-12-27,57930.0,59630.0,57930.0,58700.0,126510
2019-12-30,58870.0,59290.0,58440.0,59210.0,137330
2019-12-31,58950.0,60150.0,58520.0,58520.0,85290
2020-01-02,58520.0,59290.0,58520.0,58870.0,87010
2020-01-03,59210.0,59210.0,58440.0,58520.0,59290
2020-01-06,58270.0,58440.0,57670.0,57670.0,129160
2020-01-07,57930.0,58010.0,57500.0,57590.0,67160
2020-01-08,57070.0,57070.0,56050.0,56310.0,163230
2020-01-09,57330.0,57330.0,55540.0,55540.0,157250
2020-01-10,56310.0,57420.0,55450.0,57160.0,136260
2020-01-13,57070.0,57160.0,56730.0,56900.0,63230
2020-01-14,56730.0,57160.0,55450.0,56310.0,171640
2020-01-15,56650.0,56650.0,55710.0,56220.0,92440
2020-01-16,56140.0,56560.0,56140.0,56310.0,157100
2020-01-17,56390.0,56390.0,56050.0,56220.0,131930
2020-01-20,56220.0,56480.0,55540.0,55790.0,107680
2020-01-21,56140.0,56220.0,55620.0,56220.0,119020
2020-01-22,55710.0,57160.0,55620.0,57160.0,156250
2020-01-30,56220.0,56310.0,53320.0,53830.0,335430
2020-01-31,53830.0,55110.0,50160.0,50160.0,176570
2020-02-03,46920.0,49650.0,46670.0,47430.0,270730
2020-02-04,47010.0,48630.0,47010.0,47520.0,312880
2020-02-05,47690.0,48710.0,47600.0,48460.0,298760
2020-02-06,49480.0,49820.0,48710.0,49820.0,176570
2020-02-07,50850.0,51020.0,49990.0,51020.0,158980
2020-02-10,50930.0,50930.0,48800.0,49050.0,208410
2020-02-11,49050.0,49480.0,48880.0,49310.0,210080
2020-02-12,50590.0,50590.0,48970.0,49050.0,192330
2020-02-13,49740.0,49740.0,48880.0,49050.0,145610
2020-02-14,49050.0,49230.0,48630.0,48630.0,215320
2020-02-17,48630.0,49050.0,48120.0,48120.0,178000
2020-02-18,48880.0,48880.0,47780.0,47860.0,313670
2020-02-19,47860.0,48630.0,47350.0,48120.0,159970
2020-02-20,48120.0,49480.0,48120.0,49050.0,281140
2020-02-21,49050.0,51020.0,49050.0,49910.0,369290
2020-02-24,46500.0,49050.0,46500.0,47780.0,211810
2020-02-25,47350.0,48540.0,47350.0,48540.0,98010
2020-02-26,47520.0,48290.0,47350.0,47350.0,258550
2020-02-27,47430.0,48120.0,46580.0,48120.0,240770
2020-02-28,46920.0,47350.0,46500.0,46840.0,225310
2020-03-02,46840.0,47350.0,46670.0,46670.0,150220
2020-03-03,47350.0,47600.0,46840.0,47520.0,134260
2020-03-04,47520.0,47520.0,46920.0,47520.0,98150
2020-03-05,47950.0,47950.0,47010.0,47090.0,180900
