date,open,high,low,close,volume
2019-09-12,15300.0,15970.0,15300.0,15970.0,70240
2019-09-13,16360.0,16360.0,15970.0,16129.999999999998,23770
2019-09-16,15880.0,16670.0,15880.0,16129.999999999998,21750
2019-09-17,15970.0,16129.999999999998,15800.0,15970.0,60440
2019-09-18,15760.0,15970.0,15760.0,15880.0,24390
2019-09-19,15880.0,15880.0,15640.0,15880.0,27670
2019-09-20,15930.0,15930.0,15470.0,15510.0,47000
2019-09-23,15550.0,16340.0,15300.0,15470.0,52170
2019-09-24,15470.0,15470.0,15160.0,15160.0,31440
2019-09-25,15350.0,15350.0,15160.0,15300.0,29860
2019-09-26,15350.0,15350.0,15100.0,15260.0,28240
2019-09-27,15100.0,15300.0,15050.0,15080.0,41610
2019-09-30,15080.0,15970.0,15080.0,15590.0,44400
2019-10-01,15550.0,15800.0,15300.0,15550.0,30280
2019-10-02,15350.0,15510.0,15140.0,15430.0,25820
2019-10-03,15430.0,15860.0,15300.0,15860.0,63480
2019-10-04,15950.0,15950.0,15640.0,15760.0,20220
2019-10-07,15760.0,15760.0,15350.0,15510.0,17580
2019-10-08,15510.0,15680.0,15370.0,15680.0,84580
2019-10-09,15680.0,15930.0,15350.0,15680.0,9450
2019-10-10,15680.0,15970.0,15680.0,15840.0,49930
2019-10-11,15950.0,15950.0,15510.0,15840.0,10300
2019-10-14,15680.0,15840.0,15470.0,15840.0,27610
2019-10-15,15800.0,15800.0,15700.0,15700.0,11690
2019-10-16,15680.0,15760.0,15390.0,15760.0,51520
2019-10-17,15760.0,15970.0,15470.0,15970.0,54420
2019-10-18,15970.0,15970.0,15720.0,15860.0,12720
2019-10-21,15760.0,15880.0,15510.0,15510.0,15970
2019-10-22,15510.0,15880.0,15410.0,15880.0,135900
2019-10-23,16010.000000000002,16590.0,15880.0,16129.999999999998,88910
2019-10-24,16360.0,16360.0,16050.0,16280.000000000002,42390
2019-10-25,16340.0,16340.0,16050.0,16050.0,10690
2019-10-28,15550.0,16219.999999999998,15550.0,15970.0,21760
2019-10-29,15640.0,15970.0,15590.0,15970.0,19380
2019-10-30,15720.0,15930.0,15640.0,15930.0,17320
2019-10-31,15930.0,15930.0,15550.0,15860.0,15840
2019-11-01,15590.0,15930.0,15590.0,15930.0,113450
2019-11-04,15930.0,16090.0,15660.0,16090.0,35520
2019-11-05,16090.0,16090.0,15760.0,16050.0,23190
2019-11-06,16129.999999999998,16170.000000000002,15860.0,16090.0,28670
2019-11-07,16090.0,16280.000000000002,16050.0,16170.000000000002,62390
2019-11-08,16340.0,16340.0,16170.000000000002,16260.000000000002,25870
2019-11-11,16780.0,16780.0,16129.999999999998,16379.999999999998,29910
2019-11-12,16090.0,16360.0,15970.0,16340.0,25940
2019-11-13,16170.000000000002,16320.0,15840.0,16280.000000000002,11250
2019-11-14,16280.000000000002,16280.000000000002,15930.0,16170.000000000002,29640
2019-11-15,16170.000000000002,16170.000000000002,15760.0,16110.0,22220
2019-11-18,16110.0,16110.0,15680.0,15990.0,22160
2019-11-19,15590.0,15990.0,15590.0,15990.0,16520
2019-11-20,15760.0,15950.0,15680.0,15760.0,31940
2019-11-21,15760.0,15840.0,15550.0,15840.0,23210
2019-11-22,15760.0,15930.0,15550.0,15760.0,13530
2019-11-25,15680.0,15930.0,15680.0,15700.0,14530
2019-11-26,15760.0,15880.0,15720.0,15720.0,14420
2019-11-27,15720.0,15800.0,15550.0,15720.0,41890
2019-11-28,15390.0,15760.0,15390.0,15680.0,14890
2019-11-29,15700.0,15700.0,15530.0,15680.0,4320
2019-12-02,15680.0,15720.0,15350.0,15350.0,43940
2019-12-03,15550.0,15550.0,15180.0,15390.0,21400
2019-12-04,15390.0,15550.0,15140.0,15530.0,3560
2019-12-05,15550.0,16129.999999999998,15350.0,15760.0,27860
2019-12-06,15720.0,15720.0,15700.0,15700.0,890
2019-12-09,15680.0,15680.0,15180.0,15550.0,21440
2019-12-10,15550.0,15550.0,14930.0,15550.0,27460
2019-12-11,15030.0,15510.0,14930.0,15510.0,28310
2019-12-12,15550.0,15550.0,15140.0,15260.0,20780
2019-12-13,15430.0,15430.0,15140.0,15260.0,4730
2019-12-16,15260.0,15350.0,15100.0,15260.0,2730
2019-12-17,15260.0,15300.0,15140.0,15260.0,17280
2019-12-18,15260.0,15320.0,14930.0,15320.0,9550
2019-12-19,15320.0,15320.0,14930.0,14930.0,9570
2019-12-20,15550.0,15550.0,14930.0,15100.0,7300
2019-12-23,15390.0,15390.0,14930.0,14930.0,3850
2019-12-24,14970.0,14970.0,14330.0,14910.0,79820
2019-12-25,14390.0,14930.0,14390.0,14910.0,13240
2019-12-26,14930.0,14930.0,14560.0,14890.0,630
2019-12-27,14600.0,14910.0,14600.0,14910.0,16160
2019-12-30,14850.0,14910.0,14600.0,14600.0,9740
2019-12-31,14930.0,14930.0,14850.0,14890.0,530
2020-01-02,14890.0,15100.0,14850.0,14890.0,27230
2020-01-03,15100.0,15100.0,14850.0,14850.0,13000
2020-01-06,14890.0,15550.0,14810.0,14930.0,11490
2020-01-07,15140.0,15140.0,14850.0,14930.0,8250
2020-01-08,14930.0,14930.0,14520.0,14850.0,8140
2020-01-09,14720.0,14930.0,14520.0,14520.0,41880
2020-01-10,14760.0,14760.0,14520.0,14520.0,8760
2020-01-13,14520.0,14520.0,14310.0,14450.0,10070
2020-01-14,14310.0,14520.0,13930.0,14350.0,30450
2020-01-15,13890.0,14470.0,13890.0,14430.0,7700
2020-01-16,14390.0,14430.0,14140.0,14350.0,17820
2020-01-17,14350.0,14350.0,14140.0,14310.0,18780
2020-01-20,14310.0,14310.0,13980.0,14310.0,31990
2020-01-21,14100.0,14310.0,13930.0,13930.0,29790
2020-01-22,13930.0,14270.0,13930.0,14270.0,18030
2020-01-30,14270.0,14270.0,13690.0,13850.0,28690
2020-01-31,13850.0,13850.0,13270.0,13270.0,20330
2020-02-03,12360.0,12860.0,12360.0,12400.0,27210
2020-02-04,12860.0,12860.0,12460.0,12790.0,4350
2020-02-05,12320.0,12650.0,12320.0,12460.0,38860
2020-02-06,12460.0,13270.0,12460.0,12860.0,50040
2020-02-07,13270.0,13270.0,12860.0,12940.0,17340
2020-02-10,12860.0,12940.0,12570.0,12730.0,18570
2020-02-11,12730.0,12730.0,12440.0,12690.0,42100
2020-02-12,12690.0,12690.0,12280.0,12610.0,75170
2020-02-13,12030.0,12570.0,12030.0,12440.0,82490
2020-02-14,12440.0,13190.0,12360.0,13190.0,140120
2020-02-17,13190.0,13250.0,12860.0,13060.0,27360
2020-02-18,13110.0,13190.0,13060.0,13150.0,14000
2020-02-19,13150.0,14020.0,13150.0,13310.0,39460
2020-02-20,13890.0,13890.0,13440.0,13690.0,19920
2020-02-21,13480.0,13850.0,13270.0,13690.0,14440
2020-02-24,12730.0,13350.0,12730.0,12730.0,42840
2020-02-25,12730.0,12980.0,12440.0,12730.0,19990
2020-02-26,12650.0,12650.0,12360.0,12440.0,47810
2020-02-27,12820.0,12820.0,12440.0,12730.0,11320
2020-02-28,12440.0,12630.0,12360.0,12610.0,23530
2020-03-02,12610.0,12770.0,12440.0,12610.0,19330
2020-03-03,12860.0,13040.0,12690.0,12900.0,24210
2020-03-04,12610.0,12980.0,12610.0,12860.0,7080
2020-03-05,12860.0,12900.0,12650.0,12820.0,16730
2020-03-06,12820.0,12860.0,12650.0,12770.0,10960
2020-03-09,12440.0,12440.0,11880.0,11880.0,73590
2020-03-10,11530.0,12440.0,11530.0,12150.0,18190
2020-03-11,12150.0,12190.0,11300.0,11300.0,82700
2020-03-12,11300.0,11300.0,10510.0,10510.0,59610
2020-03-13,9790.0,10290.0,9790.0,9870.0,129850
2020-03-16,9540.0,10370.0,9540.0,9850.0,65240
2020-03-17,9190.0,9750.0,9190.0,9660.0,32020
2020-03-18,10290.0,10290.0,9620.0,9620.0,71960
2020-03-19,9540.0,9660.0,9370.0,9620.0,24750
2020-03-20,9620.0,9950.0,9540.0,9580.0,8020
2020-03-23,9290.0,9460.0,8920.0,8920.0,37370
2020-03-24,9080.0,9080.0,8830.0,8920.0,38980
2020-03-25,9480.0,9500.0,9290.0,9500.0,58500
2020-03-26,9410.0,9950.0,9000.0,9620.0,37520
2020-03-27,9190.0,9700.0,9190.0,9620.0,52650
2020-03-30,9080.0,9540.0,8960.0,9540.0,110560
2020-03-31,9540.0,9620.0,8880.0,9330.0,70880
2020-04-01,9120.0,9540.0,9120.0,9460.0,13560
2020-04-03,9460.0,9950.0,9460.0,9950.0,25960
2020-04-06,10530.0,10620.0,10370.0,10580.0,38870
2020-04-07,11200.0,11200.0,10370.0,11160.0,41190
2020-04-08,10780.0,10780.0,10410.0,10680.0,28700
2020-04-09,10780.0,10990.0,10580.0,10990.0,77110
2020-04-10,10780.0,11110.0,10780.0,10990.0,21100
2020-04-13,11030.0,11110.0,10870.0,10990.0,29560
2020-04-14,11200.0,11200.0,10850.0,11160.0,53520
2020-04-15,11450.0,11590.0,11360.0,11490.0,34680
2020-04-16,11550.0,11920.0,11490.0,11920.0,47220
2020-04-17,12280.0,12570.0,12030.0,12230.0,49000
2020-04-20,12480.0,12630.0,12230.0,12320.0,57800
2020-04-21,12320.0,12360.0,11470.0,11470.0,66530
2020-04-22,11470.0,11610.0,11200.0,11610.0,66130
2020-04-23,12400.0,12400.0,11650.0,11900.0,26860
2020-04-24,12010.0,12110.0,11650.0,12110.0,14580
2020-04-27,12110.0,12150.0,11570.0,11900.0,68020
2020-04-28,11990.0,11990.0,11590.0,11820.0,21790
2020-04-29,11900.0,11900.0,11610.0,11880.0,21400
2020-05-04,11880.0,11880.0,11570.0,11740.0,15600
2020-05-05,11780.0,11780.0,11450.0,11720.0,5370
2020-05-06,11720.0,11740.0,11570.0,11720.0,56460
2020-05-07,11820.0,12070.0,11820.0,11990.0,20920
2020-05-08,12030.0,12030.0,11860.0,11860.0,40120
2020-05-11,11940.0,11940.0,11700.0,11800.0,32810
2020-05-12,11800.0,12030.0,11740.0,12030.0,30930
2020-05-13,12030.0,12360.0,11900.0,12190.0,77490
2020-05-14,11940.0,12150.0,11760.0,11990.0,48400
2020-05-15,12010.0,12030.0,11610.0,12030.0,78510
2020-05-18,12030.0,12030.0,11700.0,11820.0,12390
2020-05-19,11820.0,11990.0,11720.0,11820.0,45490
2020-05-20,11820.0,11820.0,11450.0,11720.0,65660
2020-05-21,11530.0,11840.0,11530.0,11720.0,39450
2020-05-22,11780.0,11780.0,11570.0,11610.0,50860
2020-05-25,11610.0,11700.0,11550.0,11700.0,37040
2020-05-26,11740.0,11740.0,11610.0,11650.0,32280
2020-05-27,11700.0,11700.0,11550.0,11550.0,85760
2020-05-28,11550.0,11570.0,11360.0,11570.0,41270
2020-05-29,11740.0,11740.0,11360.0,11550.0,33720
2020-06-01,11550.0,11570.0,11490.0,11550.0,58880
2020-06-02,11610.0,11610.0,11490.0,11510.0,33650
2020-06-03,11510.0,11570.0,11450.0,11570.0,12490
2020-06-04,11610.0,11720.0,11590.0,11700.0,121340
2020-06-05,11800.0,11800.0,11650.0,11700.0,49660
2020-06-08,11700.0,12500.0,11610.0,12500.0,202150
2020-06-09,13190.0,13190.0,12960.0,13060.0,160130
2020-06-10,13060.0,13060.0,12610.0,12610.0,113820
2020-06-11,12730.0,12730.0,11740.0,11740.0,129910
2020-06-12,11410.0,12230.0,11410.0,12030.0,265750
2020-06-15,12070.0,12070.0,11700.0,11820.0,126620
2020-06-16,11990.0,12030.0,11760.0,11860.0,28820
2020-06-17,12300.0,12300.0,11820.0,11970.0,14190
2020-06-18,12190.0,12400.0,11940.0,12400.0,35390
2020-06-19,12400.0,12750.0,12400.0,12730.0,55980
2020-06-22,12730.0,13020.0,12480.0,12730.0,52130
2020-06-23,12730.0,13130.0,12420.0,12860.0,118340
2020-06-24,12860.0,13170.0,12730.0,12730.0,49950
2020-06-25,12190.0,12690.0,12190.0,12520.0,18610
2020-06-26,12520.0,13000.0,12520.0,12900.0,152780
2020-06-29,12900.0,12960.0,12440.0,12770.0,69070
2020-06-30,12860.0,13250.0,12650.0,12880.0,81140
2020-07-01,13250.0,13250.0,12860.0,12860.0,21360
2020-07-02,12860.0,13000.0,12750.0,12920.0,34780
2020-07-03,12960.0,12960.0,12520.0,12520.0,32570
2020-07-06,12840.0,12840.0,12550.0,12550.0,63340
2020-07-07,12650.0,12690.0,12520.0,12520.0,40740
2020-07-08,12520.0,12520.0,12030.0,12150.0,70180
2020-07-09,12230.0,12420.0,12170.0,12320.0,33020
2020-07-10,12440.0,12440.0,12150.0,12320.0,14360
2020-07-13,12320.0,12480.0,12150.0,12230.0,29730
2020-07-14,12230.0,12230.0,12050.0,12230.0,35290
2020-07-15,12230.0,12340.0,12210.0,12300.0,21340
2020-07-16,12300.0,12340.0,12210.0,12230.0,14610
2020-07-17,12320.0,12480.0,12230.0,12480.0,46130
2020-07-20,12650.0,13080.0,12650.0,12900.0,96810
2020-07-21,13060.0,13060.0,12570.0,12690.0,16150
2020-07-22,12900.0,12900.0,12440.0,12690.0,33900
2020-07-23,12690.0,12690.0,12360.0,12570.0,16160
2020-07-24,12570.0,12570.0,11700.0,11820.0,33060
2020-07-27,11610.0,11610.0,11010.0,11320.0,114660
2020-07-28,11410.0,12110.0,11410.0,12030.0,43790
2020-07-29,12030.0,12030.0,11410.0,11820.0,23490
2020-07-30,11990.0,12030.0,11820.0,12030.0,27090
2020-07-31,12030.0,12030.0,11820.0,11860.0,9950
2020-08-03,11860.0,12230.0,11860.0,12030.0,31850
2020-08-04,12030.0,12610.0,12030.0,12610.0,32660
2020-08-05,12630.0,12820.0,12610.0,12690.0,78880
2020-08-06,12690.0,12940.0,12650.0,12650.0,24310
2020-08-07,12770.0,12770.0,12550.0,12650.0,30450
2020-08-10,12860.0,13150.0,12650.0,12980.0,129860
2020-08-11,13060.0,13060.0,12650.0,12900.0,32440
2020-08-12,12860.0,13060.0,12860.0,12900.0,38310
2020-08-13,12820.0,12980.0,12440.0,12820.0,35690
2020-08-14,12820.0,12820.0,12520.0,12730.0,34710
