date,open,high,low,close,volume
2019-09-12,3300.0,3350.0,3280.0,3280.0,128370
2019-09-13,3260.0,3360.0,3260.0,3350.0,46090
2019-09-16,3290.0,3370.0,3290.0,3340.0,55720
2019-09-17,3310.0,3360.0,3280.0,3280.0,89670
2019-09-18,3210.0,3320.0,3210.0,3280.0,20710
2019-09-19,3280.0,3300.0,3250.0,3280.0,20320
2019-09-20,3280.0,3280.0,3240.0,3280.0,57560
2019-09-23,3280.0,3290.0,3260.0,3280.0,67860
2019-09-24,3280.0,3280.0,3210.0,3230.0,28080
2019-09-25,3210.0,3280.0,3210.0,3280.0,86830
2019-09-26,3390.0,3390.0,3260.0,3300.0,45830
2019-09-27,3300.0,3320.0,3280.0,3300.0,94450
2019-09-30,3300.0,3370.0,3300.0,3340.0,231220
2019-10-01,3360.0,3360.0,3310.0,3320.0,20950
2019-10-02,3310.0,3310.0,3190.0,3300.0,5360
2019-10-03,3280.0,3300.0,3220.0,3280.0,38950
2019-10-04,3280.0,3280.0,3230.0,3280.0,24480
2019-10-07,3230.0,3280.0,3230.0,3270.0,53840
2019-10-08,3170.0,3260.0,3170.0,3260.0,25750
2019-10-09,3250.0,3250.0,3230.0,3240.0,12510
2019-10-10,3310.0,3310.0,3210.0,3240.0,16440
2019-10-11,3210.0,3240.0,3210.0,3240.0,17610
2019-10-14,3240.0,3240.0,3190.0,3230.0,33950
2019-10-15,3210.0,3230.0,3190.0,3230.0,46710
2019-10-16,3230.0,3230.0,3190.0,3230.0,34520
2019-10-17,3230.0,3230.0,3190.0,3190.0,12130
2019-10-18,3190.0,3210.0,3180.0,3210.0,17320
2019-10-21,3180.0,3200.0,3160.0,3200.0,41590
2019-10-22,3180.0,3180.0,3170.0,3170.0,30020
2019-10-23,3170.0,3170.0,3130.0,3130.0,8800
2019-10-24,3120.0,3150.0,3100.0,3130.0,27460
2019-10-25,3130.0,3130.0,3110.0,3130.0,65920
2019-10-28,3130.0,3130.0,3120.0,3120.0,18200
2019-10-29,3120.0,3120.0,3090.0,3120.0,40380
2019-10-30,3090.0,3120.0,3070.0,3120.0,28040
2019-10-31,3120.0,3120.0,3070.0,3120.0,23360
2019-11-01,3110.0,3120.0,3090.0,3110.0,22320
2019-11-04,3100.0,3100.0,3070.0,3100.0,20120
2019-11-05,3070.0,3100.0,3070.0,3100.0,13730
2019-11-06,3080.0,3300.0,3080.0,3100.0,25490
2019-11-07,3100.0,3100.0,3080.0,3090.0,27010
2019-11-08,3090.0,3100.0,3080.0,3080.0,2830
2019-11-11,3050.0,3080.0,3050.0,3070.0,58410
2019-11-12,3070.0,3070.0,3050.0,3070.0,54470
2019-11-13,3070.0,3070.0,3050.0,3060.0,21370
2019-11-14,3060.0,3060.0,3040.0,3060.0,27450
2019-11-15,3040.0,3050.0,3010.0,3050.0,24440
2019-11-18,3010.0,3090.0,2970.0,3090.0,33240
2019-11-19,2990.0,3090.0,2990.0,3090.0,10950
2019-11-20,3090.0,3090.0,3090.0,3090.0,5000
2019-11-21,3090.0,3090.0,3090.0,3090.0,6000
2019-11-22,3070.0,3070.0,3010.0,3070.0,8190
2019-11-25,3090.0,3090.0,3010.0,3070.0,3100
2019-11-26,3060.0,3090.0,3050.0,3050.0,10060
2019-11-27,3120.0,3120.0,3050.0,3050.0,5520
2019-11-28,3050.0,3080.0,3030.0,3080.0,8780
2019-11-29,3080.0,3080.0,3010.0,3080.0,21450
2019-12-02,3080.0,3090.0,2970.0,3080.0,5140
2019-12-03,3090.0,3090.0,2940.0,3050.0,17460
2019-12-04,3090.0,3090.0,2970.0,3080.0,14830
2019-12-05,3080.0,3080.0,3030.0,3070.0,5280
2019-12-06,2990.0,3050.0,2990.0,3050.0,12980
2019-12-09,2990.0,3050.0,2990.0,3050.0,7910
2019-12-10,2970.0,3050.0,2970.0,3040.0,14240
2019-12-11,3010.0,3010.0,2980.0,3010.0,8410
2019-12-12,3000.0,3010.0,2950.0,3010.0,18790
2019-12-13,2940.0,3010.0,2900.0,3010.0,39060
2019-12-16,2980.0,3010.0,2980.0,3010.0,6780
2019-12-17,2950.0,3000.0,2940.0,3000.0,6340
2019-12-18,3000.0,3000.0,3000.0,3000.0,2050
2019-12-19,2980.0,2980.0,2850.0,2850.0,15750
2019-12-20,2890.0,2890.0,2850.0,2850.0,9510
2019-12-23,2880.0,2890.0,2850.0,2890.0,8120
2019-12-24,2870.0,2890.0,2830.0,2890.0,21770
2019-12-25,2870.0,2870.0,2870.0,2870.0,7510
2019-12-26,2860.0,2870.0,2850.0,2860.0,5730
2019-12-27,2670.0,2920.0,2670.0,2850.0,23320
2019-12-30,2850.0,2880.0,2740.0,2850.0,42230
2019-12-31,2810.0,2890.0,2780.0,2890.0,11800
2020-01-02,2920.0,2920.0,2810.0,2880.0,8420
2020-01-03,2890.0,2890.0,2780.0,2870.0,16530
2020-01-06,2810.0,2860.0,2790.0,2790.0,11220
2020-01-07,2930.0,2930.0,2790.0,2790.0,37850
2020-01-08,2660.0,2840.0,2660.0,2790.0,14260
2020-01-09,2810.0,2810.0,2780.0,2810.0,10500
2020-01-10,2750.0,2810.0,2700.0,2810.0,15490
2020-01-13,2760.0,2850.0,2720.0,2850.0,25490
2020-01-14,2850.0,2850.0,2770.0,2840.0,5160
2020-01-15,2810.0,2830.0,2770.0,2830.0,5070
2020-01-16,2780.0,2830.0,2760.0,2830.0,10930
2020-01-17,2840.0,2840.0,2740.0,2780.0,21700
2020-01-20,2810.0,2810.0,2770.0,2810.0,3960
2020-01-21,2810.0,2810.0,2810.0,2810.0,13300
2020-01-22,2780.0,2890.0,2780.0,2890.0,53530
2020-01-30,2810.0,2830.0,2810.0,2810.0,10060
2020-01-31,2740.0,2890.0,2740.0,2890.0,120040
2020-02-03,2740.0,2790.0,2690.0,2790.0,112910
2020-02-04,2740.0,2780.0,2630.0,2780.0,45670
2020-02-05,2740.0,2760.0,2740.0,2760.0,11070
2020-02-06,2740.0,2810.0,2700.0,2810.0,44540
2020-02-07,2810.0,2810.0,2710.0,2710.0,35820
2020-02-10,2710.0,2770.0,2700.0,2760.0,10260
2020-02-11,2740.0,2760.0,2710.0,2740.0,26600
2020-02-12,2730.0,2760.0,2700.0,2760.0,13340
2020-02-13,2740.0,2760.0,2720.0,2760.0,11510
2020-02-14,2760.0,2760.0,2700.0,2750.0,6490
2020-02-17,2750.0,2750.0,2620.0,2740.0,111570
2020-02-18,2700.0,2740.0,2650.0,2730.0,64560
2020-02-19,2730.0,2740.0,2660.0,2740.0,162820
2020-02-20,2740.0,2740.0,2680.0,2730.0,64870
2020-02-21,2690.0,2720.0,2680.0,2720.0,34200
2020-02-24,2660.0,2700.0,2620.0,2640.0,70080
2020-02-25,2560.0,2650.0,2560.0,2650.0,6010
2020-02-26,2620.0,2650.0,2580.0,2650.0,21990
2020-02-27,2680.0,2680.0,2600.0,2670.0,19660
2020-02-28,2660.0,2660.0,2620.0,2660.0,27990
