date,open,high,low,close,volume
2019-09-12,5110.0,5200.0,5110.0,5200.0,61150
2019-09-13,5200.0,5200.0,5140.0,5200.0,5110
2019-09-16,5200.0,5200.0,5120.0,5190.0,20210
2019-09-17,5140.0,5190.0,5140.0,5140.0,13750
2019-09-18,5180.0,5180.0,5090.0,5090.0,14310
2019-09-19,5090.0,5110.0,5090.0,5090.0,25280
2019-09-20,5110.0,5140.0,5090.0,5140.0,24590
2019-09-23,5090.0,5140.0,5090.0,5140.0,36410
2019-09-24,5190.0,5440.0,5160.0,5320.0,142770
2019-09-25,5320.0,5320.0,5140.0,5170.0,103910
2019-09-26,5140.0,5230.0,5070.0,5160.0,133910
2019-09-27,5200.0,5200.0,5070.0,5070.0,84090
2019-09-30,5020.0,5180.0,5020.0,5160.0,30470
2019-10-01,5180.0,5180.0,5080.0,5080.0,36390
2019-10-02,5080.0,5170.0,5050.0,5090.0,41640
2019-10-03,5090.0,5140.0,5050.0,5070.0,36280
2019-10-04,5070.0,5120.0,5050.0,5090.0,96460
2019-10-07,5090.0,5170.0,5070.0,5070.0,98180
2019-10-08,5120.0,5240.0,5110.0,5200.0,113870
2019-10-09,5180.0,5410.0,5180.0,5410.0,161500
2019-10-10,5430.0,5770.0,5430.0,5630.0,252320
2019-10-11,5660.0,5720.0,5570.0,5660.0,189740
2019-10-14,5660.0,5700.0,5590.0,5590.0,129940
2019-10-15,5620.0,5750.0,5590.0,5670.0,294920
2019-10-16,5670.0,5700.0,5620.0,5630.0,87880
2019-10-17,5630.0,5950.0,5590.0,5760.0,407600
2019-10-18,5770.0,5810.0,5590.0,5660.0,182720
2019-10-21,5430.0,5650.0,5340.0,5360.0,484390
2019-10-22,5360.0,5510.0,5360.0,5430.0,149840
2019-10-23,5490.0,5490.0,5250.0,5320.0,94510
2019-10-24,5280.0,5340.0,5230.0,5230.0,101540
2019-10-25,5220.0,5380.0,5200.0,5290.0,60200
2019-10-28,5290.0,5360.0,5290.0,5330.0,24960
2019-10-29,5290.0,5330.0,5220.0,5240.0,70500
2019-10-30,5230.0,5290.0,5230.0,5250.0,36020
2019-10-31,5250.0,5320.0,5240.0,5270.0,39100
2019-11-01,5320.0,5410.0,5270.0,5360.0,46340
2019-11-04,5380.0,5430.0,5290.0,5290.0,286320
2019-11-05,5320.0,5340.0,5260.0,5270.0,42650
2019-11-06,5320.0,5410.0,5270.0,5320.0,166370
2019-11-07,5340.0,5450.0,5320.0,5450.0,331930
2019-11-08,5590.0,5590.0,5430.0,5540.0,415360
2019-11-11,5600.0,5630.0,5500.0,5570.0,320160
2019-11-12,5540.0,5570.0,5430.0,5520.0,197390
2019-11-13,5520.0,5570.0,5450.0,5520.0,82180
2019-11-14,5520.0,5630.0,5520.0,5530.0,152440
2019-11-15,5590.0,5590.0,5530.0,5530.0,112960
2019-11-18,5570.0,5750.0,5540.0,5620.0,258040
2019-11-19,5660.0,5700.0,5570.0,5620.0,150200
2019-11-20,5660.0,5660.0,5500.0,5540.0,141550
2019-11-21,5520.0,5580.0,5460.0,5540.0,158530
2019-11-22,5590.0,5590.0,5450.0,5450.0,120530
2019-11-25,5450.0,5530.0,5430.0,5500.0,69810
2019-11-26,5500.0,5530.0,5420.0,5420.0,79930
2019-11-27,5420.0,5460.0,5380.0,5430.0,80770
2019-11-28,5380.0,5500.0,5350.0,5350.0,78650
2019-11-29,5340.0,5410.0,5340.0,5410.0,8930
2019-12-02,5480.0,5540.0,5410.0,5480.0,111210
2019-12-03,5480.0,5520.0,5380.0,5500.0,121110
2019-12-04,5500.0,5500.0,5430.0,5480.0,61360
2019-12-05,5430.0,5500.0,5430.0,5480.0,64260
2019-12-06,5520.0,5520.0,5430.0,5480.0,27710
2019-12-09,5480.0,5490.0,5200.0,5260.0,538300
2019-12-10,5310.0,5310.0,5160.0,5190.0,171460
2019-12-11,5230.0,5320.0,5090.0,5270.0,101300
2019-12-12,5280.0,5280.0,5230.0,5260.0,38070
2019-12-13,5260.0,5320.0,5220.0,5240.0,147110
2019-12-16,5250.0,5380.0,5250.0,5360.0,189190
2019-12-17,5430.0,5520.0,5360.0,5370.0,329210
2019-12-18,5420.0,5420.0,5250.0,5360.0,267140
2019-12-19,5320.0,5400.0,5320.0,5400.0,59580
2019-12-20,5420.0,5430.0,5320.0,5320.0,103020
2019-12-23,5340.0,5480.0,5340.0,5480.0,210190
2019-12-24,5550.0,5570.0,5490.0,5500.0,276340
2019-12-25,5540.0,5620.0,5540.0,5590.0,217100
2019-12-26,5590.0,5630.0,5500.0,5540.0,182860
2019-12-27,5540.0,5550.0,5450.0,5450.0,106350
2019-12-30,5430.0,5480.0,5340.0,5420.0,222410
2019-12-31,5430.0,5500.0,5410.0,5500.0,289910
2020-01-02,5500.0,5720.0,5490.0,5660.0,1341610
2020-01-03,5700.0,5750.0,5660.0,5700.0,473160
2020-01-06,5700.0,5710.0,5570.0,5590.0,361470
2020-01-07,5630.0,5700.0,5540.0,5660.0,328270
2020-01-08,5660.0,5660.0,5360.0,5360.0,493950
2020-01-09,5360.0,5490.0,5230.0,5320.0,257070
2020-01-10,5320.0,5360.0,5200.0,5220.0,417550
2020-01-13,5230.0,5320.0,5140.0,5170.0,203810
2020-01-14,5160.0,5250.0,5160.0,5170.0,174710
2020-01-15,5240.0,5240.0,5080.0,5080.0,268220
2020-01-16,5080.0,5080.0,4930.0,4980.0,271320
2020-01-17,4980.0,5160.0,4950.0,5090.0,158030
2020-01-20,5160.0,5160.0,5010.0,5080.0,80080
2020-01-21,5110.0,5110.0,5020.0,5090.0,50780
2020-01-22,5080.0,5180.0,5050.0,5180.0,69040
2020-01-30,4860.0,5010.0,4820.0,4850.0,478230
2020-01-31,4760.0,4850.0,4510.0,4570.0,328930
2020-02-03,4330.0,4380.0,4250.0,4300.0,500080
2020-02-04,4230.0,4450.0,4230.0,4450.0,358860
2020-02-05,4390.0,4530.0,4390.0,4480.0,95190
2020-02-06,4530.0,4640.0,4530.0,4630.0,134690
2020-02-07,4690.0,4730.0,4600.0,4630.0,130260
2020-02-10,4630.0,4630.0,4460.0,4460.0,146660
2020-02-11,4400.0,4590.0,4400.0,4550.0,77340
2020-02-12,4620.0,4680.0,4550.0,4650.0,95780
2020-02-13,4620.0,4680.0,4590.0,4620.0,60700
2020-02-14,4620.0,4620.0,4560.0,4570.0,48820
2020-02-17,4640.0,4730.0,4630.0,4730.0,89360
2020-02-18,4830.0,4950.0,4750.0,4950.0,178040
2020-02-19,4950.0,4950.0,4840.0,4890.0,76700
2020-02-20,4890.0,4890.0,4800.0,4800.0,152580
2020-02-21,4770.0,4800.0,4660.0,4680.0,199250
2020-02-24,4640.0,4680.0,4470.0,4470.0,173950
2020-02-25,4380.0,4550.0,4380.0,4550.0,59830
2020-02-26,4530.0,4580.0,4410.0,4460.0,249660
2020-02-27,4430.0,4530.0,4380.0,4390.0,349000
2020-02-28,4210.0,4390.0,4210.0,4250.0,282410
2020-03-02,4250.0,4410.0,4250.0,4330.0,251960
2020-03-03,4490.0,4490.0,4410.0,4420.0,273630
2020-03-04,4420.0,4590.0,4410.0,4430.0,260360
2020-03-05,4550.0,4550.0,4370.0,4380.0,326480
2020-03-06,4410.0,4450.0,4370.0,4450.0,75450
2020-03-09,4300.0,4410.0,4210.0,4300.0,368040
2020-03-10,4230.0,4390.0,4210.0,4300.0,187840
2020-03-11,4340.0,4360.0,4190.0,4230.0,298020
2020-03-12,4070.000000000001,4190.0,3940.0,4120.0,505910
2020-03-13,4000.0,4050.0,3880.0,4050.0,146380
2020-03-16,4030.000000000001,4190.0,3980.0,4030.000000000001,128100
