date,open,high,low,close,volume
2019-09-12,5340.0,5340.0,5250.0,5290.0,577480
2019-09-13,5320.0,5320.0,5260.0,5280.0,387170
2019-09-16,5280.0,5330.0,5280.0,5310.0,501090
2019-09-17,5310.0,5310.0,5280.0,5290.0,387450
2019-09-18,5290.0,5320.0,5290.0,5290.0,521920
2019-09-19,5310.0,5460.0,5310.0,5450.0,1941620
2019-09-20,5450.0,5460.0,5380.0,5410.0,807800
2019-09-23,5420.0,5450.0,5380.0,5380.0,816150
2019-09-24,5390.0,5390.0,5310.0,5320.0,1090560
2019-09-25,5320.0,5450.0,5270.0,5280.0,614130
2019-09-26,5280.0,5280.0,5240.0,5270.0,376200
2019-09-27,5270.0,5380.0,5240.0,5310.0,802030
2019-09-30,5310.0,5310.0,5230.0,5260.0,491520
2019-10-01,5250.0,5270.0,5220.0,5240.0,517100
2019-10-02,5240.0,5240.0,5180.0,5190.0,695840
2019-10-03,5190.0,5190.0,5140.0,5180.0,336500
2019-10-04,5170.0,5320.0,5170.0,5240.0,642170
2019-10-07,5250.0,5280.0,5190.0,5200.0,267940
2019-10-08,5190.0,5210.0,5180.0,5200.0,243320
2019-10-09,5200.0,5260.0,5190.0,5210.0,183590
2019-10-10,5190.0,5210.0,5180.0,5190.0,160790
2019-10-11,5190.0,5230.0,5180.0,5190.0,110170
2019-10-14,5190.0,5210.0,5180.0,5190.0,175340
2019-10-15,5190.0,5340.0,5190.0,5330.0,1041050
2019-10-16,5340.0,5340.0,5300.0,5320.0,514540
2019-10-17,5480.0,5590.0,5410.0,5500.0,1527930
2019-10-18,5520.0,5520.0,5400.0,5400.0,316620
2019-10-21,5400.0,5410.0,5350.0,5350.0,212580
2019-10-22,5370.0,5450.0,5290.0,5290.0,569250
2019-10-23,5290.0,5340.0,5290.0,5320.0,116870
2019-10-24,5310.0,5330.0,5290.0,5290.0,134950
2019-10-25,5260.0,5260.0,5180.0,5190.0,777430
2019-10-28,5140.0,5210.0,5140.0,5180.0,365050
2019-10-29,5170.0,5190.0,5140.0,5170.0,211380
2019-10-30,5170.0,5230.0,5160.0,5190.0,174790
2019-10-31,5190.0,5260.0,5170.0,5170.0,205630
2019-11-01,5170.0,5170.0,5140.0,5170.0,300230
2019-11-04,5170.0,5170.0,5120.0,5120.0,476480
2019-11-05,5130.0,5140.0,5110.0,5120.0,156120
2019-11-06,5130.0,5130.0,5090.0,5100.0,284750
2019-11-07,5100.0,5120.0,5070.0,5090.0,159380
2019-11-08,5090.0,5110.0,5050.0,5060.0,325590
2019-11-11,5120.0,5120.0,5050.0,5060.0,122590
2019-11-12,5060.0,5060.0,4950.0,5010.0,211160
2019-11-13,5060.0,5060.0,4980.0,4980.0,285600
2019-11-14,5020.0,5020.0,4940.0,4940.0,381690
2019-11-15,4970.0,4970.0,4940.0,4940.0,74430
2019-11-18,4950.0,4960.0,4920.0,4920.0,142800
2019-11-19,4920.0,4950.0,4920.0,4920.0,196870
2019-11-20,4930.0,4930.0,4910.0,4910.0,159820
2019-11-21,4890.0,4920.0,4890.0,4900.0,99360
2019-11-22,4900.0,4920.0,4850.0,4860.0,239480
2019-11-25,4880.0,4880.0,4810.0,4810.0,186530
2019-11-26,4810.0,4860.0,4810.0,4830.0,74840
2019-11-27,4830.0,4880.0,4830.0,4830.0,114120
2019-11-28,4830.0,4840.0,4810.0,4810.0,184890
2019-11-29,4810.0,4840.0,4810.0,4830.0,50610
2019-12-02,4820.0,4850.0,4780.0,4780.0,159130
2019-12-03,4800.0,4810.0,4770.0,4780.0,171300
2019-12-04,4780.0,4810.0,4760.0,4780.0,54320
2019-12-05,4780.0,4800.0,4760.0,4780.0,112500
2019-12-06,4800.0,4810.0,4760.0,4770.0,76860
2019-12-09,4760.0,4770.0,4650.0,4650.0,392810
2019-12-10,4650.0,4670.0,4640.0,4650.0,170740
2019-12-11,4650.0,4670.0,4650.0,4670.0,28300
2019-12-12,4670.0,4750.0,4670.0,4710.0,91960
2019-12-13,4710.0,4750.0,4640.0,4640.0,257120
2019-12-16,4690.0,4780.0,4690.0,4740.0,91120
2019-12-17,4760.0,4760.0,4690.0,4690.0,143650
2019-12-18,4710.0,4710.0,4680.0,4690.0,50170
2019-12-19,4700.0,4720.0,4660.0,4660.0,125250
2019-12-20,4670.0,4710.0,4660.0,4660.0,112840
