date,open,high,low,close,volume
2019-09-12,4400.0,4440.0,4340.0,4420.0,877520
2019-09-13,4430.0,4540.0,4410.0,4510.0,937880
2019-09-16,4520.0,4540.0,4490.0,4500.0,511990
2019-09-17,4500.0,4520.0,4470.0,4490.0,465210
2019-09-18,4520.0,4520.0,4450.0,4460.0,450190
2019-09-19,4460.0,4540.0,4430.0,4540.0,734540
2019-09-20,4570.0,4700.0,4560.0,4650.0,1682780
2019-09-23,4690.0,4780.0,4670.0,4680.0,992810
2019-09-24,4670.0,4720.0,4590.0,4640.0,708230
2019-09-25,4640.0,4750.0,4610.0,4750.0,900950
2019-09-26,4750.0,4810.0,4730.0,4810.0,1041660
2019-09-27,4800.0,4860.0,4720.0,4770.0,597540
2019-09-30,4780.0,4830.0,4670.0,4700.0,593960
2019-10-01,4690.0,4810.0,4640.0,4810.0,845440
2019-10-02,4810.0,4870.0,4750.0,4810.0,609950
2019-10-03,4780.0,4800.0,4730.0,4760.0,487760
2019-10-04,4760.0,4910.0,4760.0,4860.0,901090
2019-10-07,4870.0,4900.0,4850.0,4880.0,491270
2019-10-08,4880.0,4910.0,4760.0,4820.0,540530
2019-10-09,4810.0,4820.0,4720.0,4720.0,479390
2019-10-10,4730.0,4790.0,4730.0,4730.0,668350
2019-10-11,4730.0,4770.0,4710.0,4770.0,586800
2019-10-14,4780.0,4860.0,4760.0,4810.0,643290
2019-10-15,4800.0,4860.0,4770.0,4800.0,399460
2019-10-16,4810.0,4860.0,4790.0,4820.0,523780
2019-10-17,4820.0,4840.0,4730.0,4730.0,559020
2019-10-18,4770.0,4830.0,4750.0,4790.0,1020920
2019-10-21,4790.0,4800.0,4740.0,4770.0,548170
2019-10-22,4770.0,5070.0,4770.0,4970.0,1383420
2019-10-23,4980.0,5020.0,4920.0,4940.0,596770
2019-10-24,4950.0,4990.0,4930.0,4970.0,386940
2019-10-25,4990.0,5060.0,4940.0,5020.0,1286970
2019-10-28,5040.0,5110.0,5020.0,5060.0,718270
2019-10-29,5070.0,5080.0,4980.0,5080.0,795090
2019-10-30,5070.0,5130.0,5040.0,5070.0,756720
2019-10-31,5060.0,5070.0,4930.0,4930.0,803890
2019-11-01,4930.0,5010.0,4900.0,5000.0,713570
2019-11-04,5000.0,5070.0,4960.0,4980.0,509550
2019-11-05,5000.0,5030.0,4950.0,4990.0,643130
2019-11-06,5000.0,5070.0,5000.0,5010.0,562440
2019-11-07,5020.0,5020.0,4950.0,5000.0,400480
2019-11-08,5010.0,5030.0,4960.0,5010.0,538090
2019-11-11,5020.0,5190.0,4970.0,5170.0,921910
2019-11-12,5200.0,5210.0,5150.0,5180.0,482210
2019-11-13,5190.0,5210.0,5080.0,5090.0,512060
2019-11-14,5100.0,5140.0,4970.0,5000.0,602550
2019-11-15,5010.0,5030.0,4990.0,5000.0,335170
2019-11-18,5000.0,5000.0,4900.0,4920.0,430130
2019-11-19,4930.0,5000.0,4860.0,4980.0,675380
2019-11-20,5000.0,5010.0,4950.0,5000.0,354510
2019-11-21,5010.0,5030.0,4950.0,5000.0,340780
2019-11-22,5010.0,5030.0,4690.0,4730.0,665430
2019-11-25,4740.0,4760.0,4550.0,4560.0,738220
2019-11-26,4550.0,4640.0,4550.0,4640.0,603530
2019-11-27,4650.0,4730.0,4630.0,4700.0,533740
2019-11-28,4690.0,4720.0,4490.0,4510.0,651890
2019-11-29,4510.0,4550.0,4460.0,4550.0,485800
2019-12-02,4570.0,4670.0,4440.0,4440.0,443600
2019-12-03,4430.0,4510.0,4310.0,4480.0,791830
2019-12-04,4490.0,4590.0,4470.0,4580.0,569590
2019-12-05,4590.0,4620.0,4510.0,4560.0,424910
2019-12-06,4550.0,4590.0,4520.0,4550.0,401200
2019-12-09,4560.0,4660.0,4550.0,4630.0,478210
2019-12-10,4620.0,4630.0,4510.0,4540.0,362130
2019-12-11,4540.0,4560.0,4460.0,4530.0,412630
2019-12-12,4540.0,4620.0,4530.0,4610.0,581300
2019-12-13,4630.0,4650.0,4540.0,4590.0,327380
2019-12-16,4620.0,4620.0,4500.0,4550.0,262560
2019-12-17,4580.0,4590.0,4420.0,4440.0,413680
2019-12-18,4440.0,4490.0,4320.0,4320.0,454000
2019-12-19,4340.0,4410.0,4320.0,4380.0,404710
2019-12-20,4390.0,4430.0,4360.0,4380.0,200090
2019-12-23,4390.0,4430.0,4170.0,4190.0,767030
2019-12-24,4190.0,4200.0,4080.0,4190.0,566070
2019-12-25,4190.0,4330.0,4170.0,4300.0,626680
2019-12-26,4320.0,4480.0,4270.0,4480.0,780410
2019-12-27,4460.0,4480.0,4360.0,4450.0,566630
