date,open,high,low,close,volume
2019-09-12,9240.0,9650.0,9210.0,9650.0,3818460
2019-09-13,9680.0,9950.0,9680.0,9800.0,2294470
2019-09-16,9890.0,9920.0,9710.0,9860.0,1873740
2019-09-17,9770.0,10250.0,9650.0,10190.0,4019830
2019-09-18,10250.0,10360.0,10100.0,10190.0,3486610
2019-09-19,10190.0,10390.0,10190.0,10300.0,2371890
2019-09-20,10300.0,10300.0,10010.0,10010.0,3142950
2019-09-23,9920.0,10040.0,9860.0,9950.0,1565570
2019-09-24,9950.0,10160.0,9860.0,10010.0,1154720
2019-09-25,9950.0,10010.0,9740.0,9950.0,2612090
2019-09-26,10010.0,10040.0,9830.0,10010.0,1496990
2019-09-27,10010.0,10160.0,9950.0,10160.0,2013390
2019-09-30,10250.0,10510.0,10220.0,10330.0,3682820
2019-10-01,10420.0,10450.0,10190.0,10330.0,1995200
2019-10-02,10300.0,10390.0,10160.0,10280.0,2817750
2019-10-03,10070.0,10160.0,9890.0,9950.0,3461290
2019-10-04,10070.0,10070.0,9860.0,9890.0,1797850
2019-10-07,9890.0,9950.0,9530.0,9590.0,3715500
2019-10-08,9530.0,9740.0,9330.0,9710.0,2504140
2019-10-09,9710.0,9830.0,9680.0,9770.0,805790
2019-10-10,9770.0,9770.0,9620.0,9620.0,542190
2019-10-11,9620.0,9680.0,9510.0,9560.0,1181630
2019-10-14,9620.0,9740.0,9560.0,9710.0,1786380
2019-10-15,9710.0,9890.0,9680.0,9800.0,2325520
2019-10-16,9890.0,9890.0,9710.0,9710.0,799050
2019-10-17,9680.0,9710.0,9620.0,9650.0,924280
2019-10-18,9650.0,9710.0,9480.0,9480.0,1363890
2019-10-21,9480.0,9510.0,9210.0,9270.0,1149350
2019-10-22,9180.0,9360.0,9090.0,9360.0,1450680
2019-10-23,9360.0,9390.0,9240.0,9360.0,441510
2019-10-24,9360.0,9390.0,9270.0,9390.0,472510
2019-10-25,9360.0,9420.0,9300.0,9360.0,529500
2019-10-28,9330.0,9620.0,9330.0,9530.0,1006210
2019-10-29,9560.0,9710.0,9510.0,9560.0,995580
2019-10-30,9560.0,9560.0,9360.0,9420.0,719040
2019-10-31,9420.0,9450.0,9060.0,9150.0,1215060
2019-11-01,9120.0,9270.0,9030.0,9120.0,1976720
2019-11-04,9060.0,9480.0,9060.0,9450.0,3315690
2019-11-05,9450.0,9450.0,9300.0,9390.0,1435210
2019-11-06,9390.0,9680.0,9330.0,9590.0,3808000
2019-11-07,9590.0,9770.0,9510.0,9590.0,2079820
2019-11-08,9680.0,9740.0,9530.0,9590.0,1637300
2019-11-11,9590.0,9770.0,9510.0,9650.0,2841560
2019-11-12,9650.0,9710.0,9420.0,9530.0,2441590
2019-11-13,9530.0,9590.0,9360.0,9420.0,2726340
2019-11-14,9420.0,9450.0,9240.0,9270.0,2028320
2019-11-15,9300.0,9420.0,9240.0,9300.0,797030
2019-11-18,9360.0,9450.0,9180.0,9180.0,1703380
2019-11-19,9240.0,9300.0,9150.0,9180.0,797880
2019-11-20,9270.0,9330.0,9180.0,9300.0,1653810
2019-11-21,9180.0,9300.0,9180.0,9240.0,1352000
2019-11-22,9240.0,9300.0,8740.0,8820.0,4831630
2019-11-25,8760.0,8760.0,8410.0,8410.0,3073040
2019-11-26,8530.0,8620.0,8170.0,8380.0,3264270
2019-11-27,8380.0,8710.0,8260.0,8620.0,2150580
2019-11-28,8620.0,8650.0,8290.0,8290.0,1417290
2019-11-29,8350.0,8530.0,8260.0,8380.0,731420
2019-12-02,8500.0,8500.0,8290.0,8290.0,1083370
2019-12-03,8230.0,8410.0,8109.999999999999,8170.0,1559160
2019-12-04,8170.0,8290.0,8140.000000000001,8290.0,650620
2019-12-05,8290.0,8380.0,8200.0,8230.0,716590
2019-12-06,8200.0,8290.0,8200.0,8230.0,398080
2019-12-09,8230.0,8350.0,8080.0,8080.0,1075910
2019-12-10,8080.0,8260.0,8020.0,8080.0,1566720
2019-12-11,8080.0,8500.0,8050.000000000001,8410.0,1872860
2019-12-12,8410.0,8680.0,8380.0,8650.0,1582040
2019-12-13,8740.0,8740.0,8470.0,8470.0,1424170
2019-12-16,8410.0,8590.0,8410.0,8500.0,1392830
2019-12-17,8590.0,8590.0,8230.0,8320.0,1035120
2019-12-18,8290.0,8380.0,8260.0,8290.0,1036680
2019-12-19,8230.0,8380.0,8170.0,8260.0,677200
2019-12-20,8260.0,8320.0,8020.0,8140.000000000001,2118610
2019-12-23,8140.000000000001,8230.0,8050.000000000001,8080.0,899520
2019-12-24,8109.999999999999,8290.0,8050.000000000001,8290.0,1301590
2019-12-25,8290.0,8410.0,8200.0,8350.0,1185110
2019-12-26,8350.0,8650.0,8350.0,8590.0,3547970
2019-12-27,8470.0,8740.0,8470.0,8650.0,2194910
2019-12-30,8650.0,8790.0,8620.0,8680.0,1879260
2019-12-31,8560.0,8650.0,8470.0,8590.0,1332880
2020-01-02,8590.0,8590.0,8410.0,8470.0,1174150
2020-01-03,8470.0,8560.0,8170.0,8230.0,2395940
2020-01-06,8170.0,8290.0,8050.000000000001,8109.999999999999,1016310
2020-01-07,8109.999999999999,8260.0,8109.999999999999,8230.0,754450
2020-01-08,8109.999999999999,8140.000000000001,7850.0,7880.0,1847430
2020-01-09,8050.000000000001,8109.999999999999,8000.0,8020.0,1716210
2020-01-10,8020.0,8050.000000000001,7910.0,7940.0,752260
2020-01-13,7940.0,8109.999999999999,7940.0,8020.0,562450
2020-01-14,8020.0,8109.999999999999,7880.0,7910.0,1168130
2020-01-15,7940.0,8000.0,7910.0,7940.0,460760
2020-01-16,7940.0,8020.0,7850.0,7880.0,760470
