date,open,high,low,close,volume
2019-08-30,4850.0,5290.0,4730.0,4910.0,331791
2019-09-03,4970.0,5100.0,4660.0,4730.0,280853
2019-09-04,4660.0,4730.0,4480.0,4600.0,118180
2019-09-05,4600.0,4790.0,4480.0,4660.0,98538
2019-09-06,4600.0,4790.0,4600.0,4660.0,126137
2019-09-09,4600.0,4730.0,4410.0,4410.0,197117
2019-09-10,4540.0,4540.0,4170.0,4290.0,162315
2019-09-11,4230.0,4350.0,4230.0,4290.0,68362
2019-09-12,4290.0,4410.0,4230.0,4350.0,72064
2019-09-13,4350.0,4540.0,4230.0,4480.0,111015
2019-09-16,4540.0,4600.0,4350.0,4410.0,87011
2019-09-17,4600.0,4600.0,4350.0,4480.0,79389
2019-09-18,4480.0,4480.0,4290.0,4350.0,137260
2019-09-19,4290.0,4480.0,4290.0,4410.0,47035
2019-09-20,4410.0,4480.0,4350.0,4350.0,106026
2019-09-23,4350.0,4350.0,4290.0,4350.0,91869
2019-09-24,4290.0,4350.0,3980.0,4170.0,255840
2019-09-25,4170.0,4230.0,4040.0,4100.0,91498
2019-09-26,4170.0,4170.0,4040.0,4040.0,144150
2019-09-27,3980.0,3980.0,3920.0,3980.0,135261
2019-09-30,3920.0,4040.0,3920.0,4040.0,57790
2019-10-01,4040.0,4040.0,3920.0,3920.0,63445
2019-10-02,3980.0,3920.0,3920.0,3920.0,0
2019-10-03,3980.0,3920.0,3920.0,3920.0,0
2019-10-04,3980.0,3920.0,3920.0,3920.0,0
2019-10-07,3980.0,4040.0,3790.0,3920.0,158116
2019-10-08,3920.0,4040.0,3920.0,3920.0,32083
2019-10-09,3920.0,3920.0,3860.0,3920.0,55580
2019-10-10,3790.0,3920.0,3790.0,3860.0,31499
2019-10-11,3860.0,3920.0,3790.0,3860.0,32590
2019-10-14,3860.0,3920.0,3670.0,3670.0,124412
2019-10-15,3730.0,3790.0,3360.0,3670.0,1716276
2019-10-16,3540.0,3670.0,3420.0,3670.0,38995
2019-10-17,3540.0,3610.0,3480.0,3540.0,73090
2019-10-18,3610.0,3670.0,3480.0,3610.0,36556
2019-10-21,3540.0,3610.0,3540.0,3540.0,23520
2019-10-22,3610.0,3610.0,3420.0,3480.0,71620
2019-10-23,3420.0,3420.0,3230.0,3300.0,139144
2019-10-24,3360.0,3610.0,3360.0,3540.0,47506
2019-10-25,3610.0,3980.0,3480.0,3920.0,171607
2019-10-28,3860.0,4100.0,3860.0,3980.0,246945
2019-10-29,4040.0,4040.0,3730.0,3860.0,82442
2019-10-30,3860.0,3860.0,3730.0,3790.0,49450
2019-10-31,3790.0,3980.0,3790.0,3790.0,95469
2019-11-01,3860.0,3920.0,3790.0,3790.0,10444
2019-11-04,3790.0,3860.0,3790.0,3790.0,20476
2019-11-05,3790.0,3860.0,3730.0,3790.0,88438
2019-11-06,3730.0,3730.0,3670.0,3730.0,68270
2019-11-07,3670.0,3790.0,3670.0,3730.0,14395
2019-11-08,3730.0,3790.0,3670.0,3670.0,72906
2019-11-11,3790.0,3790.0,3670.0,3670.0,39272
2019-11-12,3670.0,3670.0,3610.0,3670.0,30777
2019-11-13,3670.0,3730.0,3610.0,3730.0,40206
2019-11-14,3670.0,3670.0,3610.0,3610.0,20975
2019-11-15,3670.0,3670.0,3610.0,3670.0,24862
2019-11-18,3730.0,3730.0,3540.0,3610.0,31998
2019-11-19,3670.0,3670.0,3540.0,3610.0,27700
2019-11-20,3610.0,3670.0,3610.0,3610.0,24731
2019-11-21,3610.0,3610.0,3540.0,3540.0,26779
2019-11-22,3540.0,3610.0,3480.0,3480.0,43842
2019-11-25,3480.0,3610.0,3420.0,3540.0,11096
2019-11-26,3540.0,3540.0,3480.0,3480.0,24108
2019-11-27,3480.0,3540.0,3420.0,3480.0,32500
2019-11-28,3480.0,3480.0,3360.0,3420.0,58426
2019-11-29,3420.0,3420.0,3300.0,3420.0,74397
2019-12-02,3360.0,3420.0,3300.0,3360.0,31296
2019-12-03,3360.0,3420.0,3300.0,3360.0,41027
2019-12-04,3360.0,3420.0,3300.0,3420.0,39249
2019-12-05,3420.0,3610.0,3420.0,3540.0,36464
2019-12-06,3610.0,3610.0,3480.0,3540.0,29634
2019-12-09,3540.0,3540.0,3420.0,3420.0,51164
2019-12-10,3420.0,3480.0,3300.0,3480.0,39220
2019-12-11,3480.0,3480.0,3360.0,3420.0,12402
2019-12-12,3360.0,3420.0,3300.0,3360.0,30796
2019-12-13,3360.0,3480.0,3300.0,3420.0,34645
2019-12-16,3420.0,3670.0,3360.0,3610.0,91162
2019-12-17,3610.0,3730.0,3540.0,3540.0,70835
2019-12-18,3540.0,3610.0,3480.0,3480.0,41401
2019-12-19,3420.0,3480.0,3420.0,3420.0,75943
2019-12-20,3540.0,3610.0,3420.0,3610.0,33947
2019-12-23,3540.0,3540.0,3420.0,3420.0,65855
2019-12-24,3420.0,3480.0,3420.0,3480.0,22287
2019-12-25,3480.0,3540.0,3480.0,3540.0,23442
2019-12-26,3540.0,3540.0,3480.0,3480.0,20521
2019-12-27,3480.0,3480.0,3420.0,3420.0,34067
2019-12-30,3480.0,3480.0,3420.0,3420.0,19510
2019-12-31,3420.0,3480.0,3360.0,3360.0,52439
2020-01-02,3420.0,3420.0,3300.0,3360.0,47164
2020-01-03,3420.0,3480.0,3420.0,3480.0,40760
2020-01-06,3480.0,3480.0,3420.0,3480.0,48936
2020-01-07,3480.0,3860.0,3480.0,3790.0,429204
2020-01-08,3730.0,3790.0,3540.0,3730.0,132184
2020-01-09,3670.0,3860.0,3610.0,3790.0,71500
2020-01-10,3790.0,4040.0,3790.0,3920.0,247702
2020-01-13,3790.0,3860.0,3360.0,3730.0,141146
2020-01-14,3610.0,3860.0,3540.0,3860.0,181901
2020-01-15,3860.0,3980.0,3860.0,3980.0,87200
2020-01-16,3920.0,4040.0,3790.0,4040.0,218810
2020-01-17,3980.0,4100.0,3920.0,4100.0,94035
2020-01-20,4040.0,4230.0,3980.0,4230.0,89400
2020-01-21,4170.0,4410.0,3980.0,3980.0,259900
2020-01-22,4040.0,4230.0,3920.0,4170.0,29913
2020-01-30,4040.0,4100.0,3980.0,4040.0,56900
2020-01-31,3980.0,4170.0,3980.0,4170.0,140754
2020-02-03,3980.0,3980.0,3480.0,3920.0,174185
2020-02-04,3730.0,4290.0,3730.0,4290.0,471825
2020-02-05,4290.0,4850.0,4230.0,4410.0,707263
2020-02-06,4730.0,4850.0,4230.0,4350.0,293939
2020-02-07,4290.0,4410.0,4230.0,4290.0,118965
2020-02-10,4290.0,4910.0,4290.0,4910.0,495066
2020-02-11,4790.0,5040.0,4730.0,5040.0,489288
2020-02-12,4850.0,4970.0,4790.0,4910.0,165306
2020-02-13,4850.0,5350.0,4850.0,5290.0,553713
2020-02-14,5100.0,5290.0,4970.0,5290.0,318610
2020-02-17,5220.0,5290.0,4970.0,5290.0,265092
2020-02-18,5400.0,5670.0,5080.0,5670.0,407664
2020-02-19,5400.0,5730.0,5400.0,5400.0,350014
2020-02-20,5470.0,5670.0,5400.0,5540.0,237009
2020-02-21,5470.0,5470.0,5140.0,5270.0,75879
2020-02-24,5270.0,5670.0,4810.0,5400.0,474444
2020-02-25,5340.0,5800.0,5340.0,5730.0,426017
2020-02-26,5670.0,5670.0,5540.0,5600.0,408959
2020-02-27,5470.0,5470.0,5270.0,5270.0,99960
2020-02-28,5340.0,5340.0,5010.0,5080.0,66876
2020-03-02,4940.0,5210.0,4880.0,4940.0,67093
2020-03-03,5010.0,5140.0,4880.0,4940.0,87062
2020-03-04,4880.0,5010.0,4810.0,5010.0,39308
2020-03-05,4940.0,5010.0,4940.0,5010.0,66814
2020-03-06,4940.0,5080.0,4750.0,5010.0,72956
2020-03-09,4940.0,4940.0,4550.0,4680.0,163305
2020-03-10,4280.0,4810.0,4150.0,4680.0,203820
2020-03-11,4610.0,4810.0,4480.0,4680.0,92700
2020-03-12,4550.0,4610.0,4420.0,4610.0,92275
2020-03-13,4420.0,4680.0,4420.0,4680.0,83419
2020-03-16,4550.0,4880.0,4550.0,4810.0,98995
2020-03-17,4680.0,4810.0,4680.0,4810.0,59010
2020-03-18,4750.0,4880.0,4750.0,4880.0,57289
2020-03-19,4810.0,4810.0,4610.0,4750.0,98646
2020-03-20,4610.0,4940.0,4610.0,4940.0,91919
