date,open,high,low,close,volume
2022-03-08,12410.0,12410.0,12410.0,12410.0,10100
2022-03-09,14250.0,14250.0,14250.0,14250.0,100
2022-03-10,16379.999999999998,16379.999999999998,16379.999999999998,16379.999999999998,5009100
2022-03-11,18790.0,18820.0,16840.0,17010.0,2999500
2022-03-14,17190.0,17650.0,16340.0,17330.0,547200
2022-03-15,16840.0,16840.0,14750.0,14820.0,957000
2022-03-16,15310.0,17650.0,14210.0,15840.0,587800
2022-03-17,15240.0,16160.0,15240.0,15560.0,257300
2022-03-18,15880.0,15880.0,15210.0,15380.0,298500
2022-03-21,15240.0,15240.0,14530.0,14850.0,305100
2022-03-22,14890.0,15100.0,14600.0,14890.0,323700
2022-03-23,14890.0,15060.0,14820.0,14920.0,358400
2022-03-24,14710.0,15490.0,14710.0,15490.0,253664
2022-03-25,15030.0,15600.0,12970.0,15350.0,311236
2022-03-28,15240.0,15530.0,15060.0,15450.0,368523
2022-03-29,15310.0,15530.0,15240.0,15490.0,258514
2022-03-30,15420.0,15810.0,15350.0,15420.0,382200
2022-03-31,15600.0,15770.0,15350.0,15600.0,393200
2022-04-01,15670.0,15770.0,15420.0,15600.0,268650
2022-04-04,15600.0,15630.0,15350.0,15490.0,301800
2022-04-05,15450.0,15450.0,15240.0,15280.0,289800
2022-04-06,14890.0,15170.0,13470.0,14460.0,547953
2022-04-07,14530.0,14850.0,14180.0,14530.0,322400
2022-04-08,14780.0,14780.0,13580.0,13580.0,188000
2022-04-12,13580.0,14110.0,13580.0,13790.0,119201
2022-04-13,13820.0,13820.0,13290.0,13720.0,371700
2022-04-14,13900.0,13930.0,13430.0,13820.0,327600
2022-04-15,14000.0,14000.0,13290.0,13430.0,163800
2022-04-18,13430.0,13720.0,12970.0,13080.0,67802
2022-04-19,13290.0,13290.0,11590.0,12440.0,271000
2022-04-20,12340.0,12410.0,11730.0,12050.0,48500
2022-04-21,10990.0,13470.0,10990.0,13470.0,231100
2022-04-22,13080.0,13080.0,12300.0,12940.0,111800
2022-04-25,13120.0,13120.0,10810.0,11340.0,190000
2022-04-26,11340.0,11870.0,10630.0,11730.0,35700
2022-04-27,11870.0,13120.0,11870.0,12510.0,142500
2022-04-28,12940.0,14210.0,12830.0,13750.0,274400
2022-04-29,14140.0,14140.0,13540.0,13540.0,32300
2022-05-04,13830.0,14160.0,13570.0,13570.0,116800
2022-05-05,14080.0,14300.0,13650.0,14270.0,136600
2022-05-06,14050.0,14270.0,13570.0,13570.0,141800
2022-05-09,13790.0,14380.0,12410.0,12520.0,69700
2022-05-10,12370.0,13030.0,11830.0,12740.0,39300
2022-05-11,12700.0,12850.0,12630.0,12700.0,21050
2022-05-12,12960.0,12960.0,11460.0,12190.0,31300
2022-05-13,11900.0,11940.0,10920.0,10950.0,101900
2022-05-16,11280.0,12450.0,11280.0,11320.0,37800
2022-05-17,11170.0,12590.0,11060.0,12370.0,143811
2022-05-18,12740.0,13100.0,12190.0,12740.0,46200
2022-05-19,12560.0,12740.0,12520.0,12740.0,19600
2022-05-20,12850.0,13140.0,12660.0,12740.0,61100
2022-05-23,13280.0,13470.0,12370.0,12920.0,9700
2022-05-24,12880.0,12880.0,12630.0,12700.0,2700
2022-05-25,12660.0,13470.0,12520.0,13470.0,64744
2022-05-26,13470.0,13830.0,13280.0,13360.0,24700
2022-05-27,13540.0,13540.0,13280.0,13390.0,145100
2022-05-30,13650.0,13650.0,13210.0,13280.0,197100
2022-05-31,13280.0,13280.0,13100.0,13140.0,65000
2022-06-01,12450.0,13140.0,12450.0,12520.0,90805
2022-06-02,13430.0,13430.0,12740.0,12740.0,18900
2022-06-03,13250.0,13250.0,12520.0,12880.0,13805
2022-06-06,13060.0,13060.0,12740.0,12920.0,13300
2022-06-07,12850.0,12960.0,12590.0,12960.0,12900
2022-06-08,12960.0,13330.0,12810.0,13070.0,23100
2022-06-09,12990.0,13330.0,12960.0,13220.0,39103
2022-06-10,13250.0,13290.0,12960.0,13220.0,27215
2022-06-13,12920.0,12920.0,12220.0,12700.0,23800
2022-06-14,12770.0,14070.0,12290.0,12770.0,68626
2022-06-15,12770.0,14070.0,11850.0,12850.0,72400
2022-06-16,12330.0,13360.0,12330.0,12400.0,21600
2022-06-17,12250.0,12740.0,12140.0,12140.0,17500
2022-06-20,12290.0,12290.0,11440.0,11440.0,50700
2022-06-21,11140.0,11850.0,10070.0,11590.0,19900
2022-06-22,12140.0,12140.0,11480.0,11850.0,12800
2022-06-23,11140.0,12000.0,11140.0,11880.0,9800
2022-06-24,12140.0,12180.0,11660.0,11810.0,7100
2022-06-27,12070.0,12070.0,11110.0,11660.0,21100
2022-06-28,11510.0,12220.0,11440.0,11590.0,50600
2022-06-29,12180.0,12220.0,11810.0,12070.0,24900
2022-06-30,12030.0,12220.0,11850.0,12140.0,44700
2022-07-01,12110.0,12220.0,11700.0,12110.0,12700
2022-07-04,12220.0,13700.0,12220.0,12740.0,43400
2022-07-05,12850.0,13330.0,12030.0,12110.0,30500
2022-07-06,12770.0,12960.0,11850.0,12220.0,35001
2022-07-07,12510.0,12960.0,11850.0,12030.0,49700
2022-07-08,12550.0,12550.0,11810.0,11810.0,34000
2022-07-11,11880.0,12140.0,11700.0,11700.0,1051
2022-07-12,11850.0,11850.0,11480.0,11590.0,24300
2022-07-13,11510.0,11810.0,11400.0,11480.0,119600
2022-07-14,11660.0,11660.0,11480.0,11480.0,5900
2022-07-15,11510.0,11810.0,11400.0,11400.0,26500
2022-07-18,11480.0,11480.0,11290.0,11290.0,29805
2022-07-19,11550.0,11550.0,11370.0,11510.0,1446
2022-07-20,11510.0,11660.0,11510.0,11510.0,6800
2022-07-21,11550.0,11550.0,11480.0,11480.0,3400
2022-07-22,11510.0,11510.0,11400.0,11400.0,10000
2022-07-25,11400.0,11400.0,11110.0,11400.0,10300
2022-07-26,11290.0,11400.0,11180.0,11180.0,7700
2022-07-27,11180.0,11330.0,11030.0,11330.0,13300
2022-07-28,11250.0,11550.0,11220.0,11440.0,14300
2022-07-29,11550.0,11550.0,11440.0,11480.0,12000
2022-08-01,11510.0,12180.0,11480.0,12180.0,25435
2022-08-02,12030.0,12180.0,11850.0,11850.0,12400
2022-08-03,11590.0,12180.0,11590.0,11850.0,29900
2022-08-04,11660.0,11740.0,11550.0,11740.0,36200
2022-08-05,11880.0,11880.0,11550.0,11770.0,6600
2022-08-08,12110.0,12110.0,11480.0,11550.0,10800
