date,open,high,low,close,volume
2019-09-12,9980.0,10020.0,9930.0,9980.0,871490
2019-09-13,10110.0,10410.0,10000.0,10410.0,1329380
2019-09-16,10390.0,10390.0,10230.0,10250.0,592840
2019-09-17,10300.0,10300.0,10110.0,10200.0,661770
2019-09-18,10140.0,10250.0,10140.0,10180.0,304130
2019-09-19,10180.0,10270.0,10160.0,10180.0,305420
2019-09-20,10250.0,10300.0,10200.0,10250.0,385260
2019-09-23,10300.0,10300.0,10110.0,10110.0,265140
2019-09-24,10110.0,10160.0,10020.0,10020.0,402070
2019-09-25,10070.0,10070.0,9980.0,10020.0,298830
2019-09-26,10020.0,10110.0,10020.0,10070.0,145560
2019-09-27,10110.0,10320.0,10110.0,10300.0,830130
2019-09-30,10410.0,10410.0,10230.0,10270.0,275330
2019-10-01,10250.0,10300.0,10020.0,10110.0,526100
2019-10-02,10070.0,10200.0,9980.0,9980.0,360370
2019-10-03,9980.0,9980.0,9800.0,9960.0,297220
2019-10-04,10090.0,10090.0,9980.0,10020.0,204260
2019-10-07,10050.0,10070.0,9840.0,10070.0,578400
2019-10-08,10070.0,10110.0,9980.0,10070.0,181530
2019-10-09,10070.0,10090.0,9930.0,9980.0,366300
2019-10-10,9930.0,10070.0,9930.0,9980.0,348110
2019-10-11,10000.0,10200.0,9930.0,9930.0,508320
2019-10-14,9980.0,10000.0,9910.0,10000.0,360090
2019-10-15,9910.0,10020.0,9910.0,9980.0,216710
2019-10-16,9980.0,9980.0,9750.0,9800.0,265370
2019-10-17,9750.0,9750.0,9460.0,9660.0,845540
2019-10-18,9570.0,9660.0,9430.0,9550.0,228870
2019-10-21,9550.0,9750.0,9460.0,9550.0,192070
2019-10-22,9550.0,9570.0,9320.0,9430.0,409110
2019-10-23,9430.0,9500.0,9370.0,9430.0,208450
2019-10-24,9430.0,9480.0,9370.0,9480.0,286080
2019-10-25,9520.0,9520.0,9410.0,9480.0,269380
2019-10-28,9480.0,9480.0,9250.0,9430.0,188150
2019-10-29,9430.0,9430.0,9160.0,9430.0,684830
2019-10-30,9390.0,9750.0,9320.0,9750.0,551920
2019-10-31,9660.0,9660.0,9430.0,9520.0,170700
2019-11-01,9520.0,9570.0,9410.0,9520.0,303850
2019-11-04,9520.0,9520.0,9370.0,9500.0,668600
2019-11-05,9500.0,9500.0,9390.0,9480.0,167110
2019-11-06,9480.0,9500.0,9410.0,9500.0,580710
2019-11-07,9520.0,9620.0,9430.0,9500.0,369880
2019-11-08,9460.0,9520.0,9460.0,9460.0,258210
2019-11-11,9500.0,9520.0,9410.0,9480.0,350970
2019-11-12,9480.0,9480.0,9370.0,9480.0,284320
2019-11-13,9500.0,9500.0,9340.0,9430.0,387540
2019-11-14,9430.0,9430.0,9340.0,9410.0,178590
2019-11-15,9410.0,9410.0,9340.0,9390.0,140540
2019-11-18,9390.0,9460.0,9300.0,9370.0,465070
2019-11-19,9370.0,9520.0,9300.0,9520.0,2165320
2019-11-20,9520.0,9550.0,9410.0,9460.0,1261240
2019-11-21,9460.0,9460.0,9300.0,9390.0,1795800
2019-11-22,9340.0,9370.0,9180.0,9340.0,1247030
2019-11-25,9300.0,9320.0,9180.0,9300.0,1055840
2019-11-26,9300.0,9300.0,9070.0,9230.0,1321020
2019-11-27,9160.0,9230.0,9140.0,9230.0,519250
2019-11-28,9230.0,9280.0,9050.0,9160.0,1071470
2019-11-29,9160.0,9210.0,9120.0,9140.0,743210
2019-12-02,9180.0,9180.0,8840.0,9070.0,643310
2019-12-03,8980.0,9070.0,8750.0,9070.0,558950
2019-12-04,9070.0,9070.0,8870.0,9070.0,254530
2019-12-05,8890.0,9070.0,8890.0,9070.0,192400
2019-12-06,8930.0,9070.0,8840.0,9070.0,371780
