date,open,high,low,close,volume
2019-09-12,7120.0,7190.0,7040.0,7150.0,671520
2019-09-13,7150.0,7400.0,7070.0,7370.0,1641050
2019-09-16,7400.0,7670.0,7390.0,7540.0,1741690
2019-09-17,7490.0,7900.0,7450.0,7850.0,2311530
2019-09-18,7790.0,7920.0,7700.0,7750.0,1719950
2019-09-19,7700.0,7900.0,7700.0,7850.0,1321040
2019-09-20,7820.0,7890.0,7790.0,7790.0,783970
2019-09-23,7790.0,8020.0,7720.0,7750.0,1938490
2019-09-24,7820.0,7890.0,7750.0,7850.0,772220
2019-09-25,7820.0,7870.0,7770.0,7870.0,597950
2019-09-26,7890.0,8290.0,7890.0,8250.0,2373910
2019-09-27,8250.0,8320.0,8119.999999999999,8140.000000000001,1469290
2019-09-30,8250.0,8290.0,8050.000000000001,8090.0,1171700
2019-10-01,8050.000000000001,8240.0,8050.000000000001,8240.0,932710
2019-10-02,8220.0,8290.0,8119.999999999999,8140.000000000001,1074480
2019-10-03,7990.0,8150.0,7940.0,8140.000000000001,1266360
2019-10-04,8150.0,8170.0,7720.0,7720.0,1958070
2019-10-07,7800.0,7850.0,7440.0,7450.0,1372570
2019-10-08,7470.0,7720.0,7450.0,7590.0,894560
2019-10-09,7590.0,7650.0,7520.0,7590.0,560380
2019-10-10,7570.0,7690.0,7520.0,7540.0,608290
2019-10-11,7590.0,7600.0,7520.0,7570.0,449740
2019-10-14,7720.0,7900.0,7700.0,7820.0,1161500
2019-10-15,7820.0,7840.0,7740.0,7750.0,467280
2019-10-16,7840.0,7840.0,7740.0,7770.0,576870
2019-10-17,7720.0,7720.0,7620.0,7640.0,485490
2019-10-18,7650.0,7720.0,7450.0,7490.0,690310
2019-10-21,7370.0,7450.0,7340.0,7390.0,1039870
2019-10-22,7390.0,7440.0,7340.0,7350.0,606710
2019-10-23,7350.0,7420.0,7350.0,7370.0,484650
2019-10-24,7370.0,7520.0,7350.0,7490.0,792830
2019-10-25,7490.0,7720.0,7470.0,7640.0,1293320
2019-10-28,7700.0,7770.0,7590.0,7700.0,1011550
2019-10-29,7650.0,7750.0,7590.0,7600.0,581330
2019-10-30,7600.0,7770.0,7590.0,7700.0,609730
2019-10-31,7740.0,7750.0,7590.0,7590.0,396140
2019-11-01,7570.0,7970.0,7550.0,7950.0,2045910
2019-11-04,7990.0,8390.0,7990.0,8240.0,3167200
2019-11-05,8240.0,8390.0,8170.0,8250.0,1646860
2019-11-06,8189.999999999999,8390.0,8170.0,8240.0,1576880
2019-11-07,8240.0,8500.0,8200.0,8420.0,1788990
2019-11-08,8550.0,8620.0,8440.0,8500.0,1544650
2019-11-11,8470.0,8500.0,8320.0,8320.0,1523180
2019-11-12,8320.0,8540.0,8320.0,8500.0,1342250
2019-11-13,8520.0,8600.0,8520.0,8580.0,1648840
2019-11-14,8620.0,8620.0,8370.0,8440.0,907940
2019-11-15,8370.0,8450.0,8320.0,8320.0,846120
2019-11-18,8320.0,8420.0,7990.0,8050.000000000001,2084130
2019-11-19,8090.0,8240.0,8090.0,8200.0,717160
2019-11-20,8189.999999999999,8300.0,8150.0,8189.999999999999,490550
2019-11-21,8119.999999999999,8340.0,8119.999999999999,8250.0,1101100
2019-11-22,8250.0,8320.0,7920.0,7990.0,1271640
2019-11-25,7990.0,8090.0,7800.0,7920.0,658720
2019-11-26,7990.0,8090.0,7950.0,7990.0,536300
2019-11-27,8050.000000000001,8070.0,7940.0,7950.0,685240
2019-11-28,7950.0,7950.0,7740.0,7740.0,1262140
2019-11-29,7820.0,7820.0,7690.0,7790.0,605650
2019-12-02,7850.0,7870.0,7700.0,7720.0,794530
2019-12-03,7670.0,7850.0,7640.0,7720.0,696370
2019-12-04,7720.0,8039.999999999999,7690.0,8039.999999999999,1057000
2019-12-05,8039.999999999999,8070.0,7920.0,7920.0,929300
2019-12-06,7970.0,8039.999999999999,7920.0,7950.0,396390
2019-12-09,7940.0,8039.999999999999,7870.0,7870.0,698230
2019-12-10,7850.0,7890.0,7590.0,7590.0,1201410
2019-12-11,7650.0,7700.0,7550.0,7550.0,789350
2019-12-12,7650.0,7720.0,7600.0,7620.0,833370
2019-12-13,7720.0,7770.0,7590.0,7600.0,655650
2019-12-16,7550.0,7720.0,7550.0,7700.0,455490
2019-12-17,7700.0,7740.0,7550.0,7590.0,465730
2019-12-18,7590.0,7640.0,7390.0,7390.0,678970
2019-12-19,7490.0,7560.0,7250.0,7250.0,975160
2019-12-20,7250.0,7250.0,6880.0,6960.0,1150230
2019-12-23,6980.0,7130.0,6940.0,6940.0,587780
2019-12-24,7000.0,7100.0,6940.0,7080.0,347180
2019-12-25,7050.0,7170.0,7030.0,7110.0,313660
2019-12-26,7110.0,7130.0,7050.0,7080.0,359760
2019-12-27,7060.0,7280.0,7050.0,7280.0,690170
2019-12-30,7280.0,7400.0,7110.0,7130.0,508340
2019-12-31,7110.0,7300.0,7110.0,7270.0,448010
2020-01-02,7300.0,7390.0,7270.0,7320.0,654880
2020-01-03,7350.0,7400.0,7220.0,7220.0,630820
2020-01-06,7180.0,7200.0,7060.0,7100.0,1065060
2020-01-07,7110.0,7180.0,7060.0,7150.0,470270
2020-01-08,7100.0,7100.0,6880.0,7000.0,1126900
2020-01-09,7060.0,7100.0,6980.0,7060.0,569210
2020-01-10,7060.0,7220.0,7010.0,7150.0,1298430
2020-01-13,7170.0,7320.0,7150.0,7300.0,1409220
2020-01-14,7270.0,7340.0,7250.0,7300.0,539270
2020-01-15,7300.0,7320.0,7200.0,7200.0,566550
2020-01-16,7270.0,7440.0,7200.0,7440.0,1613670
2020-01-17,7440.0,7520.0,7350.0,7350.0,693850
2020-01-20,7300.0,7370.0,7300.0,7350.0,369830
2020-01-21,7340.0,7560.0,7320.0,7470.0,899530
2020-01-22,7490.0,7560.0,7440.0,7560.0,809310
2020-01-30,7390.0,7390.0,7030.0,7030.0,3212570
2020-01-31,6910.0,7080.0,6550.0,6550.0,2066250
2020-02-03,6130.0,6540.0,6110.0,6350.0,1599650
2020-02-04,6470.0,6470.0,6130.0,6140.0,1047760
2020-02-05,6300.0,6370.0,6160.0,6230.0,1540270
2020-02-06,6310.0,6520.0,6280.0,6430.0,1827860
2020-02-07,6430.0,6590.0,6350.0,6400.0,1583730
2020-02-10,6260.0,6370.0,6200.0,6250.0,1016710
2020-02-11,6300.0,6310.0,6230.0,6280.0,1244840
2020-02-12,6330.0,6540.0,6310.0,6450.0,1461010
2020-02-13,6430.0,6450.0,6330.0,6380.0,847930
2020-02-14,6380.0,6540.0,6350.0,6540.0,1669180
2020-02-17,6540.0,6760.0,6470.0,6470.0,1457530
2020-02-18,6550.0,6600.0,6420.0,6450.0,1220280
2020-02-19,6430.0,6480.0,6400.0,6420.0,869070
2020-02-20,6520.0,6570.0,6400.0,6430.0,1521590
2020-02-21,6430.0,6550.0,6400.0,6420.0,888380
2020-02-24,6230.0,6260.0,5970.0,5970.0,2619500
2020-02-25,5700.0,6030.0,5700.0,5990.0,1288010
2020-02-26,5750.0,5970.0,5750.0,5820.0,891910
2020-02-27,5820.0,6060.0,5820.0,6060.0,886890
2020-02-28,5860.0,5960.0,5790.0,5840.0,990930
2020-03-02,5920.0,5990.0,5860.0,5860.0,1198060
2020-03-03,5990.0,5990.0,5890.0,5890.0,1035920
2020-03-04,5820.0,6080.0,5820.0,6040.0,1404620
2020-03-05,6060.0,6330.0,6060.0,6180.0,1648110
2020-03-06,6130.0,6250.0,6030.0,6180.0,764600
2020-03-09,5750.0,5820.0,5750.0,5750.0,1248740
2020-03-10,5510.0,5740.0,5360.0,5550.0,1576420
2020-03-11,5630.0,5650.0,5170.0,5170.0,1583400
2020-03-12,4850.0,4870.0,4820.0,4820.0,1792810
2020-03-13,4490.0,4820.0,4490.0,4770.0,1921230
2020-03-16,4630.0,4800.0,4440.0,4480.0,1060990
2020-03-17,4290.0,4780.0,4270.0,4780.0,1381030
2020-03-18,4870.0,4940.0,4680.0,4700.0,1195960
2020-03-19,4530.0,4940.0,4530.0,4750.0,1586780
2020-03-20,4870.0,4880.0,4730.0,4750.0,1791480
2020-03-23,4530.0,4600.0,4430.0,4430.0,1029330
2020-03-24,4490.0,4560.0,4260.0,4270.0,1872520
2020-03-25,4460.0,4560.0,4310.0,4540.0,1778260
2020-03-26,4430.0,4540.0,4320.0,4320.0,1642900
2020-03-27,4360.0,4360.0,4190.0,4200.0,1477790
2020-03-30,3950.0,4050.0,3910.0,3910.0,1729030
2020-03-31,4030.000000000001,4080.0,3680.0,3800.0,1326110
2020-04-01,3850.0,4050.0,3810.0,4050.0,1466530
2020-04-03,4320.0,4320.0,4220.0,4320.0,1646440
2020-04-06,4560.0,4610.0,4510.0,4610.0,1861080
2020-04-07,4900.0,4920.0,4660.0,4900.0,5721480
2020-04-08,4770.0,5160.0,4700.0,5160.0,2609070
2020-04-09,5110.0,5400.0,5110.0,5240.0,2295490
2020-04-10,5140.0,5280.0,5020.0,5260.0,2697120
2020-04-13,5210.0,5310.0,5140.0,5280.0,2063380
2020-04-14,5280.0,5410.0,5120.0,5410.0,1792950
2020-04-15,5450.0,5650.0,5450.0,5580.0,1736130
2020-04-16,5500.0,5740.0,5450.0,5600.0,1526390
2020-04-17,5720.0,5860.0,5650.0,5720.0,2730130
2020-04-20,5820.0,5820.0,5480.0,5600.0,2668660
2020-04-21,5550.0,5620.0,5230.0,5340.0,2396620
2020-04-22,5170.0,5700.0,5120.0,5700.0,2276520
2020-04-23,5890.0,5920.0,5700.0,5750.0,1890290
2020-04-24,5720.0,5860.0,5630.0,5840.0,1855260
2020-04-27,5910.0,5920.0,5750.0,5790.0,1103270
2020-04-28,5790.0,5790.0,5650.0,5720.0,933630
2020-04-29,5720.0,5740.0,5570.0,5620.0,1808300
2020-05-04,5510.0,5510.0,5280.0,5280.0,2091820
2020-05-05,5380.0,5580.0,5280.0,5410.0,1106130
2020-05-06,5480.0,5580.0,5450.0,5580.0,1493960
2020-05-07,5550.0,5770.0,5510.0,5750.0,1966780
2020-05-08,5790.0,6090.0,5770.0,5870.0,4270560
2020-05-11,6010.0,6210.0,5920.0,6200.0,3185780
2020-05-12,6160.0,6250.0,6030.0,6160.0,2317490
2020-05-13,6060.0,6260.0,5970.0,6130.0,3081060
2020-05-14,6060.0,6540.0,5990.0,6310.0,3674570
2020-05-15,6330.0,6450.0,6210.0,6260.0,2433850
2020-05-18,6200.0,6380.0,6160.0,6370.0,1832790
2020-05-19,6540.0,6590.0,6350.0,6370.0,2867180
2020-05-20,6330.0,6400.0,6250.0,6300.0,2395000
2020-05-21,6350.0,6370.0,6260.0,6300.0,1771400
2020-05-22,6260.0,6520.0,6250.0,6300.0,2920160
2020-05-25,6310.0,6470.0,6300.0,6470.0,2273240
2020-05-26,6550.0,6790.0,6480.0,6760.0,4065930
2020-05-27,6790.0,6810.0,6370.0,6400.0,4015960
2020-05-28,6450.0,6520.0,6370.0,6430.0,2219910
2020-05-29,6380.0,6450.0,6350.0,6400.0,1708650
2020-06-01,6470.0,6640.0,6430.0,6640.0,1595610
2020-06-02,6740.0,6740.0,6450.0,6480.0,2017890
2020-06-03,6550.0,6590.0,6450.0,6550.0,1098170
2020-06-04,6690.0,6890.0,6670.0,6710.0,5172520
2020-06-05,4800.0,6880.0,6660.0,6810.0,2859450
2020-06-08,7010.0,7110.0,6910.0,7060.0,3135420
2020-06-09,7110.0,7130.0,6980.0,7050.0,2486940
2020-06-10,6980.0,7110.0,6860.0,7030.0,2715300
2020-06-11,7010.0,7080.0,6550.0,6550.0,4995600
2020-06-12,6200.0,6550.0,6160.0,6550.0,3271120
2020-06-15,6590.0,6600.0,6110.0,6110.0,4474570
2020-06-16,6300.0,6420.0,6210.0,6380.0,2267080
2020-06-17,6400.0,6470.0,6250.0,6380.0,1528300
2020-06-18,6300.0,6380.0,6230.0,6310.0,1217300
2020-06-19,6330.0,6620.0,6310.0,6600.0,2400720
2020-06-22,6600.0,6660.0,6520.0,6600.0,1844190
2020-06-23,6670.0,7060.0,6640.0,6940.0,5211610
2020-06-24,6940.0,6980.0,6640.0,6710.0,2609100
2020-06-25,6590.0,6720.0,6570.0,6660.0,1699180
2020-06-26,6710.0,6770.0,6450.0,6520.0,2478030
2020-06-29,6470.0,6500.0,6130.0,6250.0,2580940
2020-06-30,6370.0,6420.0,6130.0,6250.0,1523160
2020-07-01,6310.0,6520.0,6260.0,6480.0,1165560
2020-07-02,6540.0,6550.0,6430.0,6480.0,1047190
2020-07-03,6520.0,6550.0,6470.0,6470.0,1274600
2020-07-06,6570.0,6670.0,6520.0,6640.0,1209080
2020-07-07,6710.0,6740.0,6570.0,6570.0,1985400
2020-07-08,6570.0,6690.0,6540.0,6690.0,1700880
2020-07-09,6810.0,6870.0,6780.0,6810.0,1821580
2020-07-10,6740.0,6940.0,6740.0,6830.0,1964850
2020-07-13,6870.0,6900.0,6670.0,6760.0,1807570
2020-07-14,6720.0,6920.0,6670.0,6880.0,2123340
2020-07-15,6950.0,6970.0,6760.0,6790.0,1659160
2020-07-16,6790.0,6850.0,6740.0,6780.0,785130
2020-07-17,6780.0,6880.0,6740.0,6810.0,1658460
2020-07-20,6810.0,6850.0,6640.0,6640.0,1847310
2020-07-21,6710.0,6740.0,6490.0,6620.0,2501800
2020-07-22,6670.0,6670.0,6480.0,6530.0,1223120
2020-07-23,6530.0,6550.0,6420.0,6480.0,1125480
2020-07-24,6420.0,6460.0,6040.0,6090.0,3541100
2020-07-27,5820.0,6000.0,5670.0,5670.0,3533390
2020-07-28,5680.0,6050.0,5680.0,6050.0,2625840
2020-07-29,6000.0,6000.0,5650.0,5840.0,2914560
2020-07-30,5860.0,5930.0,5750.0,5860.0,2314760
2020-07-31,5680.0,5890.0,5680.0,5820.0,864240
2020-08-03,5790.0,6070.0,5790.0,6050.0,1928640
2020-08-04,6110.0,6140.0,5980.0,6090.0,2533470
2020-08-05,6050.0,6210.0,6020.0,6140.0,1917140
2020-08-06,6120.0,6180.0,6040.0,6090.0,1445140
2020-08-07,6090.0,6120.0,6000.0,6050.0,1424950
2020-08-10,6120.0,6210.0,6090.0,6120.0,2761400
2020-08-11,6180.0,6340.0,6120.0,6300.0,3043010
2020-08-12,6300.0,6350.0,6210.0,6270.0,1145990
2020-08-13,6420.0,6480.0,6300.0,6420.0,3243130
2020-08-14,6390.0,6440.0,6230.0,6320.0,2412500
2020-08-17,6230.0,6300.0,6160.0,6250.0,1484170
2020-08-18,6210.0,6300.0,6180.0,6210.0,1155580
2020-08-19,6250.0,6300.0,6190.0,6280.0,1276800
2020-08-20,6250.0,6280.0,6190.0,6210.0,1528750
2020-08-21,6230.0,6410.0,6190.0,6370.0,2740380
2020-08-24,6440.0,6600.0,6420.0,6490.0,3679900
2020-08-25,6570.0,6580.0,6480.0,6480.0,2309910
2020-08-26,6490.0,6650.0,6490.0,6570.0,3359280
2020-08-27,6570.0,6620.0,6530.0,6620.0,1739420
2020-08-28,6710.0,6790.0,6650.0,6650.0,5826520
2020-08-31,6670.0,6760.0,6490.0,6550.0,3625910
2020-09-01,6550.0,6670.0,6510.0,6640.0,1845750
2020-09-03,6740.0,6740.0,6640.0,6710.0,3563000
2020-09-04,6570.0,6990.0,6570.0,6880.0,6278360
2020-09-07,6950.0,7040.0,6760.0,6760.0,4312720
2020-09-08,6780.0,6920.0,6720.0,6920.0,3111560
2020-09-09,6790.0,7010.0,6780.0,6950.0,3809110
2020-09-10,7020.0,7110.0,6920.0,7010.0,4806310
2020-09-11,6990.0,7060.0,6940.0,6990.0,2587790
2020-09-14,7040.0,7040.0,6940.0,6950.0,2752720
2020-09-15,6990.0,7200.0,6950.0,7040.0,5506040
2020-09-16,7020.0,7150.0,7020.0,7150.0,2838120
2020-09-17,7130.0,7200.0,7080.0,7170.0,2531730
2020-09-18,7170.0,7320.0,7130.0,7310.0,3192360
2020-09-21,7360.0,7390.0,7270.0,7270.0,2944900
2020-09-22,7240.0,7290.0,7180.0,7250.0,2972730
2020-09-23,7270.0,7340.0,7250.0,7310.0,2029360
2020-09-24,7270.0,7320.0,7170.0,7310.0,2973870
2020-09-25,7310.0,7310.0,7110.0,7130.0,2270870
2020-09-28,7270.0,7340.0,7170.0,7310.0,2950730
2020-09-29,7340.0,7520.0,7310.0,7320.0,3727020
2020-09-30,7310.0,7430.0,7290.0,7410.0,2753770
2020-10-01,7500.0,7920.0,7470.0,7820.0,5563550
2020-10-02,7800.0,7910.0,7410.0,7690.0,4488560
2020-10-05,7800.0,7920.0,7770.0,7870.0,2197570
2020-10-06,7910.0,7920.0,7690.0,7770.0,3758740
2020-10-07,7730.0,7870.0,7680.0,7690.0,3209830
2020-10-08,7750.0,7780.0,7640.0,7780.0,2467840
2020-10-09,7890.0,7990.0,7820.0,7960.0,3225430
2020-10-12,8050.000000000001,8070.0,7770.0,7820.0,2700580
2020-10-13,7820.0,7820.0,7660.0,7770.0,1327320
2020-10-14,7780.0,7940.0,7730.0,7890.0,2775270
2020-10-15,7980.0,8029.999999999999,7820.0,7890.0,2692260
2020-10-16,7910.0,7960.0,7750.0,7920.0,2646120
2020-10-19,8050.000000000001,8280.0,8010.0,8080.0,4070010
2020-10-20,8050.000000000001,8150.0,7940.0,8119.999999999999,1710120
2020-10-21,8140.000000000001,8140.000000000001,7770.0,7770.0,4719090
2020-10-22,7680.0,7870.0,7590.0,7870.0,3454050
2020-10-23,7870.0,7910.0,7770.0,7800.0,2136830
2020-10-26,7800.0,7980.0,7730.0,7730.0,2987730
2020-10-27,7690.0,7770.0,7590.0,7590.0,2541080
2020-10-28,7550.0,7610.0,7270.0,7270.0,3346230
2020-10-29,7130.0,7390.0,7130.0,7320.0,2275710
2020-10-30,7380.0,7390.0,7200.0,7310.0,1388610
2020-11-02,7410.0,7480.0,7320.0,7480.0,855700
2020-11-03,7520.0,7710.0,7520.0,7680.0,3028360
2020-11-04,7710.0,7820.0,7640.0,7730.0,1916680
2020-11-05,7680.0,7820.0,7680.0,7690.0,1900850
2020-11-06,7770.0,7770.0,7610.0,7640.0,1312400
2020-11-09,7660.0,7850.0,7660.0,7850.0,2308210
2020-11-10,7990.0,8189.999999999999,7870.0,8029.999999999999,6331880
2020-11-11,7990.0,8080.0,7920.0,7980.0,2930600
2020-11-12,7940.0,8029.999999999999,7910.0,7980.0,1900890
2020-11-13,7980.0,8080.0,7960.0,8080.0,2964390
2020-11-16,8210.0,8210.0,7940.0,7940.0,3074140
2020-11-17,7990.0,8150.0,7940.0,8119.999999999999,2849510
2020-11-18,8119.999999999999,8280.0,8119.999999999999,8189.999999999999,3042970
2020-11-19,8240.0,8280.0,8170.0,8220.0,3367900
2020-11-20,8260.0,8260.0,8170.0,8260.0,2608660
2020-11-23,8290.0,8580.0,8150.0,8560.0,6742180
2020-11-24,8650.0,8740.0,8440.0,8650.0,4809780
2020-11-25,8650.0,8740.0,8540.0,8580.0,2707210
2020-11-26,8560.0,8560.0,8420.0,8540.0,2555050
2020-11-27,8610.0,8720.0,8560.0,8680.0,2045670
2020-11-30,8720.0,8720.0,8540.0,8540.0,2068090
2020-12-01,8380.0,8670.0,8380.0,8670.0,3009100
2020-12-02,8700.0,8910.0,8670.0,8720.0,4560920
2020-12-03,8810.0,8900.0,8750.0,8790.0,2744120
2020-12-04,8810.0,8820.0,8650.0,8670.0,2546830
2020-12-07,8680.0,8770.0,8670.0,8750.0,2509980
2020-12-08,8810.0,9350.0,8810.0,9350.0,22155480
2020-12-09,9510.0,9850.0,9500.0,9640.0,4512980
2020-12-10,9530.0,9740.0,9460.0,9480.0,3655170
2020-12-11,9460.0,9690.0,9280.0,9690.0,5954580
2020-12-14,9880.0,10310.0,9710.0,10150.0,5404280
2020-12-15,10100.0,10290.0,9950.0,10080.0,4877910
2020-12-16,10100.0,10170.0,9900.0,9940.0,5084250
2020-12-17,9870.0,9950.0,9640.0,9720.0,6134820
2020-12-18,9870.0,10340.0,9740.0,10310.0,4620300
2020-12-21,10480.0,10920.0,10400.0,10850.0,6305600
2020-12-22,10750.0,11000.0,10610.0,10820.0,5367590
2020-12-23,10770.0,10770.0,10240.0,10380.0,5581520
2020-12-24,10410.0,10480.0,9670.0,10240.0,5680020
2020-12-25,10180.0,10940.0,10180.0,10940.0,6229220
2020-12-28,11220.0,11400.0,10920.0,11280.0,5752960
2020-12-29,11190.0,11470.0,10940.0,11240.0,4302410
2020-12-30,11120.0,11280.0,10940.0,11030.0,4046180
2020-12-31,11030.0,11420.0,10940.0,11260.0,3866510
2021-01-04,11650.0,11800.0,11400.0,11470.0,4219300
2021-01-05,11330.0,11510.0,11290.0,11330.0,4315200
2021-01-06,11470.0,11710.0,11290.0,11330.0,4942500
2021-01-07,11510.0,11580.0,11290.0,11580.0,4028700
2021-01-08,11730.0,11900.0,11470.0,11690.0,5783900
2021-01-11,11730.0,11780.0,11370.0,11440.0,6534600
2021-01-12,11330.0,11650.0,11190.0,11580.0,6863400
2021-01-13,11580.0,11580.0,11380.0,11420.0,4458300
2021-01-14,11420.0,12210.0,11290.0,12070.0,11090000
2021-01-15,12190.0,12370.0,12100.0,12250.0,7380300
2021-01-18,12280.0,12280.0,11920.0,11940.0,7054600
2021-01-19,11850.0,11890.0,11120.0,11120.0,7708500
2021-01-20,11220.0,11330.0,10340.0,11120.0,6962300
2021-01-21,11120.0,11370.0,10830.0,11290.0,6858300
2021-01-22,11150.0,11330.0,10970.0,11040.0,4443800
2021-01-25,10850.0,11380.0,10310.0,11260.0,6842800
2021-01-26,11240.0,11260.0,10580.0,10690.0,4556400
2021-01-27,10580.0,10690.0,9950.0,9950.0,5646700
2021-01-28,9270.0,9750.0,9270.0,9270.0,5330700
2021-01-29,8680.0,9900.0,8680.0,9650.0,5712400
2021-02-01,9540.0,9770.0,8980.0,8980.0,4151100
2021-02-02,8980.0,9270.0,8660.0,9180.0,3925700
2021-02-03,9430.0,9810.0,9270.0,9790.0,6337600
2021-02-04,9790.0,10020.0,9610.0,9790.0,4825500
2021-02-05,9860.0,10150.0,9790.0,10040.0,3772600
2021-02-08,10150.0,10470.0,9500.0,9840.0,6306900
2021-02-09,9840.0,10130.0,9650.0,10110.0,4863300
2021-02-17,10360.0,10580.0,10180.0,10540.0,4131600
2021-02-18,10510.0,10690.0,10400.0,10470.0,4485600
2021-02-19,10330.0,10610.0,10260.0,10420.0,4184700
2021-02-22,10490.0,10670.0,10400.0,10510.0,4770900
2021-02-23,10470.0,10740.0,10400.0,10610.0,4247700
2021-02-24,10760.0,10900.0,10400.0,10470.0,4932200
2021-02-25,10610.0,10670.0,10400.0,10510.0,3002800
2021-02-26,10340.0,10510.0,10310.0,10450.0,3691700
2021-03-01,10720.0,11100.0,10540.0,11100.0,6413700
2021-03-02,11260.0,11280.0,11040.0,11120.0,5474800
2021-03-03,11150.0,11210.0,11060.0,11170.0,4510400
2021-03-04,11260.0,11380.0,10830.0,10860.0,5839500
2021-03-05,10790.0,11120.0,10600.0,11120.0,4498200
2021-03-08,11370.0,11620.0,11190.0,11330.0,5808400
2021-03-09,11210.0,11330.0,11030.0,11190.0,3202000
2021-03-10,11190.0,11530.0,11080.0,11490.0,6258900
2021-03-11,11620.0,11900.0,11620.0,11690.0,6795200
2021-03-12,11690.0,11760.0,11550.0,11650.0,3162400
2021-03-15,11650.0,11690.0,11470.0,11490.0,2969800
2021-03-16,11510.0,11530.0,11220.0,11280.0,3887700
2021-03-17,11240.0,11440.0,11240.0,11400.0,2648600
2021-03-18,11510.0,11650.0,11440.0,11560.0,2933800
2021-03-19,11600.0,11800.0,11510.0,11730.0,4259200
2021-03-22,11690.0,11760.0,11490.0,11490.0,2431300
2021-03-23,11530.0,11530.0,11240.0,11280.0,3666700
2021-03-24,11120.0,11240.0,10760.0,10760.0,4392700
2021-03-25,10940.0,10970.0,10690.0,10760.0,3503400
2021-03-26,10720.0,10940.0,10450.0,10610.0,3496200
2021-03-29,10850.0,10950.0,10740.0,10920.0,2145800
2021-03-30,10970.0,11150.0,10920.0,11150.0,2398400
2021-03-31,11190.0,11280.0,11040.0,11080.0,2176500
2021-04-01,11220.0,11800.0,11080.0,11730.0,5666500
2021-04-02,11980.0,12010.0,11690.0,11730.0,4325100
2021-04-05,12010.0,12010.0,11760.0,11940.0,5339700
2021-04-06,11830.0,12050.0,11760.0,11830.0,4020200
2021-04-07,11830.0,11940.0,11760.0,11900.0,2886800
2021-04-08,11990.0,12010.0,11800.0,11850.0,3377300
2021-04-09,11870.0,12280.0,11830.0,12080.0,4755000
2021-04-12,12250.0,12440.0,12030.0,12410.0,5273900
2021-04-13,12550.0,12550.0,11900.0,11900.0,5897600
2021-04-14,11830.0,12170.0,11760.0,12160.0,4883500
2021-04-15,12160.0,12170.0,11830.0,11830.0,4032400
2021-04-16,11690.0,11870.0,11290.0,11470.0,5583700
