date,open,high,low,close,volume
2019-09-12,5810.0,5810.0,5700.0,5740.0,657190
2019-09-13,5740.0,5980.0,5740.0,5980.0,490350
2019-09-16,6060.0,6260.0,5980.0,6220.0,675480
2019-09-17,6220.0,6320.0,6120.0,6230.0,469310
2019-09-18,6200.0,6230.0,6060.0,6120.0,438350
2019-09-19,6120.0,6180.0,6080.0,6120.0,238230
2019-09-20,6130.0,6290.0,6130.0,6160.0,398050
2019-09-23,6180.0,6200.0,5900.0,5900.0,765500
2019-09-24,5900.0,5990.0,5840.0,5840.0,403570
2019-09-25,5760.0,5920.0,5760.0,5900.0,196840
2019-09-26,5900.0,6080.0,5840.0,5840.0,285920
2019-09-27,5840.0,5950.0,5810.0,5810.0,265410
2019-09-30,5810.0,5920.0,5760.0,5920.0,339550
2019-10-01,5920.0,6330.0,5920.0,6330.0,1415430
2019-10-02,6400.0,6510.0,6320.0,6320.0,778920
2019-10-03,6230.0,6740.0,6190.0,6720.0,1517470
2019-10-04,6720.0,6780.0,6640.0,6650.0,562440
2019-10-07,6650.0,6820.0,6510.0,6510.0,957670
2019-10-08,6460.0,6680.0,6430.0,6680.0,800180
2019-10-09,6610.0,6880.0,6610.0,6700.0,785290
2019-10-10,6700.0,6700.0,6540.0,6580.0,426950
2019-10-11,6580.0,6600.0,6330.0,6350.0,953680
2019-10-14,6370.0,6370.0,5910.0,6020.0,2176590
2019-10-15,5970.0,6160.0,5970.0,6120.0,516240
2019-10-16,6160.0,6260.0,6090.0,6260.0,379760
2019-10-17,6260.0,6260.0,6120.0,6230.0,300810
2019-10-18,6230.0,6230.0,6050.0,6060.0,492670
2019-10-21,6010.0,6090.0,5980.0,6060.0,417940
2019-10-22,6060.0,6180.0,6040.0,6160.0,317820
2019-10-23,6130.0,6350.0,6130.0,6200.0,730250
2019-10-24,6200.0,6320.0,6160.0,6250.0,350410
2019-10-25,6250.0,6390.0,6230.0,6260.0,274990
2019-10-28,6230.0,6360.0,6230.0,6360.0,277700
2019-10-29,6390.0,6420.0,6250.0,6260.0,861950
2019-10-30,6260.0,6320.0,6180.0,6260.0,266440
2019-10-31,6260.0,6330.0,6180.0,6180.0,360770
2019-11-01,6180.0,6230.0,6120.0,6160.0,306250
2019-11-04,6180.0,6230.0,6160.0,6160.0,206520
2019-11-05,6180.0,6540.0,6160.0,6430.0,851920
2019-11-06,6390.0,6510.0,6390.0,6390.0,205240
2019-11-07,6390.0,6500.0,6390.0,6420.0,545070
2019-11-08,6430.0,6460.0,6390.0,6430.0,377600
2019-11-11,6430.0,6630.0,6430.0,6540.0,940920
2019-11-12,6540.0,6650.0,6470.0,6570.0,616270
2019-11-13,6570.0,6600.0,6510.0,6530.0,226920
2019-11-14,6500.0,6580.0,6490.0,6570.0,336450
2019-11-15,6570.0,6710.0,6540.0,6630.0,497000
2019-11-18,6630.0,6650.0,6500.0,6540.0,214170
2019-11-19,6540.0,6540.0,6430.0,6540.0,240190
2019-11-20,6510.0,6530.0,6370.0,6370.0,335380
2019-11-21,6390.0,6510.0,6350.0,6430.0,364690
2019-11-22,6460.0,6500.0,6180.0,6180.0,559740
2019-11-25,6180.0,6320.0,6180.0,6220.0,424610
2019-11-26,6220.0,6350.0,6220.0,6320.0,232060
2019-11-27,6320.0,6420.0,6320.0,6320.0,383000
2019-11-28,6290.0,6370.0,6180.0,6290.0,309250
2019-11-29,6290.0,6360.0,6230.0,6300.0,122260
2019-12-02,6290.0,6290.0,6180.0,6190.0,339690
2019-12-03,6190.0,6220.0,5900.0,5900.0,469970
2019-12-04,5940.0,6120.0,5940.0,6060.0,382300
2019-12-05,6060.0,6320.0,6060.0,6200.0,498630
2019-12-06,6200.0,6320.0,6180.0,6260.0,98910
2019-12-09,6220.0,6290.0,6220.0,6250.0,123610
2019-12-10,6250.0,6260.0,6120.0,6200.0,200530
2019-12-11,6270.0,6270.0,6090.0,6180.0,121190
2019-12-12,6120.0,6200.0,6120.0,6160.0,166280
2019-12-13,6150.0,6360.0,6150.0,6320.0,258450
2019-12-16,6300.0,6490.0,6230.0,6490.0,572640
2019-12-17,6430.0,6570.0,6430.0,6490.0,204540
2019-12-18,6420.0,6630.0,6420.0,6540.0,427560
2019-12-19,6540.0,6600.0,6420.0,6510.0,310660
2019-12-20,6460.0,6570.0,6430.0,6470.0,271150
2019-12-23,6560.0,6680.0,6500.0,6510.0,656630
2019-12-24,6510.0,6570.0,6470.0,6510.0,153940
2019-12-25,6500.0,6960.0,6500.0,6950.0,1754430
2019-12-26,6990.0,6990.0,6880.0,6910.0,412550
2019-12-27,6910.0,7080.0,6860.0,6880.0,413690
2019-12-30,6850.0,6960.0,6630.0,6710.0,968420
2019-12-31,6650.0,6710.0,6510.0,6680.0,460990
2020-01-02,6650.0,6890.0,6650.0,6880.0,467470
2020-01-03,6880.0,6890.0,6750.0,6880.0,529730
2020-01-06,6880.0,7100.0,6600.0,6600.0,967330
2020-01-07,6650.0,6820.0,6630.0,6750.0,562870
2020-01-08,6740.0,6740.0,6290.0,6350.0,951370
2020-01-09,6430.0,6500.0,6400.0,6470.0,457660
2020-01-10,6490.0,6540.0,6200.0,6200.0,771780
2020-01-13,6120.0,6250.0,6040.0,6180.0,597710
2020-01-14,6180.0,6370.0,6180.0,6320.0,325390
2020-01-15,6320.0,6440.0,6300.0,6320.0,146430
2020-01-16,6350.0,6360.0,6300.0,6320.0,240250
2020-01-17,6200.0,6320.0,6130.0,6200.0,297060
2020-01-20,6180.0,6200.0,6040.0,6060.0,392600
2020-01-21,6060.0,6250.0,6060.0,6250.0,173540
2020-01-22,6190.0,6360.0,6190.0,6330.0,196100
2020-01-30,6200.0,6320.0,6090.0,6110.0,231350
2020-01-31,5950.0,6090.0,5840.0,5900.0,778990
2020-02-03,5500.0,5590.0,5490.0,5490.0,1139950
2020-02-04,5390.0,5560.0,5390.0,5540.0,250170
2020-02-05,5560.0,5830.0,5540.0,5660.0,360280
2020-02-06,5660.0,5810.0,5560.0,5810.0,223420
2020-02-07,5830.0,5840.0,5700.0,5780.0,102010
2020-02-10,5780.0,5880.0,5700.0,5780.0,100320
2020-02-11,5780.0,5990.0,5780.0,5990.0,306620
2020-02-12,5990.0,6200.0,5990.0,6110.0,191280
2020-02-13,6180.0,6270.0,6090.0,6110.0,347490
2020-02-14,6060.0,6120.0,6060.0,6080.0,183280
2020-02-17,6110.0,6250.0,6090.0,6120.0,284010
2020-02-18,6120.0,6180.0,6050.0,6120.0,200900
2020-02-19,6120.0,6230.0,6120.0,6220.0,216950
2020-02-20,6220.0,6350.0,6190.0,6300.0,424110
