date,open,high,low,close,volume
2019-09-12,9810.0,9960.0,9810.0,9940.0,307290
2019-09-13,9890.0,10030.0,9890.0,10020.0,310610
2019-09-16,10030.0,10090.0,9890.0,9940.0,201400
2019-09-17,9940.0,9970.0,9800.0,9920.0,278230
2019-09-18,9940.0,10100.0,9940.0,10060.0,326920
2019-09-19,10060.0,10060.0,9940.0,10030.0,139290
2019-09-20,10060.0,10060.0,9860.0,9920.0,309610
2019-09-23,9920.0,9920.0,9730.0,9830.0,339290
2019-09-24,9830.0,9940.0,9740.0,9940.0,235490
2019-09-25,9940.0,10090.0,9940.0,10080.0,328480
2019-09-26,10150.0,10190.0,10080.0,10150.0,259520
2019-09-27,10150.0,10310.0,10120.0,10190.0,485670
2019-09-30,10260.0,10260.0,10060.0,10150.0,157660
2019-10-01,10060.0,10260.0,10060.0,10210.0,243560
2019-10-02,10230.0,10410.0,10210.0,10290.0,731040
2019-10-03,10320.0,10630.0,10290.0,10630.0,1173330
2019-10-04,10710.0,10730.0,10470.0,10520.0,497570
2019-10-07,10470.0,10550.0,10290.0,10290.0,488270
2019-10-08,10220.0,10380.0,10220.0,10350.0,302120
2019-10-09,10390.0,10580.0,10310.0,10470.0,556650
2019-10-10,10470.0,10580.0,10470.0,10540.0,621560
2019-10-11,10610.0,10630.0,10440.0,10540.0,840570
2019-10-14,10730.0,10790.0,10550.0,10580.0,1977970
2019-10-15,10500.0,10520.0,10220.0,10380.0,1311470
2019-10-16,10440.0,10440.0,10230.0,10260.0,381260
2019-10-17,10180.0,10280.0,10100.0,10230.0,688000
2019-10-18,10230.0,10370.0,10180.0,10290.0,382200
2019-10-21,10180.0,10350.0,10180.0,10260.0,281780
2019-10-22,10180.0,10340.0,10180.0,10260.0,413780
2019-10-23,10290.0,10290.0,10180.0,10260.0,268900
2019-10-24,10250.0,10290.0,10190.0,10230.0,278880
2019-10-25,10290.0,10290.0,10180.0,10250.0,375510
2019-10-28,10280.0,10340.0,10230.0,10250.0,235740
2019-10-29,10230.0,10280.0,10160.0,10160.0,245720
2019-10-30,10150.0,10230.0,10120.0,10210.0,234170
2019-10-31,10310.0,10380.0,10190.0,10250.0,420100
2019-11-01,10230.0,10250.0,10120.0,10250.0,304530
2019-11-04,10260.0,10410.0,10230.0,10410.0,592740
2019-11-05,10440.0,10480.0,10290.0,10390.0,430110
2019-11-06,10410.0,10500.0,10340.0,10340.0,423060
2019-11-07,10390.0,10390.0,10250.0,10290.0,283610
2019-11-08,10310.0,10310.0,10190.0,10260.0,263710
2019-11-11,10260.0,10260.0,10120.0,10150.0,420240
2019-11-12,10130.0,10180.0,9970.0,10090.0,597200
2019-11-13,10090.0,10120.0,10020.0,10090.0,249640
2019-11-14,10090.0,10120.0,10030.0,10100.0,201400
2019-11-15,10100.0,10150.0,10030.0,10130.0,226860
2019-11-18,10090.0,10130.0,9920.0,10060.0,597630
2019-11-19,10060.0,10060.0,9940.0,10000.0,347270
2019-11-20,10000.0,10090.0,9930.0,10080.0,394930
2019-11-21,10090.0,10090.0,9940.0,10080.0,740480
2019-11-22,10030.0,10060.0,9810.0,9930.0,596450
2019-11-25,9860.0,9920.0,9510.0,9570.0,504000
2019-11-26,9570.0,9860.0,9570.0,9860.0,1233960
2019-11-27,9860.0,10000.0,9640.0,9930.0,447470
2019-11-28,9680.0,9920.0,9680.0,9710.0,254640
2019-11-29,9630.0,9770.0,9630.0,9680.0,125960
2019-12-02,9740.0,9790.0,9340.0,9520.0,400150
2019-12-03,9190.0,9510.0,9160.0,9160.0,403550
2019-12-04,9060.0,9160.0,8960.0,9160.0,595770
2019-12-05,9180.0,9390.0,9180.0,9360.0,459370
2019-12-06,9190.0,9410.0,9190.0,9390.0,212750
2019-12-09,9390.0,9420.0,9320.0,9390.0,326840
2019-12-10,9340.0,9390.0,9340.0,9380.0,296090
2019-12-11,9290.0,9360.0,9250.0,9340.0,153220
2019-12-12,9280.0,9550.0,9280.0,9550.0,246720
2019-12-13,9550.0,9610.0,9450.0,9540.0,111500
2019-12-16,9540.0,9540.0,9420.0,9470.0,97750
2019-12-17,9480.0,9510.0,9420.0,9470.0,207810
2019-12-18,9450.0,9570.0,9420.0,9420.0,274750
2019-12-19,9450.0,9450.0,9390.0,9450.0,183920
2019-12-20,9480.0,9550.0,9420.0,9450.0,388480
2019-12-23,9470.0,9510.0,9360.0,9360.0,192570
2019-12-24,9360.0,9360.0,9100.0,9120.0,214870
2019-12-25,9190.0,9260.0,9070.0,9190.0,226870
2019-12-26,9430.0,9430.0,9160.0,9310.0,181060
2019-12-27,9180.0,9270.0,9090.0,9190.0,98820
2019-12-30,9180.0,9280.0,9030.0,9030.0,293760
2019-12-31,9030.0,9030.0,8850.0,8980.0,185130
2020-01-02,8890.0,9120.0,8890.0,8980.0,207360
2020-01-03,8980.0,9280.0,8980.0,9180.0,381270
2020-01-06,9210.0,9210.0,9000.0,9060.0,218960
2020-01-07,8980.0,9040.0,8910.0,9040.0,262170
2020-01-08,8950.0,9280.0,8560.0,9280.0,359560
2020-01-09,9040.0,9160.0,8920.0,9000.0,179980
2020-01-10,9000.0,9090.0,8860.0,8920.0,130280
2020-01-13,8770.0,8980.0,8770.0,8800.0,105560
2020-01-14,8920.0,9060.0,8800.0,9060.0,262930
2020-01-15,9090.0,9180.0,8970.0,9160.0,254790
2020-01-16,9060.0,9180.0,9040.0,9160.0,221510
2020-01-17,8980.0,9130.0,8970.0,8970.0,114120
2020-01-20,8890.0,8970.0,8860.0,8890.0,117710
2020-01-21,8890.0,8980.0,8860.0,8980.0,131460
2020-01-22,8980.0,9130.0,8940.0,8950.0,101130
2020-01-30,8950.0,8950.0,8530.0,8670.0,320140
2020-01-31,8610.0,8680.0,8230.0,8230.0,429210
2020-02-03,8050.000000000001,8050.000000000001,7660.0,7960.0,832420
2020-02-04,7800.0,7980.0,7750.0,7780.0,161190
2020-02-05,7780.0,7960.0,7780.0,7870.0,155520
2020-02-06,7920.0,8160.0,7810.0,8160.0,185780
2020-02-07,8080.0,8160.0,8010.0,8160.0,100460
2020-02-10,7960.0,8050.000000000001,7950.0,7950.0,93190
