date,open,high,low,close,volume
2019-09-12,6820.0,6960.0,6820.0,6940.0,5565420
2019-09-13,6930.0,6970.0,6900.0,6960.0,4664730
2019-09-16,6910.0,6970.0,6850.0,6970.0,5400470
2019-09-17,6970.0,6990.0,6900.0,6990.0,3597090
2019-09-18,6990.0,7100.0,6960.0,7080.0,6151170
2019-09-19,7080.0,7100.0,6990.0,7060.0,3407530
2019-09-20,7060.0,7060.0,6940.0,6970.0,5099340
2019-09-23,6960.0,6960.0,6770.0,6770.0,5357440
2019-09-24,6760.0,6820.0,6730.0,6820.0,1984900
2019-09-25,6800.0,6800.0,6700.0,6740.0,3962320
2019-09-26,6770.0,6850.0,6680.0,6850.0,3332860
2019-09-27,6850.0,6910.0,6820.0,6820.0,3189980
2019-09-30,6830.0,6850.0,6760.0,6760.0,3421220
2019-10-01,6760.0,6830.0,6730.0,6740.0,4063670
2019-10-02,6770.0,6790.0,6680.0,6700.0,4362700
2019-10-03,6680.0,6680.0,6600.0,6630.0,4558270
2019-10-04,6650.0,6680.0,6560.0,6570.0,4775630
2019-10-07,6570.0,6620.0,6530.0,6560.0,3320870
2019-10-08,6590.0,6740.0,6540.0,6740.0,3977030
2019-10-09,6740.0,6740.0,6680.0,6740.0,3081260
2019-10-10,6740.0,6800.0,6620.0,6620.0,3934250
2019-10-11,6650.0,6680.0,6590.0,6620.0,4148140
2019-10-14,6680.0,6680.0,6600.0,6600.0,2957400
2019-10-15,6620.0,6680.0,6570.0,6570.0,3612960
2019-10-16,6590.0,6620.0,6560.0,6560.0,2621160
2019-10-17,6560.0,6660.0,6560.0,6590.0,4831150
2019-10-18,6630.0,6630.0,6560.0,6590.0,2289250
2019-10-21,6590.0,6600.0,6530.0,6530.0,3170430
2019-10-22,6530.0,6660.0,6530.0,6650.0,4095850
2019-10-23,6650.0,6800.0,6650.0,6730.0,6895670
2019-10-24,6740.0,6800.0,6730.0,6770.0,5143080
2019-10-25,6770.0,6770.0,6700.0,6710.0,2378380
2019-10-28,6710.0,6860.0,6660.0,6830.0,7281100
2019-10-29,6830.0,6910.0,6800.0,6830.0,5344070
2019-10-30,6850.0,6850.0,6770.0,6770.0,3066190
2019-10-31,6770.0,6790.0,6680.0,6710.0,5768030
2019-11-01,6740.0,6800.0,6710.0,6740.0,4059500
2019-11-04,6800.0,6830.0,6680.0,6700.0,6038610
2019-11-05,6710.0,6820.0,6700.0,6740.0,5517760
2019-11-06,6770.0,6820.0,6760.0,6770.0,4525660
2019-11-07,6820.0,7000.0,6800.0,6990.0,13242680
2019-11-08,6990.0,7020.0,6930.0,6990.0,5281950
2019-11-11,6960.0,7110.0,6960.0,7020.0,8000180
2019-11-12,7000.0,7110.0,6940.0,7080.0,6553550
2019-11-13,7110.0,7130.0,6970.0,6970.0,6513310
2019-11-14,6970.0,7030.0,6930.0,6970.0,5526590
2019-11-15,6970.0,7020.0,6940.0,6970.0,3431350
2019-11-18,6990.0,7080.0,6990.0,7050.0,3835760
2019-11-19,7060.0,7060.0,6990.0,7020.0,4169110
2019-11-20,7020.0,7020.0,6850.0,6900.0,6959150
2019-11-21,6860.0,6880.0,6770.0,6770.0,7500750
2019-11-22,6830.0,6880.0,6770.0,6800.0,5765620
2019-11-25,6820.0,6880.0,6770.0,6850.0,4233870
2019-11-26,6880.0,7020.0,6880.0,6970.0,5487610
2019-11-27,7000.0,7020.0,6940.0,6960.0,3524960
2019-11-28,6960.0,6990.0,6910.0,6960.0,3754940
2019-11-29,6960.0,7060.0,6910.0,7030.0,6338320
2019-12-02,7030.0,7140.0,7030.0,7060.0,9096550
2019-12-03,7060.0,7300.0,6990.0,7220.0,9332060
2019-12-04,7200.0,7270.0,7190.0,7220.0,4913700
2019-12-05,7190.0,7220.0,7100.0,7110.0,5182270
2019-12-06,7110.0,7360.0,7110.0,7340.0,7127130
2019-12-09,7340.0,7530.0,7340.0,7450.0,7902140
2019-12-10,7450.0,7560.0,7420.0,7510.0,10161370
2019-12-11,7480.0,7510.0,7360.0,7510.0,5402830
2019-12-12,7480.0,7510.0,7420.0,7450.0,4152040
2019-12-13,7450.0,7540.0,7330.0,7330.0,9476390
2019-12-16,7330.0,7360.0,7250.0,7310.0,5120410
2019-12-17,7310.0,7340.0,7050.0,7130.0,9866630
2019-12-18,7130.0,7130.0,6930.0,6940.0,7586700
2019-12-19,6940.0,7110.0,6940.0,7020.0,5752800
2019-12-20,7060.0,7160.0,7020.0,7080.0,5415140
2019-12-23,7130.0,7230.0,7060.0,7100.0,4009100
2019-12-24,7100.0,7170.0,7060.0,7140.0,3219640
2019-12-25,7140.0,7200.0,7130.0,7130.0,2378750
2019-12-26,7170.0,7170.0,7080.0,7080.0,3007690
2019-12-27,7080.0,7250.0,7030.0,7250.0,4181570
2019-12-30,7280.0,7340.0,7230.0,7280.0,2937980
2019-12-31,7280.0,7300.0,7190.0,7230.0,2876730
2020-01-02,7230.0,7390.0,7190.0,7390.0,4232230
2020-01-03,7450.0,7500.0,7400.0,7430.0,7832210
2020-01-06,7390.0,7470.0,7340.0,7390.0,5371060
2020-01-07,7420.0,7450.0,7270.0,7300.0,4871220
2020-01-08,7230.0,7280.0,7130.0,7220.0,6421130
2020-01-09,7270.0,7430.0,7270.0,7390.0,4613440
2020-01-10,7420.0,7560.0,7400.0,7450.0,10006180
2020-01-13,7450.0,7510.0,7420.0,7470.0,4456520
2020-01-14,7470.0,7710.0,7450.0,7700.0,9565300
2020-01-15,7710.0,7800.0,7670.0,7740.0,5881520
2020-01-16,7700.0,7800.0,7680.0,7790.0,6855030
2020-01-17,7790.0,7900.0,7670.0,7700.0,6329150
2020-01-20,7700.0,7850.0,7600.0,7850.0,5711790
2020-01-21,7930.0,8000.0,7870.0,7960.0,5911660
2020-01-22,7960.0,8130.000000000001,7960.0,8100.0,8919900
2020-01-30,7870.0,7970.0,7680.0,7790.0,13028790
2020-01-31,7700.0,7790.0,7420.0,7420.0,10994970
2020-02-03,7170.0,7630.0,6990.0,7560.0,12079180
2020-02-04,7590.0,7630.0,7420.0,7570.0,8086090
2020-02-05,7650.0,7700.0,7450.0,7530.0,6938550
2020-02-06,7510.0,7760.0,7480.0,7760.0,9214150
2020-02-07,7760.0,7790.0,7450.0,7500.0,8120240
2020-02-10,7390.0,7590.0,7370.0,7500.0,4794830
2020-02-11,7530.0,7570.0,7220.0,7270.0,12551620
2020-02-12,7230.0,7430.0,7220.0,7330.0,9581940
2020-02-13,7310.0,7360.0,7270.0,7300.0,5263180
2020-02-14,7270.0,7310.0,7190.0,7300.0,5052290
