date,open,high,low,close,volume
2019-09-12,3390.0,3410.0,3350.0,3370.0,1191540
2019-09-13,3360.0,3370.0,3320.0,3320.0,1210340
2019-09-16,3320.0,3340.0,3270.0,3270.0,1783790
2019-09-17,3270.0,3360.0,3270.0,3320.0,1537530
2019-09-18,3320.0,3370.0,3310.0,3330.0,1400990
2019-09-19,3330.0,3360.0,3310.0,3310.0,906720
2019-09-20,3310.0,3440.0,3310.0,3380.0,3922210
2019-09-23,3380.0,3410.0,3340.0,3340.0,1551350
2019-09-24,3330.0,3370.0,3330.0,3340.0,598850
2019-09-25,3330.0,3360.0,3310.0,3310.0,1217590
2019-09-26,3320.0,3340.0,3300.0,3300.0,1150240
2019-09-27,3300.0,3360.0,3300.0,3340.0,1716000
2019-09-30,3340.0,3430.0,3330.0,3420.0,3732900
2019-10-01,3420.0,3510.0,3410.0,3500.0,3014230
2019-10-02,3530.0,3620.0,3520.0,3570.0,4618020
2019-10-03,3550.0,3620.0,3500.0,3620.0,3404420
2019-10-04,3650.0,3770.0,3630.0,3750.0,5678350
2019-10-07,3750.0,3770.0,3670.0,3700.0,2435940
2019-10-08,3710.0,3710.0,3650.0,3650.0,2212160
2019-10-09,3670.0,3750.0,3650.0,3670.0,3045950
2019-10-10,3720.0,3760.0,3680.0,3760.0,3151660
2019-10-11,3770.0,3850.0,3770.0,3780.0,3514760
2019-10-14,3820.0,3830.0,3730.0,3730.0,2442870
2019-10-15,3720.0,3730.0,3650.0,3650.0,3066700
2019-10-16,3670.0,3690.0,3570.0,3620.0,4856750
2019-10-17,3610.0,3670.0,3610.0,3660.0,1640190
2019-10-18,3620.0,3660.0,3520.0,3520.0,2689420
2019-10-21,3500.0,3520.0,3410.0,3430.0,3542480
2019-10-22,3420.0,3670.0,3420.0,3670.0,3577270
2019-10-23,3720.0,3780.0,3600.0,3600.0,4204650
2019-10-24,3650.0,3680.0,3620.0,3650.0,1949690
2019-10-25,3680.0,3710.0,3650.0,3670.0,3560030
2019-10-28,3770.0,3770.0,3690.0,3700.0,3962870
2019-10-29,3720.0,3720.0,3620.0,3620.0,2456120
2019-10-30,3620.0,3690.0,3600.0,3640.0,2439280
2019-10-31,3680.0,3840.0,3650.0,3650.0,6287100
2019-11-01,3650.0,3720.0,3650.0,3670.0,1495830
2019-11-04,3710.0,3710.0,3620.0,3630.0,2430910
2019-11-05,3630.0,3690.0,3620.0,3650.0,3321380
2019-11-06,3650.0,3810.0,3650.0,3750.0,5763520
2019-11-07,3770.0,3810.0,3750.0,3770.0,3471740
2019-11-08,3800.0,3810.0,3760.0,3760.0,2679040
2019-11-11,3750.0,3810.0,3720.0,3760.0,2388700
2019-11-12,3760.0,4020.0,3750.0,4020.0,10446090
2019-11-13,4030.000000000001,4100.0,3950.0,3980.0,6092370
2019-11-14,3970.0,4120.0,3950.0,4000.0,5205680
2019-11-15,3990.0,4040.0,3930.0,3950.0,3920780
2019-11-18,3980.0,4030.000000000001,3970.0,4030.000000000001,3827850
2019-11-19,4110.0,4200.0,4090.0,4160.0,5997420
2019-11-20,4160.0,4180.0,4110.0,4130.0,3916560
2019-11-21,4130.0,4230.0,4100.0,4170.0,3845290
2019-11-22,4190.0,4200.0,3880.0,3880.0,10135850
2019-11-25,3890.0,3960.0,3810.0,3830.0,4728830
2019-11-26,3880.0,3910.0,3850.0,3870.0,3763440
2019-11-27,3900.0,4000.0,3880.0,3960.0,2658670
2019-11-28,3980.0,4000.0,3850.0,3890.0,3730190
2019-11-29,3900.0,3970.0,3880.0,3970.0,2584340
2019-12-02,4010.0,4080.0,3970.0,4000.0,3884610
2019-12-03,4010.0,4160.0,3970.0,4090.0,6365480
2019-12-04,4120.0,4170.0,4070.000000000001,4130.0,3722300
2019-12-05,4130.0,4160.0,4000.0,4080.0,4632990
2019-12-06,4080.0,4140.0,4060.0,4100.0,3373940
2019-12-09,4100.0,4300.0,4100.0,4280.0,7881900
2019-12-10,4300.0,4320.0,4230.0,4280.0,4392540
2019-12-11,4280.0,4330.0,4200.0,4240.0,4069650
2019-12-12,4240.0,4320.0,4230.0,4320.0,3829550
2019-12-13,4340.0,4390.0,4270.0,4270.0,4033480
2019-12-16,4270.0,4310.0,4250.0,4290.0,2239330
2019-12-17,4290.0,4310.0,4090.0,4130.0,10940120
2019-12-18,4120.0,4160.0,4100.0,4120.0,2539540
2019-12-19,4120.0,4170.0,4120.0,4150.0,1620490
2019-12-20,4160.0,4280.0,4160.0,4260.0,2980680
2019-12-23,4260.0,4280.0,4160.0,4160.0,3001130
2019-12-24,4180.0,4220.0,4160.0,4160.0,1872230
2019-12-25,4200.0,4200.0,4130.0,4130.0,2104400
2019-12-26,4130.0,4180.0,4030.000000000001,4030.000000000001,3637320
2019-12-27,4050.0,4060.0,3970.0,4010.0,3572440
2019-12-30,4010.0,4130.0,4000.0,4060.0,1252960
2019-12-31,4110.0,4110.0,3910.0,3980.0,2737420
2020-01-02,3960.0,4180.0,3950.0,4180.0,3283180
2020-01-03,4180.0,4190.0,4060.0,4070.000000000001,3031450
2020-01-06,4080.0,4160.0,4020.0,4090.0,4757100
2020-01-07,4120.0,4140.0,4040.0,4040.0,2309430
2020-01-08,4000.0,4060.0,3950.0,4010.0,3644680
2020-01-09,4060.0,4210.0,4060.0,4130.0,4819780
2020-01-10,4160.0,4210.0,4130.0,4130.0,3632380
2020-01-13,4150.0,4200.0,4040.0,4050.0,4266560
2020-01-14,4050.0,4140.0,4000.0,4130.0,3581580
2020-01-15,4180.0,4340.0,4170.0,4310.0,9107900
2020-01-16,4340.0,4390.0,4310.0,4350.0,4634950
2020-01-17,4350.0,4400.0,4230.0,4300.0,4436910
2020-01-20,4280.0,4290.0,4190.0,4230.0,5054860
2020-01-21,4260.0,4380.0,4250.0,4360.0,4006910
2020-01-22,4370.0,4640.0,4340.0,4580.0,8908570
2020-01-30,4490.0,4530.0,4360.0,4420.0,8308440
2020-01-31,4420.0,4450.0,4160.0,4160.0,8590820
2020-02-03,3980.0,4230.0,3890.0,4200.0,8875150
2020-02-04,4200.0,4230.0,4040.0,4060.0,5395320
2020-02-05,4080.0,4120.0,4070.000000000001,4100.0,3039680
2020-02-06,4120.0,4240.0,4090.0,4210.0,4428100
2020-02-07,4210.0,4250.0,4120.0,4140.0,4292320
2020-02-10,4080.0,4170.0,4040.0,4090.0,3637020
2020-02-11,4160.0,4160.0,4000.0,4000.0,6924170
2020-02-12,4000.0,4090.0,4000.0,4020.0,5242530
2020-02-13,4020.0,4020.0,3930.0,4020.0,5252600
2020-02-14,4020.0,4110.0,4000.0,4110.0,3932620
2020-02-17,4130.0,4180.0,4120.0,4150.0,2950580
2020-02-18,4150.0,4200.0,4120.0,4150.0,4793030
2020-02-19,4160.0,4170.0,4110.0,4110.0,2427630
2020-02-20,4110.0,4250.0,4110.0,4250.0,6655340
2020-02-21,4280.0,4310.0,4160.0,4170.0,3055490
2020-02-24,4060.0,4130.0,3960.0,3960.0,7166340
2020-02-25,3870.0,4030.000000000001,3870.0,4020.0,3743840
2020-02-26,3970.0,4000.0,3920.0,3950.0,2211900
2020-02-27,3980.0,4000.0,3940.0,3980.0,2362340
2020-02-28,3920.0,3940.0,3850.0,3880.0,4996490
2020-03-02,3880.0,3930.0,3840.0,3870.0,1514160
2020-03-03,3950.0,3960.0,3870.0,3870.0,3274200
2020-03-04,3870.0,3950.0,3860.0,3930.0,2674520
2020-03-05,3960.0,4000.0,3930.0,3930.0,1994600
2020-03-06,3900.0,3920.0,3880.0,3880.0,1975180
2020-03-09,3620.0,3720.0,3610.0,3610.0,4346630
2020-03-10,3420.0,3660.0,3410.0,3590.0,4111980
2020-03-11,3610.0,3640.0,3340.0,3340.0,5312990
2020-03-12,3140.0,3260.0,3110.0,3110.0,8037500
2020-03-13,2910.0,3110.0,2900.0,3010.0,6260180
2020-03-16,2970.0,3210.0,2970.0,3060.0,4312470
2020-03-17,2960.0,3160.0,2960.0,3160.0,1989460
2020-03-18,3210.0,3230.0,3120.0,3140.0,3423240
2020-03-19,3070.0,3100.0,2960.0,3030.0,3094180
2020-03-20,3030.0,3090.0,2950.0,2970.0,2534240
2020-03-23,2810.0,2850.0,2760.0,2760.0,3586170
2020-03-24,2700.0,2750.0,2580.0,2590.0,5017710
2020-03-25,2700.0,2700.0,2620.0,2670.0,2720230
2020-03-26,2640.0,2650.0,2500.0,2500.0,3292760
2020-03-27,2540.0,2650.0,2450.0,2550.0,3222640
2020-03-30,2450.0,2450.0,2370.0,2370.0,4744120
2020-03-31,2400.0,2470.0,2220.0,2320.0,4557410
2020-04-01,2300.0,2480.0,2300.0,2480.0,4001500
2020-04-03,2600.0,2650.0,2500.0,2650.0,5102020
2020-04-06,2730.0,2840.0,2680.0,2840.0,6439490
