date,open,high,low,close,volume
2020-12-23,6830.0,6830.0,6430.0,6450.0,30431340
2020-12-24,6640.0,6640.0,6410.0,6560.0,7683250
2020-12-25,6560.0,7020.0,6560.0,7020.0,9311200
2020-12-28,7210.0,7210.0,7020.0,7110.0,8600300
2020-12-29,7150.0,7210.0,7020.0,7210.0,9680050
2020-12-30,7210.0,7210.0,7050.0,7170.0,6435250
2020-12-31,7130.0,7170.0,7030.0,7130.0,8721150
2021-01-04,7130.0,7170.0,6980.0,7130.0,10019300
2021-01-05,7130.0,7130.0,7000.0,7130.0,6425700
2021-01-06,7130.0,7380.0,7130.0,7360.0,13781900
2021-01-07,7360.0,7580.0,7320.0,7580.0,10025000
2021-01-08,7580.0,7850.0,7580.0,7810.0,9146300
2021-01-11,7810.0,7870.0,7770.0,7850.0,8229200
2021-01-12,7850.0,7850.0,7740.0,7770.0,5232000
2021-01-13,7720.0,7720.0,7490.0,7550.0,6368000
2021-01-14,7550.0,7550.0,7210.0,7550.0,5747400
2021-01-15,7550.0,7600.0,7450.0,7600.0,6096800
2021-01-18,7600.0,7600.0,7430.0,7430.0,3836200
2021-01-19,7450.0,7470.0,6920.0,7020.0,2760800
2021-01-20,7030.0,7050.0,6620.0,7020.0,2122300
2021-01-21,7030.0,7050.0,6920.0,7020.0,5980900
2021-01-22,7030.0,7110.0,6960.0,7050.0,6146500
2021-01-25,7050.0,7050.0,6940.0,6980.0,2317700
2021-01-26,6980.0,6980.0,6640.0,6900.0,2076500
2021-01-27,6790.0,6810.0,6450.0,6600.0,2240000
2021-01-28,6140.0,6410.0,6140.0,6140.0,1906300
2021-01-29,5730.0,6450.0,5730.0,6410.0,3033900
2021-02-01,6370.0,6370.0,6030.0,6300.0,1864400
2021-02-02,6070.0,6370.0,6070.0,6280.0,1491900
2021-02-03,6220.0,6640.0,6220.0,6640.0,3625100
2021-02-04,6640.0,6640.0,6490.0,6560.0,1112200
2021-02-05,6560.0,6600.0,6410.0,6600.0,2465500
2021-02-08,6560.0,6580.0,6350.0,6450.0,1467300
2021-02-09,6450.0,6620.0,6410.0,6600.0,1715400
2021-02-17,6620.0,6830.0,6600.0,6830.0,2077100
2021-02-18,6790.0,6830.0,6690.0,6750.0,1880300
2021-02-19,6710.0,7020.0,6660.0,7020.0,4718300
2021-02-22,7020.0,7150.0,7000.0,7130.0,5623500
2021-02-23,7130.0,7210.0,7000.0,7210.0,5946800
2021-02-24,7220.0,7240.0,6980.0,7190.0,2317700
2021-02-25,7170.0,7170.0,7000.0,7090.0,1531300
2021-02-26,6980.0,7110.0,6860.0,7110.0,2349300
2021-03-01,7110.0,7190.0,7070.0,7190.0,3239900
2021-03-02,7210.0,7220.0,7070.0,7190.0,2391700
2021-03-03,7190.0,7660.0,7070.0,7660.0,5598100
2021-03-04,7700.0,7700.0,7340.0,7430.0,3571700
2021-03-05,7450.0,7510.0,7300.0,7510.0,1846600
2021-03-08,7530.0,7550.0,7400.0,7510.0,2667300
2021-03-09,7430.0,7510.0,7400.0,7510.0,2822800
2021-03-10,7510.0,7570.0,7430.0,7570.0,2986000
2021-03-11,7580.0,7960.0,7550.0,7960.0,8762500
2021-03-12,7960.0,7980.0,7810.0,7890.0,4610100
2021-03-15,7950.0,8150.0,7910.0,8150.0,11402000
2021-03-16,8150.0,8310.0,7960.0,8310.0,6608200
2021-03-17,8270.0,8570.0,8230.0,8420.0,11731200
2021-03-18,8420.0,8530.0,7960.0,8530.0,11309900
2021-03-19,8460.0,8510.0,8270.0,8510.0,6436100
2021-03-22,8480.0,8480.0,8189.999999999999,8340.0,5063200
2021-03-23,8310.0,8310.0,8060.000000000001,8150.0,6249400
2021-03-24,8150.0,8530.0,8039.999999999999,8340.0,6169500
2021-03-25,8310.0,8340.0,8130.000000000001,8250.0,5718400
2021-03-26,8250.0,8270.0,7930.0,8250.0,4614500
2021-03-29,8189.999999999999,8230.0,8080.0,8210.0,6127400
2021-03-30,8210.0,8230.0,8080.0,8210.0,3757300
2021-03-31,8210.0,8360.0,8080.0,8290.0,6208800
2021-04-01,8290.0,8400.0,8290.0,8400.0,5410400
2021-04-02,8460.0,8570.0,8270.0,8570.0,8235700
2021-04-05,8590.0,8650.0,8530.0,8650.0,6408700
2021-04-06,8650.0,8670.0,8550.0,8630.0,6024100
2021-04-07,8610.0,8610.0,8500.0,8610.0,4460400
2021-04-08,8610.0,8630.0,8340.0,8360.0,4592700
2021-04-09,8360.0,8360.0,8250.0,8360.0,6552600
2021-04-12,8380.0,8840.0,8290.0,8840.0,10339600
2021-04-13,8840.0,8840.0,8530.0,8630.0,5651300
2021-04-14,8570.0,8680.0,8460.0,8680.0,4611600
2021-04-15,8680.0,8680.0,8400.0,8570.0,4711500
2021-04-16,8440.0,8550.0,8230.0,8400.0,4800500
2021-04-19,8400.0,8480.0,8270.0,8480.0,4472300
2021-04-20,8630.0,8720.0,8320.0,8500.0,8192700
2021-04-22,8510.0,8510.0,8150.0,8150.0,3962500
2021-04-23,8000.0,8340.0,7960.0,8310.0,3599100
2021-04-26,8320.0,8340.0,8119.999999999999,8230.0,2819900
2021-04-27,8150.0,8250.0,8060.000000000001,8060.000000000001,6336300
2021-04-28,8080.0,8230.0,8060.000000000001,8189.999999999999,3178800
2021-04-29,8210.0,8250.0,8100.0,8230.0,3835500
2021-05-04,8039.999999999999,8230.0,7960.0,8189.999999999999,2921400
2021-05-05,8230.0,8460.0,8230.0,8460.0,16356000
2021-05-06,8530.0,8630.0,8440.0,8500.0,10988100
2021-05-07,8500.0,8510.0,8340.0,8420.0,4094300
2021-05-10,8340.0,8630.0,8310.0,8570.0,8456800
2021-05-11,8610.0,8860.0,8610.0,8700.0,13380100
2021-05-12,8700.0,8800.0,8610.0,8800.0,7042000
2021-05-13,8760.0,8870.0,8650.0,8820.0,10390700
2021-05-14,8860.0,8970.0,8760.0,8870.0,11371400
2021-05-17,8910.0,8970.0,8670.0,8800.0,7568400
