date,open,high,low,close,volume
2019-09-12,2670.0,2690.0,2670.0,2690.0,179530
2019-09-13,2690.0,2700.0,2650.0,2690.0,142380
2019-09-16,2720.0,2720.0,2650.0,2690.0,163190
2019-09-17,2650.0,2690.0,2650.0,2650.0,174360
2019-09-18,2680.0,2680.0,2650.0,2670.0,388000
2019-09-19,2680.0,2680.0,2660.0,2670.0,157410
2019-09-20,2670.0,2750.0,2670.0,2700.0,328310
2019-09-23,2690.0,2740.0,2680.0,2680.0,139230
2019-09-24,2700.0,2700.0,2680.0,2680.0,105440
2019-09-25,2690.0,2700.0,2630.0,2640.0,167040
2019-09-26,2640.0,2670.0,2610.0,2650.0,114520
2019-09-27,2650.0,2660.0,2610.0,2620.0,323330
2019-09-30,2620.0,2620.0,2580.0,2600.0,316610
2019-10-01,2620.0,2630.0,2590.0,2600.0,118710
2019-10-02,2620.0,2640.0,2600.0,2620.0,114680
2019-10-03,2640.0,2690.0,2620.0,2680.0,806390
2019-10-04,2700.0,2750.0,2680.0,2680.0,469550
2019-10-07,2720.0,2720.0,2680.0,2710.0,465810
2019-10-08,2680.0,2750.0,2680.0,2710.0,480750
2019-10-09,2730.0,2740.0,2700.0,2710.0,455420
2019-10-10,2740.0,2750.0,2680.0,2710.0,250590
2019-10-11,2710.0,2750.0,2690.0,2700.0,512230
2019-10-14,2730.0,2730.0,2680.0,2700.0,146520
2019-10-15,2700.0,2720.0,2690.0,2690.0,89340
2019-10-16,2710.0,2720.0,2690.0,2710.0,314610
2019-10-17,2720.0,2720.0,2690.0,2720.0,239660
2019-10-18,2740.0,2740.0,2710.0,2720.0,169490
2019-10-21,2720.0,2720.0,2630.0,2700.0,169080
2019-10-22,2700.0,2830.0,2700.0,2790.0,75860
2019-10-23,2790.0,2930.0,2790.0,2820.0,133100
2019-10-24,2860.0,2860.0,2830.0,2850.0,203480
2019-10-25,2850.0,2860.0,2840.0,2840.0,52180
2019-10-28,2880.0,2910.0,2850.0,2870.0,121270
2019-10-29,2860.0,2880.0,2830.0,2830.0,175570
2019-10-30,2790.0,2830.0,2790.0,2820.0,214580
2019-10-31,2830.0,2880.0,2820.0,2820.0,426780
2019-11-01,2820.0,2830.0,2810.0,2820.0,144460
2019-11-04,2860.0,2860.0,2820.0,2820.0,152110
2019-11-05,2820.0,2840.0,2820.0,2820.0,663900
2019-11-06,2820.0,2920.0,2820.0,2920.0,232240
2019-11-07,2930.0,2950.0,2920.0,2930.0,290250
2019-11-08,2950.0,2970.0,2930.0,2960.0,301810
2019-11-11,2970.0,2980.0,2930.0,2950.0,207080
2019-11-12,2950.0,3000.0,2950.0,2980.0,564750
2019-11-13,3000.0,3000.0,2900.0,2940.0,390340
2019-11-14,2960.0,2980.0,2930.0,2930.0,357960
2019-11-15,2870.0,2950.0,2860.0,2900.0,456080
2019-11-18,2880.0,2930.0,2880.0,2900.0,750110
2019-11-19,2900.0,2950.0,2890.0,2900.0,515620
2019-11-20,2900.0,2940.0,2880.0,2890.0,616140
2019-11-21,2900.0,2900.0,2880.0,2880.0,538880
2019-11-22,2880.0,2880.0,2830.0,2830.0,880130
2019-11-25,2820.0,2840.0,2820.0,2840.0,385200
2019-11-26,2860.0,2860.0,2790.0,2820.0,322410
2019-11-27,2830.0,2880.0,2830.0,2880.0,410430
2019-11-28,2880.0,2880.0,2830.0,2830.0,218000
2019-11-29,2810.0,2870.0,2810.0,2820.0,41930
2019-12-02,2820.0,2840.0,2820.0,2840.0,283230
2019-12-03,2860.0,2950.0,2850.0,2880.0,163290
2019-12-04,2880.0,2930.0,2880.0,2890.0,188750
2019-12-05,2950.0,2950.0,2870.0,2880.0,63350
2019-12-06,2840.0,2930.0,2840.0,2930.0,90950
2019-12-09,2960.0,3050.0,2930.0,3020.0,609750
2019-12-10,3070.0,3210.0,3060.0,3210.0,1100280
2019-12-11,3230.0,3280.0,3220.0,3260.0,1175720
2019-12-12,3220.0,3270.0,3220.0,3250.0,514610
2019-12-13,3260.0,3310.0,3260.0,3310.0,1215570
2019-12-16,3310.0,3310.0,3240.0,3250.0,1114270
2019-12-17,3250.0,3250.0,3120.0,3140.0,1464280
2019-12-18,3050.0,3210.0,3050.0,3140.0,747970
2019-12-19,3140.0,3180.0,3120.0,3150.0,328150
2019-12-20,3150.0,3250.0,3150.0,3160.0,478280
2019-12-23,3140.0,3210.0,3100.0,3100.0,1251510
2019-12-24,3070.0,3150.0,3050.0,3100.0,635300
2019-12-25,3100.0,3160.0,3100.0,3130.0,153550
2019-12-26,3260.0,3260.0,3100.0,3150.0,322910
2019-12-27,3160.0,3200.0,3160.0,3180.0,280070
2019-12-30,3210.0,3260.0,3160.0,3210.0,372220
2019-12-31,3230.0,3230.0,3200.0,3210.0,388650
2020-01-02,3160.0,3430.0,3160.0,3430.0,1041740
2020-01-03,3510.0,3590.0,3510.0,3530.0,853560
2020-01-06,3530.0,3620.0,3450.0,3600.0,480230
