date,open,high,low,close,volume
2019-09-12,18500.0,18730.0,18500.0,18730.0,669930
2019-09-13,18730.0,18950.0,18600.0,18760.0,712310
2019-09-16,18760.0,18990.0,18690.0,18790.0,656260
2019-09-17,18790.0,18860.0,18600.0,18690.0,516060
2019-09-18,18600.0,18790.0,18530.0,18530.0,671480
2019-09-19,18560.0,18660.0,18430.0,18530.0,250240
2019-09-20,18530.0,18600.0,18300.0,18300.0,567460
2019-09-23,18330.0,18370.0,17940.0,17940.0,666430
2019-09-24,17940.0,18200.0,17810.0,18140.0,786160
2019-09-25,18010.0,18200.0,17940.0,18070.0,289780
2019-09-26,18170.0,18560.0,18140.0,18300.0,593280
2019-09-27,18400.0,18400.0,18110.0,18240.0,549110
2019-09-30,18140.0,18300.0,18070.0,18140.0,282260
2019-10-01,18070.0,18600.0,18010.0,18530.0,1084520
2019-10-02,18530.0,18790.0,18400.0,18660.0,777350
2019-10-03,18600.0,18860.0,18460.0,18790.0,419720
2019-10-04,18860.0,19080.0,18600.0,18920.0,978950
2019-10-07,18890.0,18920.0,18660.0,18660.0,254090
2019-10-08,18560.0,19250.0,18560.0,19150.0,873370
2019-10-09,19080.0,19080.0,18860.0,18920.0,379990
2019-10-10,18920.0,19180.0,18600.0,18730.0,363700
2019-10-11,18760.0,19050.0,18730.0,18890.0,599900
2019-10-14,18920.0,18950.0,18660.0,18790.0,330660
2019-10-15,18730.0,18860.0,18600.0,18820.0,566420
2019-10-16,18860.0,19020.0,18760.0,18820.0,574590
2019-10-17,18760.0,18790.0,18530.0,18730.0,603780
2019-10-18,18860.0,18860.0,18660.0,18730.0,212300
2019-10-21,18460.0,18690.0,18240.0,18300.0,943150
2019-10-22,18270.0,18430.0,18270.0,18400.0,208340
2019-10-23,18370.0,18760.0,18300.0,18690.0,733510
2019-10-24,18730.0,18920.0,18530.0,18600.0,910520
2019-10-25,18600.0,18730.0,18530.0,18660.0,216250
2019-10-28,18790.0,19050.0,18760.0,18760.0,428110
2019-10-29,18660.0,18950.0,18560.0,18600.0,678210
2019-10-30,18630.0,18860.0,18530.0,18730.0,377470
2019-10-31,18660.0,18860.0,18630.0,18630.0,277520
2019-11-01,18630.0,18790.0,18560.0,18760.0,738050
2019-11-04,18790.0,18820.0,18600.0,18600.0,443200
2019-11-05,18600.0,18760.0,18500.0,18690.0,705860
2019-11-06,18690.0,18730.0,18530.0,18630.0,608120
2019-11-07,18660.0,18730.0,18530.0,18600.0,535310
2019-11-08,18630.0,18660.0,18500.0,18560.0,307000
2019-11-11,18530.0,18560.0,18300.0,18330.0,703160
2019-11-12,18300.0,18530.0,18270.0,18460.0,441450
2019-11-13,18460.0,18500.0,18400.0,18460.0,111290
2019-11-14,18430.0,18500.0,18140.0,18370.0,1073080
2019-11-15,18370.0,18460.0,18270.0,18460.0,253850
2019-11-18,18400.0,18430.0,18370.0,18430.0,166920
2019-11-19,18400.0,18460.0,18240.0,18430.0,348740
2019-11-20,18330.0,18400.0,18270.0,18370.0,282060
2019-11-21,18270.0,18430.0,18270.0,18430.0,390130
2019-11-22,18430.0,18530.0,18070.0,18200.0,477710
2019-11-25,18200.0,18330.0,18010.0,18040.0,274150
2019-11-26,18040.0,18270.0,18040.0,18270.0,260200
2019-11-27,18270.0,18330.0,18070.0,18200.0,262410
2019-11-28,18200.0,18200.0,17880.0,17880.0,287410
2019-11-29,17810.0,18070.0,17780.0,18010.0,433000
2019-12-02,18010.0,18110.0,17910.0,18040.0,198330
2019-12-03,18040.0,18040.0,17810.0,17940.0,213190
2019-12-04,17940.0,18010.0,17840.0,17980.0,232400
2019-12-05,17980.0,18040.0,17880.0,18010.0,290820
2019-12-06,18010.0,18070.0,17910.0,18070.0,271610
2019-12-09,18070.0,18370.0,18010.0,18240.0,797940
2019-12-10,18270.0,18330.0,18040.0,18200.0,201840
2019-12-11,18390.0,18390.0,18090.0,18290.0,316590
2019-12-12,18250.0,18290.0,18090.0,18190.0,224440
2019-12-13,18190.0,18220.0,18090.0,18160.0,166410
2019-12-16,18160.0,18190.0,17860.0,17990.0,254310
2019-12-17,17920.0,18060.0,17760.0,17760.0,230570
2019-12-18,17790.0,17920.0,17590.0,17890.0,466660
2019-12-19,17760.0,18060.0,17430.0,17590.0,425620
2019-12-20,17590.0,17620.0,17430.0,17460.0,216960
2019-12-23,17460.0,17820.0,17430.0,17820.0,425390
2019-12-24,17820.0,18060.0,17760.0,18060.0,369300
2019-12-25,18060.0,18160.0,17920.0,18160.0,295450
2019-12-26,18120.0,18160.0,18020.0,18120.0,243870
2019-12-27,18090.0,18160.0,17920.0,18160.0,231100
2019-12-30,18190.0,18390.0,18090.0,18250.0,545360
2019-12-31,18250.0,18450.0,18190.0,18250.0,568210
2020-01-02,18250.0,18320.0,17920.0,18250.0,469670
2020-01-03,18220.0,18250.0,17890.0,17920.0,461720
2020-01-06,18120.0,18120.0,17660.0,17720.0,183360
2020-01-07,17720.0,17920.0,17590.0,17590.0,247700
2020-01-08,17590.0,17660.0,17460.0,17490.0,194830
2020-01-09,17560.0,17660.0,17360.0,17460.0,331280
2020-01-10,17460.0,17560.0,16990.0,17460.0,545400
2020-01-13,17490.0,17960.0,17490.0,17960.0,703210
2020-01-14,17960.0,18060.0,17860.0,18020.0,162990
2020-01-15,17920.0,17990.0,17860.0,17920.0,120260
2020-01-16,17920.0,17990.0,17760.0,17960.0,190870
2020-01-17,17960.0,17990.0,17860.0,17920.0,140900
2020-01-20,17920.0,18390.0,17890.0,18320.0,589750
2020-01-21,18450.0,18750.0,18220.0,18590.0,1177760
2020-01-22,18590.0,18750.0,18450.0,18650.0,1231370
2020-01-30,18390.0,18520.0,18020.0,18190.0,303480
2020-01-31,18220.0,18220.0,17360.0,17590.0,394740
2020-02-03,17390.0,17390.0,16600.0,17130.0,349490
2020-02-04,16890.0,17390.0,16890.0,17130.0,200300
2020-02-05,17160.0,17330.0,16990.0,17130.0,140720
2020-02-06,17130.0,17460.0,16990.0,17460.0,405010
2020-02-07,17390.0,17490.0,17260.0,17490.0,274290
2020-02-10,17430.0,17460.0,17190.0,17390.0,197640
2020-02-11,17330.0,17390.0,17260.0,17330.0,140730
2020-02-12,17290.0,17990.0,17260.0,17790.0,1235900
2020-02-13,17660.0,17890.0,17660.0,17820.0,326730
2020-02-14,17860.0,17890.0,17660.0,17860.0,234580
2020-02-17,17920.0,17920.0,17590.0,17790.0,307950
2020-02-18,17720.0,17820.0,17130.0,17390.0,684280
2020-02-19,17230.0,17520.0,16960.0,17460.0,995040
2020-02-20,17690.0,17690.0,17130.0,17260.0,514830
2020-02-21,17260.0,17260.0,16960.0,17260.0,690540
2020-02-24,16890.0,17160.0,16329.999999999998,16329.999999999998,512860
2020-02-25,16000.0,16560.0,15900.0,16560.0,718300
