date,open,high,low,close,volume
2019-09-12,15750.0,15880.0,15720.0,15790.0,299700
2019-09-13,15790.0,15790.0,15690.0,15750.0,147680
2019-09-16,15750.0,15790.0,15530.0,15570.0,205290
2019-09-17,15570.0,15570.0,15380.0,15500.0,149550
2019-09-18,15380.0,15500.0,15380.0,15500.0,119650
2019-09-19,15440.0,15440.0,15380.0,15410.0,205180
2019-09-20,15410.0,15410.0,14870.0,14870.0,4619110
2019-09-23,15380.0,15380.0,15060.0,15090.0,166150
2019-09-24,15090.0,15280.0,15090.0,15120.0,166550
2019-09-25,15000.0,15160.0,14870.0,15060.0,251870
2019-09-26,15000.0,15190.0,15000.0,15160.0,405030
2019-09-27,15160.0,15160.0,15060.0,15120.0,262650
2019-09-30,15120.0,15220.0,15060.0,15120.0,488470
2019-10-01,15220.0,15220.0,15120.0,15190.0,219130
2019-10-02,15190.0,15220.0,15090.0,15090.0,464680
2019-10-03,15060.0,15120.0,15000.0,15120.0,113600
2019-10-04,15120.0,15190.0,14970.0,14970.0,341160
2019-10-07,14970.0,15030.0,14970.0,15000.0,66820
2019-10-08,15000.0,15060.0,14930.0,15000.0,107280
2019-10-09,14930.0,15030.0,14930.0,15030.0,114540
2019-10-10,15000.0,15060.0,14870.0,14900.0,139670
2019-10-11,15000.0,15000.0,14840.0,14900.0,169940
2019-10-14,14930.0,14930.0,14240.0,14300.0,938150
2019-10-15,14300.0,14530.0,14300.0,14490.0,134870
2019-10-16,14560.0,14680.0,14370.0,14460.0,167490
2019-10-17,14460.0,14560.0,14370.0,14460.0,129200
2019-10-18,14680.0,14970.0,14680.0,14680.0,655540
2019-10-21,14780.0,14810.0,14590.0,14680.0,183350
2019-10-22,14680.0,14750.0,14560.0,14680.0,50730
2019-10-23,14680.0,14710.0,14620.0,14680.0,116910
2019-10-24,14620.0,14710.0,14490.0,14680.0,399310
2019-10-25,14680.0,14680.0,14590.0,14590.0,107610
2019-10-28,14590.0,14590.0,14430.0,14590.0,171450
2019-10-29,14590.0,14650.0,14490.0,14590.0,302570
2019-10-30,14590.0,14620.0,14400.0,14490.0,316380
2019-10-31,14460.0,14490.0,14430.0,14490.0,70370
2019-11-01,14530.0,14560.0,14460.0,14560.0,69970
2019-11-04,14530.0,14560.0,14460.0,14490.0,222330
2019-11-05,14460.0,14590.0,14370.0,14590.0,294940
2019-11-06,14490.0,14590.0,14430.0,14460.0,146270
2019-11-07,14460.0,14490.0,14430.0,14490.0,110210
2019-11-08,14490.0,14490.0,14430.0,14490.0,129910
2019-11-11,14490.0,14590.0,14460.0,14490.0,190960
2019-11-12,14490.0,14680.0,14490.0,14650.0,151870
2019-11-13,14650.0,15030.0,14650.0,14680.0,388630
2019-11-14,14750.0,14750.0,14650.0,14710.0,111780
2019-11-15,14750.0,14750.0,14650.0,14650.0,112370
2019-11-18,14680.0,14710.0,14430.0,14620.0,414760
2019-11-19,14620.0,14620.0,14460.0,14490.0,160660
2019-11-20,14490.0,14490.0,14400.0,14490.0,158380
2019-11-21,14490.0,14490.0,14270.0,14300.0,1057190
2019-11-22,14430.0,14430.0,14270.0,14340.0,252530
2019-11-25,14430.0,14430.0,14300.0,14370.0,274600
2019-11-26,14400.0,14650.0,14370.0,14370.0,203930
2019-11-27,14430.0,14430.0,14270.0,14270.0,182060
2019-11-28,14270.0,14340.0,14150.0,14340.0,513680
2019-11-29,14340.0,14340.0,14210.0,14240.0,218070
2019-12-02,14240.0,14240.0,14080.0,14180.0,112400
2019-12-03,14120.0,14370.0,13990.0,14210.0,529280
2019-12-04,14210.0,14400.0,14120.0,14210.0,960420
2019-12-05,14270.0,14340.0,14150.0,14210.0,548210
2019-12-06,14180.0,14210.0,14150.0,14180.0,118510
2019-12-09,14180.0,14270.0,14180.0,14240.0,322590
2019-12-10,14240.0,14300.0,14180.0,14180.0,266160
2019-12-11,14240.0,14240.0,14150.0,14180.0,79030
2019-12-12,14150.0,14180.0,14080.0,14120.0,286070
2019-12-13,14180.0,14180.0,14080.0,14120.0,113760
2019-12-16,14150.0,14150.0,14080.0,14120.0,109450
2019-12-17,14150.0,14210.0,14080.0,14150.0,195780
2019-12-18,14150.0,14180.0,13990.0,13990.0,371130
2019-12-19,13990.0,14080.0,13960.0,14050.0,166550
2019-12-20,14050.0,14050.0,13830.0,13830.0,230130
2019-12-23,13860.0,13990.0,13830.0,13860.0,128540
2019-12-24,13860.0,13860.0,13580.0,13610.0,193480
2019-12-25,13710.0,13710.0,13610.0,13640.0,97420
2019-12-26,13640.0,13670.0,13580.0,13670.0,33530
2019-12-27,13670.0,13710.0,13610.0,13670.0,108730
2019-12-30,13800.0,14120.0,13670.0,13670.0,420680
2019-12-31,13860.0,13860.0,13550.0,13640.0,269690
2020-01-02,13670.0,13740.0,13610.0,13710.0,210040
2020-01-03,13640.0,13670.0,13520.0,13520.0,436480
2020-01-06,13520.0,13520.0,13420.0,13490.0,93880
2020-01-07,13520.0,13550.0,13390.0,13490.0,167360
2020-01-08,13420.0,13420.0,12920.0,12920.0,547580
2020-01-09,13120.0,13180.0,12980.0,13120.0,185180
2020-01-10,13120.0,13120.0,12590.0,12590.0,226740
2020-01-13,12590.0,12620.0,12120.0,12190.0,272090
2020-01-14,12190.0,12450.0,12120.0,12260.0,102600
2020-01-15,12260.0,12520.0,12260.0,12360.0,137510
2020-01-16,12450.0,12450.0,12260.0,12360.0,138410
2020-01-17,12320.0,12360.0,12120.0,12120.0,223890
2020-01-20,12120.0,12260.0,12120.0,12190.0,123860
2020-01-21,12320.0,12420.0,12190.0,12420.0,107650
2020-01-22,12420.0,12720.0,12390.0,12620.0,126800
2020-01-30,12590.0,13120.0,12590.0,13120.0,486140
2020-01-31,13120.0,13220.0,12690.0,12750.0,174620
2020-02-03,12590.0,12590.0,11920.0,12390.0,393950
2020-02-04,12890.0,12890.0,12390.0,12590.0,183600
2020-02-05,12590.0,12820.0,12590.0,12750.0,213610
2020-02-06,12850.0,13320.0,12820.0,13320.0,355150
2020-02-07,13250.0,13710.0,13250.0,13610.0,289610
2020-02-10,13610.0,13610.0,13280.0,13510.0,147400
2020-02-11,13610.0,13910.0,13510.0,13850.0,131460
2020-02-12,13910.0,14180.0,13810.0,14040.0,467170
2020-02-13,14040.0,14080.0,13850.0,13950.0,157210
2020-02-14,13950.0,13950.0,13580.0,13910.0,225660
2020-02-17,13910.0,13910.0,13650.0,13650.0,174670
2020-02-18,13650.0,13710.0,13380.0,13480.0,273990
2020-02-19,13350.0,13550.0,13350.0,13350.0,146890
2020-02-20,13380.0,13550.0,13350.0,13510.0,144240
2020-02-21,13580.0,13580.0,13450.0,13450.0,196030
2020-02-24,13150.0,13180.0,12720.0,12850.0,456290
2020-02-25,12790.0,12920.0,12590.0,12890.0,613970
2020-02-26,12890.0,13120.0,12850.0,13080.0,148650
2020-02-27,13080.0,13350.0,13050.0,13220.0,104660
2020-02-28,13180.0,13180.0,12890.0,13050.0,216630
2020-03-02,13050.0,13220.0,13050.0,13080.0,97490
2020-03-03,13080.0,13320.0,13080.0,13180.0,181630
2020-03-04,12980.0,13220.0,12980.0,13220.0,71920
2020-03-05,13250.0,13280.0,13120.0,13180.0,192150
2020-03-06,13050.0,13180.0,13050.0,13180.0,69810
2020-03-09,12890.0,12890.0,12360.0,12520.0,495860
2020-03-10,12450.0,12920.0,12320.0,12850.0,139420
2020-03-11,12920.0,13180.0,12450.0,12720.0,217550
2020-03-12,12090.0,12720.0,11890.0,11960.0,373010
2020-03-13,11590.0,11920.0,11130.0,11590.0,1023590
