date,open,high,low,close,volume
2019-09-12,31990.0,31990.0,31780.0,31930.0,285150
2019-09-13,31830.0,32040.0,31420.0,31990.0,326570
2019-09-16,31780.0,32040.0,31780.0,31990.0,410970
2019-09-17,31990.0,33640.0,31780.0,33120.0,430510
2019-09-18,33230.0,33640.0,32610.0,32870.0,273460
2019-09-19,32870.0,32920.0,32140.0,32710.0,315370
2019-09-20,32870.0,32870.0,31880.0,31880.0,838140
2019-09-23,31990.0,32610.0,31880.0,31880.0,324460
2019-09-24,31880.0,32040.0,31570.0,31830.0,304940
2019-09-25,31830.0,32190.0,31670.0,32090.000000000004,293140
2019-09-26,32090.000000000004,32350.0,31990.0,32190.0,312650
2019-09-27,32350.0,32610.0,32190.0,32610.0,241230
2019-09-30,32610.0,33180.0,32550.0,33020.0,297110
2019-10-01,32870.0,33120.0,32760.0,32920.0,260660
2019-10-02,32760.0,33120.0,32660.0,32870.0,456840
2019-10-03,32610.0,33020.0,32610.0,32970.0,310680
2019-10-04,32610.0,33120.0,32610.0,32920.0,357440
2019-10-07,32920.0,33020.0,32090.000000000004,32350.0,292390
2019-10-08,32350.0,32500.0,32090.000000000004,32400.0,325800
2019-10-09,32400.0,32500.0,32040.0,32240.000000000004,291690
2019-10-10,32240.000000000004,32610.0,31620.0,31730.0,361150
2019-10-11,31730.0,32040.0,31570.0,32040.0,349300
2019-10-14,32040.0,32970.0,31780.0,32090.000000000004,764430
2019-10-15,32190.0,32190.0,31990.0,32140.0,404370
2019-10-16,32140.0,32710.0,31780.0,32090.000000000004,445580
2019-10-17,32090.000000000004,32140.0,31210.0,31210.0,574340
2019-10-18,31260.0,31730.0,31000.0,31110.0,431680
2019-10-21,31160.0,31310.0,31000.0,31210.0,284980
2019-10-22,31160.0,31520.0,31110.0,31310.0,308430
2019-10-23,31310.0,31670.0,31050.0,31310.0,294920
2019-10-24,31310.0,31570.0,31260.0,31520.0,366410
2019-10-25,31520.0,31670.0,31210.0,31310.0,298700
