date,open,high,low,close,volume
2019-09-12,9620.0,9970.0,9620.0,9780.0,720450
2019-09-13,9850.0,10090.0,9850.0,9970.0,802520
2019-09-16,10170.0,10210.0,9970.0,10010.0,820120
2019-09-17,9970.0,10010.0,9850.0,9850.0,522850
2019-09-18,9850.0,10170.0,9850.0,10010.0,713690
2019-09-19,10090.0,10090.0,9970.0,10010.0,707480
2019-09-20,10050.0,10050.0,9890.0,9890.0,1311040
2019-09-23,9890.0,10050.0,9890.0,9890.0,650780
2019-09-24,9890.0,9930.0,9850.0,9850.0,485060
2019-09-25,9850.0,9890.0,9700.0,9740.0,979390
2019-09-26,9820.0,9820.0,9620.0,9700.0,1515400
2019-09-27,9850.0,10130.0,9740.0,10010.0,3040780
2019-09-30,10050.0,10330.0,10010.0,10170.0,2611700
2019-10-01,10170.0,10250.0,10090.0,10130.0,1071420
2019-10-02,10130.0,10130.0,10010.0,10090.0,949780
2019-10-03,10010.0,10050.0,9850.0,9930.0,1066530
2019-10-04,9970.0,10250.0,9970.0,10130.0,2776940
2019-10-07,10130.0,10330.0,10130.0,10250.0,2550910
2019-10-08,10330.0,10410.0,10130.0,10210.0,1731410
2019-10-09,10210.0,10250.0,10130.0,10130.0,1281030
2019-10-10,10170.0,10250.0,10090.0,10170.0,2137300
2019-10-11,10210.0,10210.0,10010.0,10050.0,1290330
2019-10-14,10090.0,10170.0,10010.0,10130.0,1608460
2019-10-15,10090.0,10130.0,10050.0,10090.0,1110460
2019-10-16,10130.0,10450.0,10090.0,10370.0,4518750
2019-10-17,10450.0,10490.0,10330.0,10410.0,1820970
2019-10-18,10450.0,10640.0,10450.0,10490.0,4298110
2019-10-21,10490.0,10490.0,10330.0,10370.0,1395670
2019-10-22,10370.0,10370.0,10210.0,10290.0,2448870
2019-10-23,10290.0,10410.0,10170.0,10250.0,2690170
2019-10-24,10330.0,10410.0,10290.0,10330.0,1342400
2019-10-25,10410.0,10490.0,10330.0,10410.0,1917280
2019-10-28,10450.0,10490.0,10330.0,10330.0,1910680
2019-10-29,10290.0,10410.0,10170.0,10170.0,2227560
2019-10-30,10170.0,10290.0,10130.0,10210.0,1328290
2019-10-31,10330.0,10530.0,10250.0,10290.0,2865390
2019-11-01,10370.0,10680.0,10250.0,10680.0,3475030
2019-11-04,10720.0,11000.0,10600.0,10840.0,5394180
2019-11-05,10880.0,10920.0,10800.0,10800.0,2233670
2019-11-06,10800.0,10920.0,10720.0,10720.0,3032590
2019-11-07,10840.0,10840.0,10680.0,10720.0,1584190
2019-11-08,10800.0,10800.0,10640.0,10640.0,1541280
2019-11-11,10680.0,10680.0,10530.0,10560.0,2413190
2019-11-12,10560.0,10600.0,10490.0,10560.0,1766020
2019-11-13,10560.0,10720.0,10560.0,10560.0,1900110
2019-11-14,10560.0,10640.0,10530.0,10560.0,1245380
2019-11-15,10600.0,10640.0,10530.0,10600.0,1774620
2019-11-18,10720.0,10800.0,10640.0,10760.0,2409180
2019-11-19,10800.0,10880.0,10760.0,10840.0,1239810
2019-11-20,10880.0,10920.0,10760.0,10800.0,1408400
2019-11-21,10800.0,10800.0,10640.0,10800.0,1206600
2019-11-22,10760.0,10800.0,10490.0,10490.0,1981770
2019-11-25,10530.0,10560.0,10370.0,10490.0,1251490
2019-11-26,10490.0,10600.0,10450.0,10560.0,1976450
2019-11-27,10530.0,10600.0,10410.0,10450.0,1190110
2019-11-28,10450.0,10450.0,10130.0,10170.0,2086560
2019-11-29,10170.0,10210.0,10010.0,10090.0,1573450
2019-12-02,10090.0,10370.0,9850.0,9930.0,1412320
2019-12-03,9850.0,9930.0,9700.0,9780.0,2078100
2019-12-04,9700.0,10010.0,9700.0,10010.0,873600
2019-12-05,10050.0,10050.0,9890.0,9970.0,843930
2019-12-06,9930.0,9970.0,9890.0,9970.0,462520
2019-12-09,10010.0,10010.0,9890.0,9930.0,782040
2019-12-10,9890.0,9930.0,9740.0,9740.0,1932240
2019-12-11,9780.0,9850.0,9740.0,9850.0,583750
2019-12-12,9890.0,9890.0,9780.0,9780.0,752860
2019-12-13,9820.0,9850.0,9740.0,9740.0,994940
2019-12-16,9780.0,9970.0,9740.0,9970.0,1470600
2019-12-17,10010.0,10010.0,9740.0,9740.0,704870
2019-12-18,9740.0,9820.0,9700.0,9740.0,1228730
2019-12-19,9780.0,9890.0,9740.0,9820.0,983350
2019-12-20,9850.0,9890.0,9740.0,9740.0,2979160
2019-12-23,9820.0,9890.0,9780.0,9780.0,1691740
2019-12-24,9850.0,9890.0,9740.0,9780.0,964320
2019-12-25,9780.0,9780.0,9580.0,9700.0,2503850
2019-12-26,9660.0,9740.0,9620.0,9660.0,818600
2019-12-27,9660.0,9700.0,9220.0,9260.0,3954730
2019-12-30,9220.0,9300.0,8950.0,9070.0,3067050
2019-12-31,9070.0,9150.0,8990.0,9030.0,1263220
2020-01-02,9070.0,9380.0,9030.0,9380.0,1569270
2020-01-03,9380.0,9460.0,9180.0,9220.0,1245410
2020-01-06,9180.0,9220.0,8950.0,8950.0,2064670
2020-01-07,8990.0,9030.0,8830.0,8870.0,1893960
2020-01-08,8830.0,8830.0,8280.0,8480.0,5339280
2020-01-09,8550.0,8750.0,8510.0,8590.0,2226540
2020-01-10,8630.0,8790.0,8510.0,8750.0,1461150
2020-01-13,8750.0,8750.0,8670.0,8670.0,1298370
2020-01-14,8750.0,8750.0,8590.0,8590.0,1438620
2020-01-15,8590.0,8590.0,8510.0,8590.0,1119580
2020-01-16,8670.0,8710.0,8590.0,8670.0,1479520
2020-01-17,8710.0,8710.0,8510.0,8510.0,1629430
2020-01-20,8510.0,8590.0,8400.0,8440.0,1136080
2020-01-21,8590.0,8830.0,8590.0,8590.0,2980510
2020-01-22,8670.0,8790.0,8630.0,8750.0,1844340
2020-01-30,8670.0,8950.0,8670.0,8750.0,3263130
2020-01-31,8750.0,8830.0,8280.0,8280.0,2556250
2020-02-03,7810.0,8039.999999999999,7700.0,7880.0,3839880
2020-02-04,7960.0,8039.999999999999,7490.0,7490.0,3640180
2020-02-05,7570.0,7650.0,7470.0,7540.0,2301300
2020-02-06,7580.0,7920.0,7540.0,7920.0,2202420
2020-02-07,7920.0,7960.0,7800.0,7810.0,1520380
