date,open,high,low,close,volume
2019-09-12,11860.0,12070.0,11860.0,12070.0,1060050
2019-09-13,12070.0,12350.0,12030.0,12350.0,1384960
2019-09-16,12420.0,12700.0,12390.0,12670.0,1207290
2019-09-17,12670.0,12700.0,12560.0,12700.0,1521030
2019-09-18,12700.0,12700.0,12560.0,12630.0,1105230
2019-09-19,12700.0,12700.0,12530.0,12600.0,933450
2019-09-20,12600.0,12670.0,12560.0,12670.0,2362150
2019-09-23,12560.0,12630.0,12070.0,12630.0,1180960
2019-09-24,12670.0,12670.0,12600.0,12670.0,1174230
2019-09-25,12670.0,12700.0,12630.0,12670.0,1163350
2019-09-26,12670.0,12700.0,12630.0,12700.0,1345300
2019-09-27,12700.0,12700.0,12560.0,12670.0,1101490
2019-09-30,12670.0,12670.0,12560.0,12600.0,1059330
2019-10-01,12560.0,12630.0,12350.0,12560.0,1204650
2019-10-02,12560.0,12600.0,12420.0,12600.0,1163340
2019-10-03,12600.0,12630.0,12420.0,12530.0,1036090
2019-10-04,12530.0,12560.0,12460.0,12530.0,1073460
2019-10-07,12460.0,12600.0,12420.0,12560.0,1294250
2019-10-08,12600.0,12630.0,12530.0,12630.0,1487490
2019-10-09,12670.0,12700.0,12600.0,12630.0,1929060
2019-10-10,12600.0,12670.0,12560.0,12670.0,1514560
2019-10-11,12700.0,12700.0,12600.0,12700.0,1513660
2019-10-14,12840.0,13200.0,12740.0,13200.0,1720970
2019-10-15,13340.0,13410.0,13200.0,13270.0,1260410
2019-10-16,13410.0,13410.0,13130.0,13230.0,1228580
2019-10-17,12630.0,13230.0,12630.0,13200.0,1424840
2019-10-18,13200.0,13200.0,13020.0,13200.0,1318320
2019-10-21,12700.0,13200.0,12700.0,13160.0,1340860
2019-10-22,13160.0,13200.0,12910.0,12950.0,1315550
2019-10-23,13060.0,13130.0,12950.0,13130.0,1229540
2019-10-24,13200.0,13230.0,13060.0,13160.0,1234230
2019-10-25,13200.0,13200.0,13090.0,13200.0,1161940
