date,open,high,low,close,volume
2019-09-09,2010.0,2010.0,1980.0,2010.0,610473
2019-09-10,2010.0,2050.0,1980.0,2010.0,1472328
2019-09-11,1980.0,2010.0,1980.0,2010.0,1086359
2019-09-12,1980.0,2050.0,1980.0,2010.0,1793992
2019-09-13,2010.0,2080.0,2010.0,2050.0,3719112
2019-09-16,2050.0,2080.0,2010.0,2080.0,2609455
2019-09-17,2080.0,2080.0,2050.0,2050.0,2114474
2019-09-18,2080.0,2080.0,2050.0,2050.0,1225628
2019-09-19,2050.0,2140.0,2050.0,2140.0,5689809
2019-09-20,2140.0,2180.0,2110.0,2110.0,2834949
2019-09-23,2110.0,2180.0,2110.0,2140.0,3423276
2019-09-24,2140.0,2140.0,2110.0,2110.0,2874692
2019-09-25,2110.0,2140.0,2080.0,2110.0,1466360
2019-09-26,2110.0,2180.0,2110.0,2180.0,3054876
2019-09-27,2140.0,2180.0,2140.0,2140.0,1976014
2019-09-30,2140.0,2210.0,2140.0,2140.0,2659011
2019-10-01,2140.0,2180.0,2110.0,2140.0,1957804
2019-10-02,2140.0,2180.0,2110.0,2110.0,1373693
2019-10-03,2110.0,2140.0,2080.0,2140.0,1753704
2019-10-04,2140.0,2140.0,2110.0,2110.0,692012
2019-10-07,2140.0,2140.0,2080.0,2110.0,1861380
2019-10-08,2110.0,2140.0,2110.0,2110.0,1642425
2019-10-09,2110.0,2180.0,2110.0,2110.0,2772198
2019-10-10,2140.0,2140.0,2110.0,2110.0,998113
2019-10-11,2140.0,2180.0,2110.0,2140.0,1798906
2019-10-14,2140.0,2210.0,2140.0,2180.0,5452508
2019-10-15,2180.0,2210.0,2140.0,2180.0,1850797
2019-10-16,2180.0,2210.0,2180.0,2180.0,2215770
2019-10-17,2180.0,2210.0,2140.0,2180.0,1327624
2019-10-18,2180.0,2180.0,2110.0,2140.0,2705778
2019-10-21,2140.0,2140.0,2080.0,2110.0,4536917
2019-10-22,2110.0,2140.0,2110.0,2140.0,1433960
2019-10-23,2140.0,2140.0,2110.0,2110.0,2654492
2019-10-24,2110.0,2140.0,2110.0,2140.0,501837
2019-10-25,2110.0,2180.0,2110.0,2110.0,2135660
2019-10-28,2140.0,2210.0,2110.0,2180.0,4877805
2019-10-29,2210.0,2240.0,2140.0,2140.0,1318977
2019-10-30,2140.0,2180.0,2140.0,2140.0,1477074
2019-10-31,2180.0,2210.0,2140.0,2140.0,4408265
2019-11-01,2140.0,2180.0,2140.0,2140.0,1985704
2019-11-04,2140.0,2240.0,2140.0,2180.0,5626319
2019-11-05,2180.0,2210.0,2140.0,2180.0,2862740
2019-11-06,2180.0,2210.0,2180.0,2180.0,2399849
2019-11-07,2180.0,2210.0,2180.0,2210.0,1742118
2019-11-08,2210.0,2240.0,2180.0,2210.0,3735401
2019-11-11,2210.0,2210.0,2180.0,2180.0,2486069
2019-11-12,2180.0,2210.0,2180.0,2180.0,1114075
2019-11-13,2180.0,2210.0,2140.0,2180.0,3882309
2019-11-14,2180.0,2180.0,2140.0,2140.0,1009919
2019-11-15,2140.0,2180.0,2110.0,2140.0,2830430
2019-11-18,2180.0,2180.0,2110.0,2110.0,2177965
2019-11-19,2110.0,2140.0,2110.0,2110.0,1034709
2019-11-20,2140.0,2140.0,2110.0,2140.0,2163539
2019-11-21,2140.0,2140.0,2080.0,2110.0,2113433
2019-11-22,2110.0,2110.0,2080.0,2080.0,2266356
2019-11-25,2080.0,2110.0,2050.0,2080.0,2104471
2019-11-26,2080.0,2110.0,2080.0,2080.0,2027069
2019-11-27,2110.0,2110.0,2050.0,2050.0,1641829
2019-11-28,2050.0,2080.0,2010.0,2010.0,1903109
2019-11-29,2010.0,2010.0,1950.0,1950.0,4491797
2019-12-02,1950.0,1980.0,1920.0,1920.0,3284751
2019-12-03,1920.0,1980.0,1920.0,1950.0,1961490
2019-12-04,1950.0,2010.0,1950.0,1980.0,1357587
2019-12-05,1980.0,2010.0,1950.0,1980.0,1714885
2019-12-06,1980.0,2010.0,1950.0,1980.0,1706660
2019-12-09,2010.0,2010.0,1950.0,1980.0,1229267
2019-12-10,1980.0,1980.0,1950.0,1950.0,1101616
2019-12-11,1980.0,1980.0,1920.0,1980.0,1188911
2019-12-12,1980.0,1980.0,1950.0,1950.0,859454
2019-12-13,1950.0,1980.0,1950.0,1950.0,1287829
2019-12-16,1980.0,2140.0,1980.0,2080.0,8212423
2019-12-17,2080.0,2110.0,2010.0,2050.0,3629055
2019-12-18,2050.0,2080.0,2010.0,2010.0,1234769
2019-12-19,2010.0,2050.0,1980.0,2010.0,2917570
2019-12-20,2010.0,2050.0,1980.0,2010.0,1645382
2019-12-23,2010.0,2050.0,1980.0,2010.0,2001002
2019-12-24,2010.0,2010.0,1980.0,2010.0,1083863
2019-12-25,2010.0,2050.0,1980.0,2010.0,1527551
2019-12-26,2010.0,2010.0,1980.0,1980.0,1602485
2019-12-27,1980.0,2080.0,1980.0,2080.0,3477811
2019-12-30,2080.0,2140.0,2050.0,2080.0,6453871
2019-12-31,2110.0,2140.0,2080.0,2110.0,3941407
2020-01-02,2110.0,2180.0,2110.0,2180.0,5266138
2020-01-03,2180.0,2180.0,2110.0,2110.0,2756634
2020-01-06,2110.0,2140.0,2080.0,2080.0,2225405
2020-01-07,2080.0,2140.0,2080.0,2080.0,1900049
2020-01-08,2080.0,2140.0,2050.0,2080.0,4952178
2020-01-09,2110.0,2180.0,2080.0,2110.0,4564607
2020-01-10,2140.0,2310.0,2140.0,2310.0,12074293
2020-01-13,2310.0,2370.0,2270.0,2340.0,6713670
2020-01-14,2340.0,2370.0,2310.0,2340.0,4214729
2020-01-15,2340.0,2400.0,2310.0,2400.0,5862093
2020-01-16,2400.0,2500.0,2400.0,2440.0,5813973
2020-01-17,2440.0,2500.0,2370.0,2370.0,5603239
2020-01-20,2370.0,2400.0,2340.0,2340.0,5686173
2020-01-21,2310.0,2470.0,2310.0,2400.0,3921607
2020-01-22,2400.0,2500.0,2400.0,2500.0,5596112
2020-01-30,2470.0,2570.0,2400.0,2440.0,9105370
2020-01-31,2440.0,2570.0,2400.0,2440.0,18935757
2020-02-03,2370.0,2570.0,2370.0,2570.0,27397994
2020-02-04,2630.0,2670.0,2590.0,2670.0,7888715
2020-02-05,2670.0,2910.0,2670.0,2910.0,13147005
2020-02-06,2910.0,3060.0,2910.0,2990.0,9104379
2020-02-07,2990.0,3030.0,2790.0,2790.0,10890679
2020-02-10,2790.0,2830.0,2670.0,2670.0,10748016
2020-02-11,2710.0,2830.0,2670.0,2830.0,9393306
2020-02-12,2830.0,2910.0,2830.0,2870.0,8981890
2020-02-13,2870.0,2870.0,2750.0,2830.0,11588530
2020-02-14,2830.0,2910.0,2830.0,2870.0,5467484
2020-02-17,2870.0,2950.0,2830.0,2910.0,6810878
2020-02-18,2870.0,2910.0,2830.0,2870.0,4349999
2020-02-19,2870.0,2870.0,2750.0,2750.0,6807758
2020-02-20,2750.0,2830.0,2710.0,2710.0,9524499
2020-02-21,2750.0,2790.0,2670.0,2710.0,4420990
2020-02-24,2710.0,2830.0,2630.0,2790.0,20882603
2020-02-25,2750.0,2910.0,2710.0,2870.0,14034831
2020-02-26,2870.0,3140.0,2830.0,3140.0,30512712
2020-02-27,3140.0,3460.0,3140.0,3460.0,18183092
2020-02-28,3460.0,3770.0,3380.0,3770.0,34257491
2020-03-02,3730.0,4130.0,3580.0,4130.0,54625808
2020-03-03,4130.0,4520.0,4050.0,4440.0,42647821
2020-03-04,4360.0,4720.0,4240.0,4720.0,50027154
2020-03-05,4680.0,5190.0,4640.0,5070.0,65589848
2020-03-06,5070.0,5110.0,4720.0,4870.0,22246933
2020-03-09,4440.0,4750.0,4400.0,4400.0,4400928
2020-03-10,3970.0,4400.0,3970.0,3970.0,14000432
2020-03-11,3770.0,4360.0,3730.0,4360.0,28794377
2020-03-12,4360.0,4520.0,4240.0,4400.0,16970413
2020-03-13,4200.0,4440.0,3970.0,4320.0,28882992
2020-03-16,4280.0,4320.0,4130.0,4320.0,8688136
2020-03-17,4200.0,4440.0,4090.0,4440.0,12201261
2020-03-18,4320.0,4720.0,4320.0,4680.0,7407963
2020-03-19,4680.0,4680.0,4520.0,4640.0,4986718
2020-03-20,4600.0,4720.0,4480.0,4720.0,6011812
2020-03-23,4560.0,4720.0,4560.0,4640.0,13749681
2020-03-24,4600.0,4720.0,4560.0,4680.0,8322806
2020-03-25,4680.0,4990.0,4680.0,4990.0,4967554
2020-03-26,4990.0,5030.0,4830.0,4910.0,4013630
2020-03-27,4910.0,4950.0,4750.0,4870.0,3671541
2020-03-30,4790.0,4790.0,4560.0,4680.0,4326720
2020-03-31,4680.0,4870.0,4680.0,4790.0,3548092
2020-04-01,4720.0,5110.0,4720.0,5070.0,3776573
2020-04-03,5070.0,5230.0,5030.0,5230.0,4185700
2020-04-06,5110.0,5740.0,5110.0,5740.0,9067705
2020-04-07,5740.0,5850.0,5580.0,5850.0,5730224
2020-04-08,5820.0,6090.0,5740.0,6090.0,6052955
2020-04-09,6050.0,6480.0,5970.0,6440.0,3893860
2020-04-10,6400.0,7070.0,5890.0,6880.0,4915216
2020-04-13,6920.0,7150.0,6680.0,6990.0,3262672
2020-04-14,6990.0,6990.0,6720.0,6990.0,5084359
2020-04-15,6950.0,7070.0,6920.0,7070.0,5145129
2020-04-16,7070.0,7070.0,6880.0,7030.0,2606662
2020-04-17,6880.0,7150.0,6880.0,7070.0,4932621
2020-04-20,7070.0,7070.0,6840.0,6840.0,4937658
2020-04-21,6680.0,6840.0,6170.0,6170.0,5584359
2020-04-22,6090.0,6600.0,5700.0,6370.0,3305313
2020-04-23,6370.0,6600.0,6330.0,6440.0,1785925
2020-04-24,6290.0,6440.0,6290.0,6440.0,1236565
2020-04-27,6400.0,6440.0,6250.0,6330.0,1674463
2020-04-28,6330.0,6330.0,6050.0,6290.0,1814591
2020-04-29,6290.0,6290.0,6170.0,6250.0,1362714
2020-05-04,6210.0,6210.0,6090.0,6130.0,1922976
2020-05-05,6090.0,6210.0,5930.0,5970.0,2449848
2020-05-06,5970.0,6090.0,5820.0,6090.0,2734983
2020-05-07,6090.0,6330.0,6090.0,6330.0,2012928
2020-05-08,6330.0,6680.0,6090.0,6680.0,3808903
2020-05-11,6680.0,6880.0,6640.0,6880.0,2107280
2020-05-12,6880.0,6880.0,6720.0,6800.0,1544029
2020-05-13,6720.0,6840.0,6640.0,6800.0,1176130
2020-05-14,6760.0,6840.0,6640.0,6760.0,2680578
2020-05-15,6760.0,6760.0,6090.0,6090.0,4373756
2020-05-18,6090.0,6090.0,5500.0,5850.0,6367453
2020-05-19,5850.0,6050.0,5660.0,5700.0,4170990
2020-05-20,5700.0,5700.0,5150.0,5150.0,6287217
2020-05-21,4640.0,4910.0,4640.0,4720.0,26292100
2020-05-22,4720.0,5190.0,4520.0,5190.0,13863233
2020-05-25,5340.0,5700.0,5150.0,5540.0,8898341
2020-05-26,5420.0,5620.0,5150.0,5500.0,9933431
2020-05-27,5460.0,5580.0,5270.0,5340.0,9628207
2020-05-28,5340.0,5620.0,5270.0,5540.0,9248948
2020-05-29,5540.0,5540.0,5380.0,5500.0,6773051
2020-06-01,5500.0,5580.0,5380.0,5540.0,9478349
2020-06-02,5500.0,5620.0,5420.0,5500.0,4778747
2020-06-03,5500.0,5970.0,5420.0,5970.0,12214182
2020-06-04,5970.0,6290.0,5970.0,6250.0,6320457
2020-06-05,6250.0,6290.0,6130.0,6290.0,5735946
2020-06-08,6290.0,6520.0,6250.0,6440.0,7691861
2020-06-09,6370.0,6480.0,6330.0,6330.0,4048463
2020-06-10,6330.0,6440.0,6210.0,6370.0,4871557
2020-06-11,6440.0,6640.0,6090.0,6090.0,11068056
2020-06-12,5890.0,6290.0,5500.0,6290.0,3997346
2020-06-15,6290.0,6440.0,6090.0,6210.0,7107827
2020-06-16,6400.0,6440.0,6170.0,6330.0,8303243
2020-06-17,6290.0,6330.0,5700.0,5700.0,5295572
2020-06-18,5700.0,5780.0,5420.0,5500.0,4087187
2020-06-19,5500.0,5780.0,5500.0,5780.0,1899304
2020-06-22,5780.0,5930.0,5700.0,5700.0,1547627
2020-06-23,5700.0,5740.0,5500.0,5580.0,3125484
2020-06-24,5580.0,5740.0,5460.0,5460.0,3058217
2020-06-25,5460.0,5620.0,5340.0,5620.0,1218440
2020-06-26,5620.0,5740.0,5500.0,5500.0,1661000
2020-06-29,5460.0,5460.0,5110.0,5150.0,1810313
2020-06-30,5190.0,5300.0,4790.0,5110.0,3048688
2020-07-01,5110.0,5270.0,4830.0,5190.0,1490369
2020-07-02,5190.0,5230.0,5110.0,5110.0,1258750
2020-07-03,5110.0,5150.0,5030.0,5030.0,1079047
2020-07-06,4990.0,5150.0,4950.0,5070.0,1669494
2020-07-07,5070.0,5270.0,4720.0,5150.0,2588555
2020-07-08,4870.0,5230.0,4870.0,5150.0,1322431
2020-07-09,5190.0,5270.0,5110.0,5230.0,2207065
2020-07-10,5230.0,5270.0,5150.0,5150.0,1245647
2020-07-13,5190.0,5190.0,5070.0,5110.0,1939520
2020-07-14,5110.0,5110.0,5030.0,5110.0,2109415
2020-07-15,5150.0,5150.0,5030.0,5030.0,2220375
2020-07-16,5030.0,5110.0,4990.0,5070.0,1813339
2020-07-17,5070.0,5190.0,4990.0,5110.0,2633880
2020-07-20,5110.0,5150.0,5030.0,5070.0,2219626
2020-07-21,5070.0,5110.0,4990.0,5070.0,2286887
2020-07-22,5070.0,5070.0,4950.0,4990.0,2032985
2020-07-23,4990.0,4990.0,4790.0,4790.0,2364132
2020-07-24,4830.0,4870.0,4320.0,4440.0,3027363
2020-07-27,4320.0,4360.0,4010.0,4010.0,5271344
2020-07-28,3930.0,4400.0,3890.0,4400.0,1999471
2020-07-29,4440.0,4830.0,4050.0,4680.0,3203580
2020-07-30,4640.0,4870.0,4560.0,4680.0,2219651
2020-07-31,4560.0,4680.0,4400.0,4640.0,2249182
2020-08-03,4560.0,4790.0,4520.0,4750.0,2448825
2020-08-04,4830.0,4950.0,4750.0,4950.0,4077299
2020-08-05,4950.0,5070.0,4870.0,5070.0,2609136
2020-08-06,5070.0,5070.0,4910.0,5030.0,2234716
2020-08-07,4990.0,5070.0,4910.0,4910.0,2302905
2020-08-10,4910.0,5030.0,4910.0,4990.0,2303126
2020-08-11,4950.0,4990.0,4640.0,4950.0,1533420
2020-08-12,4910.0,4990.0,4870.0,4950.0,1479341
2020-08-13,4990.0,4990.0,4870.0,4990.0,2493483
2020-08-14,4990.0,4990.0,4750.0,4910.0,3428998
2020-08-17,4870.0,4910.0,4790.0,4910.0,1279175
2020-08-18,4870.0,4910.0,4790.0,4870.0,1662460
2020-08-19,4870.0,5340.0,4830.0,5340.0,8288650
2020-08-20,5300.0,5460.0,5230.0,5270.0,1569654
2020-08-21,5270.0,5300.0,5230.0,5270.0,2665504
2020-08-24,5150.0,5500.0,5150.0,5380.0,3605438
2020-08-25,5380.0,5500.0,5300.0,5340.0,3263808
2020-08-26,5340.0,5380.0,5270.0,5270.0,2974127
2020-08-27,5270.0,5340.0,5230.0,5340.0,2860231
2020-08-28,5340.0,5620.0,5340.0,5500.0,7182491
2020-08-31,5500.0,5620.0,5460.0,5460.0,3840833
2020-09-01,5580.0,5580.0,5420.0,5540.0,2901069
2020-09-03,5540.0,5660.0,5460.0,5540.0,3325319
2020-09-04,5540.0,5540.0,5300.0,5500.0,2911562
2020-09-07,5500.0,5580.0,5380.0,5420.0,4914333
2020-09-08,5420.0,5460.0,5340.0,5420.0,2420180
2020-09-09,5380.0,5460.0,5300.0,5460.0,2020868
2020-09-10,5460.0,5540.0,5460.0,5460.0,2441284
2020-09-11,5460.0,5820.0,5460.0,5740.0,7119274
2020-09-14,5740.0,5820.0,5620.0,5700.0,3928684
2020-09-15,5740.0,5740.0,5660.0,5700.0,3327918
2020-09-16,5700.0,5740.0,5620.0,5620.0,2044800
2020-09-17,5620.0,5780.0,5620.0,5660.0,3230366
2020-09-18,5660.0,5740.0,5660.0,5700.0,2645106
2020-09-21,5740.0,6050.0,5740.0,5890.0,6373333
2020-09-22,5890.0,6130.0,5850.0,6050.0,6059487
2020-09-23,6090.0,6130.0,6010.0,6090.0,3871713
2020-09-24,6090.0,6130.0,6010.0,6050.0,3043715
2020-09-25,6050.0,6090.0,5930.0,6050.0,4512426
2020-09-28,6090.0,6250.0,6010.0,6130.0,2913564
2020-09-29,6130.0,6210.0,5970.0,5970.0,3785398
2020-09-30,5970.0,6050.0,5930.0,6050.0,2039515
2020-10-01,6050.0,6090.0,6010.0,6050.0,2220008
2020-10-02,6050.0,6170.0,5930.0,6050.0,5375873
2020-10-05,6050.0,6250.0,6050.0,6130.0,2325000
2020-10-06,6170.0,6170.0,6050.0,6050.0,2903600
2020-10-07,6050.0,6170.0,6010.0,6050.0,3639400
