date,open,high,low,close,volume
2019-09-05,26120.0,27690.0,26120.0,26570.0,40802
2019-09-06,26460.0,26910.0,26440.0,26570.0,15499
2019-09-09,26570.0,26640.0,24070.0,25190.0,48507
2019-09-10,24530.0,24530.0,22260.0,23170.0,100336
2019-09-11,22710.0,24760.0,22710.0,24760.0,31720
2019-09-12,24760.0,25320.0,24640.0,24890.0,32180
2019-09-13,24980.0,26120.0,24260.0,25440.0,44790
2019-09-16,25440.0,25440.0,24670.0,24940.0,21846
2019-09-17,24550.0,24960.0,24460.0,24760.0,24799
2019-09-18,24760.0,24980.0,24530.0,24530.0,19132
2019-09-19,24530.0,24530.0,22710.0,23170.0,67130
2019-09-20,23280.0,23280.0,22710.0,23080.0,28136
2019-09-23,23170.0,23480.0,22030.0,22300.0,24921
2019-09-24,22280.0,22300.0,20900.0,21260.0,78470
2019-09-25,21210.0,21300.0,20670.0,21240.0,42909
2019-09-26,21120.0,22260.0,21120.0,22080.0,46785
2019-09-27,22080.0,22210.0,21330.0,21580.0,35560
2019-09-30,21390.0,21580.0,20940.0,20960.0,27600
2019-10-01,21260.0,21800.0,21240.0,21530.0,41200
2019-10-02,21260.0,22710.0,21260.0,22330.0,60751
2019-10-03,21800.0,22640.0,21580.0,22490.0,57704
2019-10-04,22800.0,22800.0,22210.0,22260.0,21668
2019-10-07,22670.0,22710.0,21760.0,21800.0,27860
2019-10-08,22050.0,22050.0,21690.0,21690.0,110200
2019-10-09,21690.0,22710.0,21580.0,22080.0,290950
2019-10-10,22140.0,23330.0,22140.0,22830.0,58071
2019-10-11,22830.0,22830.0,22490.0,22600.0,20732
2019-10-14,22710.0,22710.0,21710.0,21740.0,71077
2019-10-15,21580.0,21800.0,21120.0,21580.0,45030
2019-10-16,21580.0,21800.0,21120.0,21350.0,30350
2019-10-17,20900.0,22140.0,20900.0,21690.0,34675
2019-10-18,21800.0,22690.0,21800.0,22260.0,39525
2019-10-21,22690.0,23390.0,22260.0,22760.0,76060
2019-10-22,23170.0,23170.0,22640.0,22920.0,26695
2019-10-23,22260.0,23690.0,22260.0,23420.0,72184
2019-10-24,23620.0,24870.0,23620.0,24620.0,65286
2019-10-25,24760.0,25440.0,24760.0,24940.0,44521
2019-10-28,24980.0,25210.0,24320.0,24760.0,52348
2019-10-29,24440.0,24640.0,24210.0,24640.0,24750
2019-10-30,24530.0,25280.0,22030.0,22030.0,193549
2019-10-31,23850.0,25320.0,22940.0,22030.0,141456
2019-11-01,24260.0,24300.0,23260.0,23670.0,23396
2019-11-04,23670.0,24070.0,22980.0,23510.0,54370
2019-11-05,23620.0,23620.0,22940.0,23390.0,55730
2019-11-06,23390.0,24070.0,23390.0,23730.0,35850
2019-11-07,23620.0,23620.0,23300.0,23510.0,47107
2019-11-08,23510.0,23510.0,23280.0,23350.0,22280
2019-11-11,23830.0,23850.0,23170.0,23190.0,39293
2019-11-12,23280.0,23390.0,23170.0,23370.0,25887
2019-11-13,23170.0,23370.0,23140.0,23370.0,27094
2019-11-14,23210.0,23230.0,22940.0,23050.0,22200
2019-11-15,22940.0,23170.0,22940.0,22940.0,12670
2019-11-18,22870.0,23170.0,22870.0,23100.0,20200
2019-11-19,22940.0,23510.0,22940.0,23390.0,17592
2019-11-20,23330.0,24070.0,23330.0,23850.0,33619
2019-11-21,23850.0,23960.0,23620.0,23730.0,9100
2019-11-22,23730.0,23760.0,20210.0,23420.0,38320
2019-11-25,23190.0,23190.0,22030.0,22760.0,17660
2019-11-26,23390.0,23390.0,22850.0,23080.0,9760
2019-11-27,23460.0,23460.0,22940.0,23120.0,3610
2019-11-28,22960.0,23140.0,22780.0,23140.0,14823
2019-11-29,22940.0,23050.0,22490.0,22640.0,24400
2019-12-02,22710.0,23050.0,21740.0,22710.0,37392
2019-12-03,22030.0,22260.0,21850.0,21920.0,23763
2019-12-04,22140.0,22240.0,21800.0,22050.0,14567
2019-12-05,22030.0,22370.0,22030.0,22260.0,8561
2019-12-06,22490.0,22490.0,22030.0,22260.0,18600
2019-12-09,22030.0,22260.0,21940.0,22140.0,8605
2019-12-10,22140.0,22210.0,22100.0,22120.0,16863
2019-12-11,22210.0,22710.0,22210.0,22690.0,10400
2019-12-12,22420.0,23140.0,22420.0,23140.0,11730
2019-12-13,23170.0,23170.0,22800.0,22800.0,6490
2019-12-16,23850.0,23850.0,22530.0,22600.0,20300
2019-12-17,22550.0,22600.0,21580.0,22170.0,34415
2019-12-18,22050.0,22260.0,22030.0,22100.0,21560
2019-12-19,22710.0,22710.0,22120.0,22120.0,5130
2019-12-20,22050.0,22050.0,21920.0,22030.0,7900
2019-12-23,22030.0,22030.0,21690.0,21710.0,11540
2019-12-24,21580.0,21670.0,21240.0,21580.0,29667
2019-12-25,21550.0,22030.0,21550.0,21740.0,7130
2019-12-26,21620.0,21740.0,21620.0,21710.0,4460
2019-12-27,21710.0,22030.0,21710.0,21870.0,12155
2019-12-30,21800.0,21850.0,21690.0,21690.0,5661
2019-12-31,21800.0,21990.0,21690.0,21920.0,4902
2020-01-02,21850.0,21850.0,21570.0,21800.0,23500
2020-01-03,21570.0,21760.0,21530.0,21690.0,27618
2020-01-06,21600.0,21600.0,20700.0,20720.0,39631
2020-01-07,21070.0,21090.0,20770.0,20770.0,9163
2020-01-08,20700.0,20890.0,19550.0,20170.0,52420
2020-01-09,20430.0,20430.0,19740.0,19990.0,21800
2020-01-10,20080.0,20430.0,19970.0,20330.0,16726
2020-01-13,22490.0,22490.0,20170.0,20200.0,2438
2020-01-14,20200.0,20660.0,20170.0,20540.0,1497
2020-01-15,20200.0,20200.0,19650.0,19970.0,7930
2020-01-16,19970.0,20200.0,19970.0,20130.0,2470
2020-01-17,20130.0,20130.0,19900.0,20130.0,1860
2020-01-20,19970.0,19970.0,19510.0,19740.0,10656
2020-01-21,20770.0,20770.0,19550.0,19830.0,2407
2020-01-22,19580.0,19670.0,19350.0,19670.0,8965
2020-01-30,18890.0,19510.0,18840.0,19280.0,3910
2020-01-31,19510.0,19510.0,17330.0,17670.0,101976
2020-02-03,17670.0,17670.0,15840.0,17210.0,84376
2020-02-04,16980.0,16980.0,16300.0,16300.0,11596
2020-02-05,16750.0,17100.0,16590.0,16980.0,33376
2020-02-06,16980.0,17990.0,16980.0,17990.0,15520
2020-02-07,17350.0,17440.0,17330.0,17330.0,4850
2020-02-10,16520.0,17210.0,16520.0,17210.0,520
2020-02-11,16520.0,16980.0,16520.0,16980.0,5220
2020-02-12,16980.0,17900.0,16980.0,17900.0,23617
2020-02-13,17720.0,18590.0,17720.0,18360.0,15151
2020-02-14,18360.0,18450.0,18360.0,18450.0,4073
2020-02-17,18360.0,18480.0,17900.0,18130.0,9720
2020-02-18,18020.0,18480.0,18020.0,18250.0,2610
2020-02-19,18220.0,19510.0,18220.0,19440.0,42245
2020-02-20,19440.0,19510.0,18930.0,19140.0,25110
2020-02-21,19050.0,19050.0,18820.0,18910.0,9800
2020-02-24,18360.0,18360.0,17440.0,17490.0,22700
2020-02-25,17650.0,18130.0,17650.0,18130.0,13307
2020-02-26,17810.0,17810.0,17330.0,17560.0,33220
2020-02-27,17560.0,17790.0,17560.0,17790.0,13144
2020-02-28,17240.0,17560.0,16980.0,17560.0,9250
2020-03-02,17210.0,17530.0,17210.0,17440.0,21810
2020-03-03,17440.0,17880.0,17440.0,17670.0,15800
2020-03-04,17630.0,17790.0,17510.0,17790.0,9649
2020-03-05,17720.0,18020.0,17720.0,17860.0,10000
2020-03-06,17830.0,17830.0,17440.0,17670.0,9500
2020-03-09,16180.0,16300.0,15380.0,15400.0,88278
2020-03-10,15380.0,16480.0,15380.0,16410.0,21395
2020-03-11,16750.0,16750.0,15400.0,16300.0,35880
2020-03-12,14920.0,15580.0,14800.0,15120.0,34640
2020-03-13,13860.0,15150.0,13430.0,15030.0,67070
2020-03-16,14570.0,15150.0,14530.0,14640.0,29710
2020-03-17,14900.0,15610.0,14900.0,15490.0,17282
2020-03-18,15840.0,16070.0,15610.0,15680.0,22714
2020-03-19,15150.0,15720.0,15150.0,15720.0,23000
2020-03-20,15610.0,15700.0,15420.0,15700.0,13700
