date,open,high,low,close,volume
2019-09-12,6680.0,6680.0,6580.0,6640.0,16330
2019-09-13,6600.0,6640.0,6530.0,6620.0,33190
2019-09-16,6600.0,6740.0,6530.0,6530.0,36970
2019-09-17,6430.0,6600.0,6430.0,6530.0,49770
2019-09-18,6510.0,6540.0,6450.0,6450.0,21170
2019-09-19,6450.0,6560.0,6370.0,6470.0,109880
2019-09-20,6560.0,6560.0,6330.0,6370.0,72940
2019-09-23,6490.0,6490.0,6220.0,6250.0,66760
2019-09-24,6250.0,6410.0,6240.0,6250.0,88470
2019-09-25,6220.0,6370.0,6220.0,6370.0,77270
2019-09-26,6310.0,6450.0,6250.0,6370.0,33180
2019-09-27,6310.0,6370.0,6290.0,6290.0,56550
2019-09-30,6290.0,6350.0,6250.0,6290.0,61260
2019-10-01,6250.0,6390.0,6250.0,6290.0,70760
2019-10-02,6290.0,6370.0,6250.0,6290.0,47350
2019-10-03,6250.0,6330.0,6180.0,6290.0,133330
2019-10-04,6290.0,6350.0,6200.0,6220.0,148150
2019-10-07,6200.0,6250.0,6080.0,6080.0,59710
2019-10-08,6080.0,6140.0,5910.0,5930.0,56240
2019-10-09,5890.0,6040.0,5870.0,5910.0,22690
2019-10-10,6120.0,6120.0,5790.0,5870.0,21480
2019-10-11,5830.0,6020.0,5830.0,5950.0,50730
2019-10-14,5950.0,6080.0,5870.0,5950.0,28820
2019-10-15,5870.0,6020.0,5870.0,6000.0,128630
2019-10-16,6020.0,6040.0,5750.0,5750.0,54800
2019-10-17,5730.0,5790.0,5480.0,5480.0,88680
2019-10-18,5660.0,5710.0,5480.0,5500.0,95910
2019-10-21,5680.0,5680.0,5520.0,5580.0,49700
2019-10-22,5580.0,5640.0,5520.0,5640.0,30530
2019-10-23,5600.0,5830.0,5600.0,5790.0,157550
2019-10-24,5640.0,5890.0,5640.0,5890.0,15030
2019-10-25,5890.0,5890.0,5790.0,5790.0,18050
2019-10-28,5690.0,5710.0,5600.0,5640.0,60410
2019-10-29,5600.0,5680.0,5580.0,5580.0,56240
2019-10-30,5580.0,5640.0,5560.0,5620.0,53960
2019-10-31,5620.0,5680.0,5600.0,5600.0,60810
2019-11-01,5620.0,5640.0,5580.0,5600.0,31240
2019-11-04,5640.0,5660.0,5540.0,5640.0,74940
2019-11-05,5640.0,5680.0,5600.0,5660.0,27240
2019-11-06,5640.0,5980.0,5600.0,5910.0,87310
2019-11-07,5970.0,6040.0,5870.0,5910.0,160930
2019-11-08,6020.0,6180.0,5790.0,6080.0,405910
2019-11-11,6080.0,6120.0,5930.0,5950.0,132230
2019-11-12,5970.0,5980.0,5910.0,5970.0,157870
2019-11-13,5970.0,6220.0,5970.0,6180.0,269720
2019-11-14,6220.0,6290.0,6140.0,6140.0,92740
2019-11-15,6240.0,6240.0,6060.0,6180.0,74380
2019-11-18,6180.0,6220.0,6020.0,6100.0,84100
2019-11-19,6120.0,6250.0,6100.0,6250.0,83840
2019-11-20,6200.0,6310.0,6180.0,6270.0,92470
2019-11-21,6270.0,6700.0,6250.0,6600.0,452600
2019-11-22,6600.0,6760.0,6200.0,6330.0,165340
2019-11-25,6370.0,6600.0,6370.0,6600.0,180590
2019-11-26,6680.0,6680.0,6490.0,6540.0,88450
2019-11-27,6530.0,6910.0,6490.0,6740.0,347490
2019-11-28,6800.0,6870.0,6600.0,6640.0,101660
2019-11-29,6560.0,6680.0,6450.0,6450.0,160170
2019-12-02,6410.0,6600.0,6140.0,6220.0,303990
