date,open,high,low,close,volume
2021-03-24,8250.0,8250.0,8250.0,8250.0,6007500
2021-03-25,8830.0,8830.0,8830.0,8830.0,1464100
2021-03-26,9440.0,9440.0,9440.0,9440.0,1078500
2021-03-29,10090.0,10090.0,9830.0,10090.0,3992200
2021-03-30,10790.0,10790.0,10750.0,10790.0,1896300
2021-03-31,11530.0,11530.0,11140.0,11530.0,4138700
2021-04-01,11510.0,11550.0,11100.0,11550.0,3793500
2021-04-02,11340.0,11570.0,11340.0,11570.0,2990700
2021-04-05,11490.0,11530.0,11220.0,11510.0,1564100
2021-04-06,11430.0,11470.0,11180.0,11470.0,1881700
2021-04-07,11470.0,11470.0,11260.0,11470.0,1208100
2021-04-08,11380.0,11380.0,11260.0,11300.0,911300
2021-04-09,11060.0,11340.0,11060.0,11340.0,955900
2021-04-12,11180.0,11340.0,11060.0,11340.0,846900
2021-04-13,11100.0,11260.0,11100.0,11180.0,433600
2021-04-14,11060.0,11160.0,10980.0,10980.0,579800
2021-04-15,10810.0,11060.0,10440.0,11060.0,1409400
2021-04-16,11060.0,11180.0,10850.0,11180.0,574400
2021-04-19,11220.0,11260.0,11100.0,11260.0,886900
2021-04-20,11300.0,11300.0,11220.0,11260.0,1465400
2021-04-22,11180.0,11260.0,10980.0,11260.0,729000
2021-04-23,11260.0,11260.0,10690.0,10690.0,853900
2021-04-26,11060.0,11140.0,10790.0,10980.0,578000
2021-04-27,10280.0,11020.0,10280.0,11020.0,705300
2021-04-28,10650.0,11040.0,10650.0,10980.0,846500
2021-04-29,10690.0,11040.0,10690.0,11000.0,1199900
2021-05-04,10670.0,10850.0,10670.0,10810.0,1055500
2021-05-05,10810.0,10850.0,10690.0,10830.0,647500
2021-05-06,10830.0,11590.0,10770.0,11200.0,1078900
2021-05-07,11260.0,11340.0,11060.0,11260.0,1122000
2021-05-10,11260.0,11470.0,11060.0,11470.0,1638300
2021-05-11,11590.0,11590.0,11340.0,11470.0,942400
2021-05-12,11470.0,11470.0,11340.0,11470.0,1429600
2021-05-13,11470.0,11670.0,11100.0,11590.0,2069300
2021-05-14,11670.0,12390.0,11260.0,12390.0,3100400
2021-05-17,12410.0,13100.0,12410.0,12880.0,3145000
2021-05-18,13150.0,13150.0,12860.0,12900.0,3096400
2021-05-19,12900.0,13080.0,12080.0,13000.0,3510600
2021-05-20,13080.0,13080.0,12120.0,13000.0,4030600
2021-05-21,13000.0,13100.0,12430.0,13100.0,4272700
2021-05-24,13100.0,13350.0,12490.0,13350.0,2716700
2021-05-25,13470.0,14270.0,12490.0,14270.0,3725900
2021-05-26,14290.0,15230.0,13720.0,15230.0,2720400
2021-05-27,15280.0,15300.0,14350.0,15170.0,2077400
2021-05-28,15150.0,15970.0,14540.0,15970.0,2006200
2021-05-31,15970.0,16710.0,15560.0,16710.0,1832500
2021-06-01,16730.0,17160.0,15970.0,16750.0,1733600
2021-06-02,16670.0,17000.0,15930.0,17000.0,1816900
2021-06-03,17040.0,17610.0,15990.0,17610.0,2794400
2021-06-04,17770.0,18630.0,16420.0,18630.0,4445100
2021-06-07,18630.0,18630.0,17360.0,17810.0,1594600
2021-06-08,17000.0,17610.0,16630.0,17610.0,2450000
2021-06-09,16590.0,17690.0,16440.0,16460.0,2641700
2021-06-10,16590.0,17450.0,15360.0,16910.0,3337900
2021-06-11,16910.0,17570.0,16180.0,17570.0,2589300
2021-06-14,17570.0,17610.0,16790.0,17610.0,2782100
2021-06-15,17550.0,17590.0,16420.0,16910.0,2466800
2021-06-16,16910.0,16910.0,15810.0,16300.0,1489700
2021-06-17,16219.999999999998,16300.0,15320.0,16260.000000000002,1823600
2021-06-18,15560.0,16570.0,15150.0,16520.0,2734900
2021-06-21,16520.0,16520.0,15970.0,16379.999999999998,2216300
2021-06-22,16379.999999999998,16420.0,15930.0,16400.0,2389900
2021-06-23,16360.0,16360.0,15990.0,16260.000000000002,2069900
2021-06-24,16260.000000000002,16320.0,15970.0,16280.000000000002,2276400
2021-06-25,16280.000000000002,16420.0,15970.0,16420.0,2106000
2021-06-28,16219.999999999998,16790.0,15770.0,16710.0,2093400
