date,open,high,low,close,volume
2019-09-12,6550.0,6600.0,6520.0,6550.0,681850
2019-09-13,6570.0,6760.0,6550.0,6710.0,2871350
2019-09-16,6760.0,6840.0,6740.0,6740.0,2321920
2019-09-17,6740.0,6810.0,6700.0,6810.0,1290550
2019-09-18,6840.0,6880.0,6770.0,6790.0,2024510
2019-09-19,6840.0,6840.0,6730.0,6840.0,1475040
2019-09-20,6850.0,6850.0,6710.0,6740.0,3372950
2019-09-23,6790.0,6810.0,6710.0,6710.0,1513730
2019-09-24,6710.0,6900.0,6700.0,6810.0,2397510
2019-09-25,6790.0,6840.0,6740.0,6810.0,1466500
2019-09-26,6850.0,7120.0,6850.0,7120.0,6380250
2019-09-27,7150.0,7310.0,7100.0,7290.0,4052950
2019-09-30,7340.0,7360.0,7210.0,7230.0,2832330
2019-10-01,7200.0,7290.0,7180.0,7280.0,2998990
2019-10-02,7260.0,7450.0,7230.0,7360.0,3730500
2019-10-03,7280.0,7390.0,7230.0,7360.0,2017010
2019-10-04,7490.0,7490.0,7090.0,7090.0,3431800
2019-10-07,7110.0,7160.0,6930.0,6930.0,1748860
2019-10-08,6910.0,7080.0,6910.0,7030.0,1284020
2019-10-09,7060.0,7090.0,6960.0,6990.0,1626100
2019-10-10,6990.0,7060.0,6980.0,6990.0,1479760
2019-10-11,7010.0,7030.0,6960.0,6990.0,1868890
2019-10-14,7060.0,7190.0,7060.0,7140.0,2618430
2019-10-15,7170.0,7170.0,7080.0,7090.0,1175550
2019-10-16,7130.0,7130.0,7060.0,7080.0,1399280
2019-10-17,7080.0,7080.0,6990.0,7010.0,1092380
2019-10-18,6990.0,7060.0,6930.0,6930.0,1287590
2019-10-21,6860.0,6900.0,6830.0,6830.0,1386210
2019-10-22,6860.0,6880.0,6780.0,6860.0,1056960
2019-10-23,6850.0,6900.0,6830.0,6830.0,736320
2019-10-24,6860.0,6990.0,6850.0,6990.0,1454750
2019-10-25,6990.0,7040.0,6980.0,6990.0,1154870
2019-10-28,7060.0,7110.0,6980.0,6980.0,1507540
2019-10-29,6980.0,7030.0,6940.0,6940.0,1162360
2019-10-30,6940.0,7030.0,6940.0,7010.0,1056930
2019-10-31,7030.0,7040.0,6900.0,7010.0,1786810
2019-11-01,6990.0,7130.0,6940.0,7060.0,3104820
2019-11-04,7090.0,7170.0,7080.0,7140.0,3298180
2019-11-05,7170.0,7210.0,7140.0,7160.0,2130290
2019-11-06,7160.0,7170.0,7110.0,7130.0,1545130
2019-11-07,7130.0,7290.0,7110.0,7240.0,2939090
2019-11-08,7310.0,7320.0,7210.0,7240.0,2388020
2019-11-11,7240.0,7240.0,7130.0,7130.0,1804140
2019-11-12,7130.0,7190.0,7110.0,7110.0,1526400
2019-11-13,7130.0,7140.0,7060.0,7110.0,1294780
2019-11-14,7090.0,7130.0,6990.0,7040.0,1586090
2019-11-15,7030.0,7040.0,6930.0,6930.0,1624740
2019-11-18,6940.0,6960.0,6880.0,6900.0,1089630
2019-11-19,6900.0,6980.0,6900.0,6930.0,904070
2019-11-20,6940.0,6940.0,6860.0,6860.0,1248390
2019-11-21,6860.0,6860.0,6700.0,6700.0,2083430
2019-11-22,6760.0,6780.0,6580.0,6600.0,1895590
2019-11-25,6630.0,6670.0,6580.0,6650.0,954610
2019-11-26,6670.0,6700.0,6570.0,6570.0,1658300
2019-11-27,6600.0,6600.0,6520.0,6520.0,1816170
2019-11-28,6530.0,6570.0,6490.0,6520.0,1132110
2019-11-29,6520.0,6550.0,6500.0,6500.0,1003800
2019-12-02,6500.0,6550.0,6400.0,6400.0,1531820
2019-12-03,6320.0,6440.0,6320.0,6340.0,1208130
2019-12-04,6350.0,6500.0,6340.0,6500.0,1058620
2019-12-05,6530.0,6570.0,6440.0,6440.0,718100
2019-12-06,6450.0,6470.0,6400.0,6400.0,606440
2019-12-09,6400.0,6520.0,6390.0,6440.0,842290
2019-12-10,6440.0,6440.0,6270.0,6300.0,1237160
2019-12-11,6290.0,6340.0,6160.0,6240.0,1402910
2019-12-12,6290.0,6370.0,6220.0,6370.0,1480900
2019-12-13,6400.0,6420.0,6300.0,6300.0,1035860
2019-12-16,6300.0,6340.0,6240.0,6260.0,826290
2019-12-17,6270.0,6290.0,6120.0,6120.0,1565970
