date,open,high,low,close,volume
2019-09-12,12050.0,12100.0,11550.0,11550.0,2896530
2019-09-13,11550.0,11750.0,11420.0,11470.0,925630
2019-09-16,11500.0,11850.0,11450.0,11850.0,1143250
2019-09-17,11750.0,12180.0,11750.0,12100.0,2224310
2019-09-18,12130.0,12150.0,11930.0,12050.0,824060
2019-09-19,11900.0,12450.0,11880.0,12300.0,2118430
2019-09-20,12300.0,12480.0,11980.0,12080.0,3002740
2019-09-23,12030.0,12300.0,11950.0,12100.0,1509080
2019-09-24,12030.0,12200.0,11950.0,12150.0,1542260
2019-09-25,12030.0,12050.0,11950.0,12000.0,760430
2019-09-26,12000.0,12230.0,11850.0,12230.0,1804060
2019-09-27,12230.0,12250.0,12100.0,12200.0,729930
2019-09-30,12150.0,12150.0,12030.0,12130.0,538300
2019-10-01,12050.0,12180.0,11800.0,11950.0,2171100
2019-10-02,11900.0,12250.0,11900.0,12180.0,2000770
2019-10-03,12080.0,12180.0,11980.0,12100.0,1070030
2019-10-04,12000.0,12000.0,11770.0,12000.0,1331680
2019-10-07,12000.0,12030.0,11830.0,11850.0,1100380
2019-10-08,11880.0,12050.0,11800.0,11980.0,1240560
2019-10-09,11930.0,12080.0,11900.0,11930.0,1136830
2019-10-10,11930.0,12200.0,11900.0,12130.0,3798900
2019-10-11,12050.0,12200.0,12030.0,12180.0,1848870
2019-10-14,12200.0,12380.0,12180.0,12330.0,1501860
2019-10-15,12300.0,12430.0,12150.0,12180.0,775350
2019-10-16,12200.0,12300.0,12150.0,12200.0,1181300
2019-10-17,12200.0,12430.0,12050.0,12380.0,1775370
2019-10-18,12380.0,12430.0,12180.0,12250.0,709880
2019-10-21,12250.0,12330.0,11800.0,11930.0,646400
2019-10-22,12000.0,12000.0,11450.0,11450.0,2339440
2019-10-23,11470.0,11620.0,11450.0,11550.0,568080
2019-10-24,11570.0,11650.0,11500.0,11500.0,560030
2019-10-25,11500.0,11500.0,11020.0,11050.0,937770
2019-10-28,11070.0,11120.0,11000.0,11070.0,492050
2019-10-29,11050.0,11200.0,11020.0,11120.0,1214160
2019-10-30,11200.0,11650.0,11200.0,11520.0,2290950
2019-10-31,11500.0,11600.0,11400.0,11400.0,366570
2019-11-01,11470.0,11700.0,11420.0,11700.0,977920
2019-11-04,11720.0,11750.0,11600.0,11720.0,1202730
2019-11-05,11750.0,11800.0,11720.0,11800.0,680920
2019-11-06,11850.0,12000.0,11830.0,11930.0,1023780
2019-11-07,11850.0,12050.0,11850.0,11930.0,1347210
2019-11-08,11930.0,12000.0,11770.0,11800.0,1011900
2019-11-11,11830.0,11880.0,11800.0,11880.0,1101940
2019-11-12,11900.0,12380.0,11830.0,12230.0,1859420
2019-11-13,12300.0,12600.0,12300.0,12550.0,546700
2019-11-14,12530.0,13030.0,12530.0,12850.0,1209130
2019-11-15,12880.0,13180.0,12880.0,13130.0,1123180
2019-11-18,13260.0,13410.0,13230.0,13280.0,1291830
2019-11-19,13280.0,13380.0,12900.0,12900.0,1381490
2019-11-20,12850.0,13230.0,12680.0,13180.0,2559950
2019-11-21,13230.0,13230.0,12850.0,12850.0,2283600
2019-11-22,13110.0,13750.0,13080.0,13750.0,4778290
2019-11-25,13850.0,14130.0,13770.0,14130.0,2685400
2019-11-26,14160.0,14570.0,13540.0,14260.0,2669330
2019-11-27,13900.0,14060.0,13770.0,14060.0,1620530
2019-11-28,14060.0,14520.0,14030.0,14490.0,2410120
2019-11-29,14460.0,14770.0,14460.0,14640.0,1697190
2019-12-02,14690.0,14720.0,14260.0,14310.0,1863640
2019-12-03,14260.0,14800.0,14110.0,14770.0,3145480
2019-12-04,14820.0,14950.0,14800.0,14820.0,1442730
2019-12-05,14820.0,14900.0,14310.0,14340.0,1541520
2019-12-06,14290.0,14490.0,14210.0,14390.0,1152740
2019-12-09,14390.0,14410.0,14060.0,14080.0,1186330
2019-12-10,14000.0,14180.0,13720.0,14060.0,1656920
2019-12-11,14110.0,14870.0,14110.0,14870.0,2387420
2019-12-12,14920.0,15540.0,14920.0,15440.0,2151810
2019-12-13,15490.0,15510.0,15100.0,15130.0,1315080
2019-12-16,15130.0,15130.0,14670.0,14920.0,1575360
2019-12-17,14820.0,15210.0,14800.0,15030.0,2656610
2019-12-18,14980.0,15150.0,14920.0,15080.0,1481850
2019-12-19,15030.0,15180.0,14260.0,14340.0,1125300
2019-12-20,14310.0,14440.0,14290.0,14360.0,1378990
2019-12-23,14520.0,15360.0,14520.0,15360.0,2471380
2019-12-24,15230.0,15670.0,15180.0,15380.0,1920930
2019-12-25,15330.0,15590.0,15330.0,15540.0,1280670
2019-12-26,15540.0,16050.0,15510.0,15950.0,1667560
2019-12-27,15840.0,16250.0,15820.0,16200.0,1752530
2019-12-30,16100.000000000002,16480.0,16100.000000000002,16410.0,1431110
2019-12-31,16410.0,16760.0,16410.0,16690.0,1223330
2020-01-02,16640.0,17020.0,16640.0,17020.0,1542690
2020-01-03,17020.0,17380.0,17020.0,17220.0,1290400
2020-01-06,17220.0,17330.0,17120.0,17170.0,729770
2020-01-07,17220.0,17560.0,17200.0,17430.0,1188090
2020-01-08,17450.0,17530.0,17400.0,17480.0,783960
2020-01-09,17480.0,17660.0,17480.0,17560.0,1291880
2020-01-10,17560.0,17710.0,17560.0,17710.0,1032370
2020-01-13,17710.0,17840.0,17710.0,17840.0,1121720
2020-01-14,17840.0,18730.0,17840.0,18710.0,779660
2020-01-15,18710.0,20010.0,18710.0,19930.0,534410
2020-01-16,19930.0,20340.0,19910.0,19910.0,655480
2020-01-17,19930.0,20240.0,19880.0,20240.0,1110320
2020-01-20,20240.0,20320.0,20240.0,20290.0,809700
2020-01-21,20290.0,20440.0,20290.0,20440.0,751430
2020-01-22,20440.0,20730.0,20440.0,20730.0,1759120
2020-01-30,20700.0,20780.0,20700.0,20780.0,767580
2020-01-31,20780.0,20980.0,20750.0,20980.0,865140
2020-02-03,20980.0,21010.0,20650.0,20900.0,549950
2020-02-04,20930.0,21080.0,20930.0,21060.0,613880
2020-02-05,21060.0,21340.0,21060.0,21340.0,729910
2020-02-06,21340.0,21720.0,21340.0,21720.0,701640
2020-02-07,21720.0,22000.0,21720.0,22000.0,844690
2020-02-10,22030.0,22510.0,22000.0,22510.0,660200
2020-02-11,22540.0,22920.0,22510.0,22900.0,673810
2020-02-12,22900.0,23080.0,22900.0,23050.0,660560
2020-02-13,23080.0,23200.0,23050.0,23200.0,626960
2020-02-14,23200.0,23280.0,22440.0,22620.0,1183840
2020-02-17,22590.0,22720.0,22540.0,22720.0,622810
2020-02-18,22720.0,22820.0,22540.0,22690.0,288440
2020-02-19,22690.0,22770.0,22620.0,22690.0,614030
2020-02-20,22690.0,22770.0,22620.0,22740.0,494490
2020-02-21,22490.0,22920.0,22460.0,22820.0,538180
2020-02-24,22000.0,22030.0,21240.0,21240.0,1132380
2020-02-25,19960.0,20160.0,19750.0,19810.0,1060480
2020-02-26,18660.0,19780.0,18580.0,18680.0,1742640
2020-02-27,17890.0,17910.0,17450.0,17450.0,1214400
2020-02-28,17450.0,17480.0,16250.0,16250.0,1035070
2020-03-02,15920.0,17330.0,15920.0,17330.0,5053330
2020-03-03,17280.0,17760.0,17020.0,17610.0,4446520
2020-03-04,17630.0,17660.0,17070.0,17120.0,1344340
2020-03-05,16200.0,16820.0,15950.0,16820.0,2239250
2020-03-06,16100.000000000002,16149.999999999998,15670.0,15970.0,1644630
2020-03-09,14870.0,14920.0,14870.0,14870.0,822930
2020-03-10,13850.0,13900.0,13850.0,13850.0,1272070
2020-03-11,13290.0,13440.0,12910.0,12910.0,1738790
2020-03-12,12010.0,12190.0,12010.0,12010.0,977450
2020-03-13,11190.0,11190.0,11190.0,11190.0,714270
2020-03-16,10480.0,11960.0,10480.0,11960.0,6621930
2020-03-17,11220.0,12780.0,11220.0,12370.0,750840
2020-03-18,12520.0,12520.0,11530.0,12370.0,691300
2020-03-19,11530.0,11530.0,11530.0,11530.0,212900
2020-03-20,10730.0,10940.0,10730.0,10730.0,1962400
2020-03-23,9990.0,10120.0,9990.0,9990.0,339810
2020-03-24,9300.0,9300.0,9300.0,9300.0,126240
2020-03-25,8890.0,9660.0,8660.0,9330.0,2265810
2020-03-26,9050.0,9380.0,8690.0,8770.0,540620
2020-03-27,8770.0,9230.0,8770.0,9000.0,1087580
2020-03-30,8690.0,8710.0,8380.0,8560.0,260930
2020-03-31,8510.0,8710.0,8310.0,8430.0,535790
2020-04-01,8380.0,8560.0,8310.0,8510.0,333350
2020-04-03,8510.0,8610.0,8460.0,8610.0,151630
2020-04-06,8640.0,9200.0,8640.0,9200.0,1484610
2020-04-07,9840.0,9840.0,9840.0,9840.0,589390
2020-04-08,10500.0,10500.0,9630.0,10500.0,4525680
2020-04-09,10910.0,10910.0,10480.0,10580.0,632030
2020-04-10,10070.0,10580.0,9970.0,10220.0,416590
2020-04-13,9860.0,10150.0,9530.0,10070.0,388490
2020-04-14,9840.0,9990.0,9660.0,9740.0,310550
2020-04-15,9760.0,10400.0,9760.0,9970.0,544080
2020-04-16,10040.0,10320.0,9970.0,10120.0,361730
2020-04-17,10170.0,10810.0,10090.0,10810.0,1349840
2020-04-20,11240.0,11550.0,11070.0,11240.0,782020
2020-04-21,10730.0,10940.0,10480.0,10480.0,559210
2020-04-22,9890.0,10380.0,9810.0,10380.0,512160
2020-04-23,10680.0,10710.0,10250.0,10580.0,1132730
2020-04-24,10480.0,10580.0,10170.0,10350.0,486170
2020-04-27,10450.0,10910.0,10450.0,10730.0,1380210
2020-04-28,10730.0,10910.0,10300.0,10530.0,799320
2020-04-29,10550.0,10940.0,10530.0,10840.0,1165090
2020-05-04,10630.0,10860.0,10400.0,10730.0,817150
2020-05-05,10270.0,11400.0,10270.0,11220.0,2055150
2020-05-06,11190.0,11500.0,11090.0,11320.0,1119940
2020-05-07,11350.0,11350.0,11140.0,11220.0,437810
2020-05-08,11220.0,11470.0,11090.0,11270.0,1399890
2020-05-11,11140.0,11910.0,11140.0,11910.0,1762180
2020-05-12,11960.0,12040.0,11650.0,11930.0,816530
2020-05-13,11760.0,11810.0,11240.0,11760.0,706410
2020-05-14,11550.0,11880.0,11350.0,11730.0,1463400
2020-05-15,11810.0,12010.0,11580.0,11760.0,2601150
2020-05-18,11550.0,11910.0,11500.0,11760.0,1742090
2020-05-19,11780.0,11960.0,11630.0,11630.0,2348930
2020-05-20,11500.0,11580.0,11400.0,11400.0,396480
2020-05-21,11420.0,11500.0,11270.0,11350.0,409030
2020-05-22,11400.0,11680.0,11040.0,11630.0,3062460
2020-05-25,11760.0,12320.0,11700.0,11910.0,2983070
2020-05-26,11960.0,12090.0,11580.0,12010.0,3532230
2020-05-27,12010.0,12040.0,11240.0,11240.0,1309960
2020-05-28,11400.0,11400.0,10730.0,10730.0,2232320
2020-05-29,10480.0,10890.0,10320.0,10840.0,1420330
2020-06-01,10890.0,11070.0,10840.0,10910.0,1314330
2020-06-02,10940.0,11190.0,10780.0,11090.0,1777710
2020-06-03,11120.0,11190.0,10910.0,11090.0,1225130
2020-06-04,11120.0,11420.0,11040.0,11300.0,1823700
2020-06-05,11350.0,11420.0,11220.0,11420.0,1188990
2020-06-08,11500.0,11930.0,11500.0,11810.0,3087950
2020-06-09,11760.0,11810.0,11400.0,11580.0,1873080
2020-06-10,11400.0,12060.0,11320.0,11880.0,4513940
2020-06-11,11930.0,12040.0,11070.0,11070.0,2076530
2020-06-12,10300.0,11550.0,10300.0,11550.0,4408330
2020-06-15,11240.0,11760.0,10760.0,11010.0,3419050
2020-06-16,11070.0,11220.0,10710.0,11040.0,1735680
2020-06-17,10580.0,10890.0,10580.0,10730.0,1409400
2020-06-18,10630.0,10940.0,10350.0,10760.0,1713490
2020-06-19,10780.0,10890.0,10630.0,10810.0,1640490
2020-06-22,10960.0,11010.0,10680.0,10960.0,887840
2020-06-23,10890.0,11680.0,10710.0,11500.0,8649860
2020-06-24,11270.0,11630.0,11220.0,11470.0,6323650
2020-06-25,11010.0,11350.0,10990.0,11350.0,2276640
2020-06-26,11090.0,11350.0,10680.0,11090.0,3146660
2020-06-29,10730.0,11700.0,10320.0,11700.0,5063080
2020-06-30,11090.0,11240.0,10890.0,10890.0,1546040
2020-07-01,10320.0,10890.0,10320.0,10480.0,1815810
2020-07-02,10550.0,10680.0,10480.0,10500.0,836510
2020-07-03,10530.0,10940.0,10530.0,10760.0,1162640
2020-07-06,10760.0,10840.0,10660.0,10760.0,1034150
2020-07-07,10780.0,10860.0,10610.0,10680.0,2005510
2020-07-08,10680.0,10680.0,10550.0,10610.0,1054820
2020-07-09,10760.0,10970.0,10680.0,10920.0,3503900
2020-07-10,10950.0,11180.0,10820.0,11130.0,3722560
2020-07-13,11210.0,11580.0,11210.0,11450.0,4143310
2020-07-14,11470.0,11470.0,11130.0,11210.0,1783480
2020-07-15,11260.0,11520.0,10970.0,11390.0,4399680
2020-07-16,11450.0,11660.0,11260.0,11580.0,7149050
2020-07-17,11520.0,11630.0,11390.0,11580.0,6244180
2020-07-20,11520.0,11520.0,11290.0,11290.0,1082330
2020-07-21,11580.0,11970.0,11390.0,11790.0,13123330
2020-07-22,11630.0,11920.0,11550.0,11660.0,5485880
2020-07-23,11660.0,11680.0,11450.0,11520.0,1820260
2020-07-24,11260.0,11310.0,10740.0,10840.0,8373070
2020-07-27,10130.0,10320.0,10110.0,10110.0,1601960
2020-07-28,9690.0,10500.0,9450.0,10500.0,6305520
2020-07-29,10000.0,10080.0,9770.0,9980.0,5571400
2020-07-30,10000.0,10110.0,9900.0,10000.0,1522620
2020-07-31,9920.0,10680.0,9320.0,10340.0,9952340
2020-08-03,10240.0,10530.0,10190.0,10420.0,1722270
2020-08-04,10500.0,10660.0,10450.0,10500.0,1935400
2020-08-05,10450.0,10630.0,10260.0,10530.0,2922930
2020-08-06,10530.0,10580.0,10400.0,10550.0,1293750
2020-08-07,10580.0,10740.0,10500.0,10680.0,2701620
2020-08-10,10710.0,10950.0,10660.0,10820.0,3049920
2020-08-11,10870.0,10870.0,10660.0,10760.0,1338440
2020-08-12,10790.0,10920.0,10550.0,10760.0,4365390
2020-08-13,10790.0,10870.0,10680.0,10790.0,2574480
2020-08-14,10760.0,10790.0,10500.0,10710.0,3644340
2020-08-17,10630.0,10660.0,10340.0,10500.0,1871920
2020-08-18,10500.0,10580.0,10450.0,10470.0,1173650
2020-08-19,10500.0,10630.0,10370.0,10630.0,3694390
2020-08-20,10630.0,10630.0,10400.0,10500.0,1271000
2020-08-21,10530.0,10660.0,10400.0,10610.0,4938640
2020-08-24,10630.0,10790.0,10630.0,10710.0,2746730
2020-08-25,10740.0,11080.0,10500.0,11030.0,14623570
2020-08-26,10950.0,11370.0,10820.0,11180.0,8713210
2020-08-27,11050.0,11340.0,11030.0,11240.0,9663670
2020-08-28,11210.0,11260.0,11030.0,11210.0,6630540
2020-08-31,11180.0,11180.0,10870.0,10920.0,3153790
2020-09-01,10760.0,10950.0,10740.0,10950.0,2694450
2020-09-03,11050.0,11130.0,10950.0,11000.0,4330970
2020-09-04,10710.0,11240.0,10710.0,11240.0,5073270
2020-09-07,11050.0,11080.0,10870.0,10970.0,2811510
2020-09-08,10970.0,10970.0,10760.0,10950.0,4852250
2020-09-09,10740.0,10870.0,10740.0,10870.0,2484550
2020-09-10,10870.0,11100.0,10870.0,11050.0,4471930
2020-09-11,11080.0,11180.0,11000.0,11050.0,4102210
2020-09-14,11100.0,11100.0,10920.0,10920.0,1029310
2020-09-15,10970.0,11000.0,10840.0,10840.0,1224410
2020-09-16,10870.0,10890.0,10790.0,10790.0,1253180
2020-09-17,10820.0,10870.0,10760.0,10760.0,1780490
2020-09-18,10790.0,10890.0,10740.0,10890.0,4061250
2020-09-21,10950.0,11000.0,10820.0,10950.0,3414820
2020-09-22,10840.0,11080.0,10740.0,11050.0,9041600
2020-09-23,11050.0,11050.0,10870.0,10970.0,2853510
2020-09-24,10840.0,10920.0,10790.0,10840.0,2869380
2020-09-25,10820.0,10870.0,10680.0,10870.0,3255030
2020-09-28,10890.0,11050.0,10760.0,11000.0,6870830
2020-09-29,11470.0,11550.0,11130.0,11290.0,13046320
2020-09-30,11080.0,11450.0,10950.0,11310.0,15024070
2020-10-01,11080.0,11340.0,10870.0,11260.0,9975400
2020-10-02,11050.0,11340.0,10710.0,11340.0,21924910
2020-10-05,11290.0,11310.0,11080.0,11080.0,2803010
2020-10-06,11160.0,11340.0,11080.0,11310.0,12978280
2020-10-07,11130.0,11290.0,11100.0,11130.0,19829730
2020-10-08,11180.0,11180.0,10840.0,10970.0,11863940
2020-10-09,11030.0,11240.0,10820.0,11180.0,16097270
2020-10-12,11310.0,11310.0,10970.0,10970.0,4123850
2020-10-13,11030.0,11030.0,10870.0,11000.0,8998620
2020-10-14,10950.0,11210.0,10680.0,11080.0,22840530
2020-10-15,11100.0,11240.0,10920.0,11030.0,15567050
2020-10-16,11000.0,11080.0,10760.0,11080.0,14283420
2020-10-19,10950.0,10950.0,10820.0,10820.0,7497370
2020-10-20,10920.0,11100.0,10710.0,10970.0,36953630
2020-10-21,10970.0,11000.0,10710.0,10970.0,13073280
2020-10-22,10840.0,10890.0,10740.0,10740.0,7023460
2020-10-23,10760.0,10840.0,10740.0,10760.0,2962630
2020-10-26,10790.0,10920.0,10530.0,10530.0,11895940
2020-10-27,10550.0,10630.0,10130.0,10290.0,12793100
2020-10-28,10160.0,10190.0,9740.0,9980.0,11540740
2020-10-29,9870.0,9920.0,9710.0,9820.0,3934950
2020-10-30,9870.0,9920.0,9580.0,9710.0,5839620
2020-11-02,9770.0,9770.0,9450.0,9450.0,3920940
2020-11-03,9480.0,9820.0,9480.0,9770.0,4976030
2020-11-04,9820.0,9920.0,9690.0,9870.0,3617320
2020-11-05,9820.0,10030.0,9790.0,9870.0,3922890
2020-11-06,9900.0,9980.0,9770.0,9870.0,3188320
2020-11-09,9900.0,9920.0,9840.0,9870.0,2326120
2020-11-10,9920.0,9980.0,9770.0,9870.0,5280320
2020-11-11,9790.0,9840.0,9690.0,9740.0,7274850
2020-11-12,9770.0,9840.0,9690.0,9820.0,3366410
2020-11-13,9820.0,9820.0,9710.0,9790.0,1714110
2020-11-16,9820.0,9820.0,9500.0,9500.0,3215370
2020-11-17,9560.0,9840.0,9500.0,9840.0,8399350
2020-11-18,9770.0,9950.0,9710.0,9900.0,5918250
2020-11-19,9820.0,10000.0,9740.0,9980.0,8325970
2020-11-20,10050.0,10660.0,10050.0,10660.0,11655810
2020-11-23,10870.0,11180.0,10400.0,10950.0,16584510
2020-11-24,10920.0,10920.0,10500.0,10550.0,8262730
2020-11-25,10500.0,10610.0,10240.0,10580.0,8672770
2020-11-26,10630.0,10890.0,10630.0,10840.0,11578480
2020-11-27,10840.0,10840.0,10610.0,10610.0,5437700
2020-11-30,10630.0,10740.0,10240.0,10240.0,9693850
2020-12-01,9920.0,10790.0,9870.0,10790.0,28270800
2020-12-02,10530.0,10580.0,10400.0,10530.0,12125400
2020-12-03,10450.0,10530.0,10190.0,10530.0,16912120
2020-12-04,10340.0,10340.0,10190.0,10340.0,19491690
2020-12-07,10370.0,10370.0,10110.0,10370.0,23272730
2020-12-08,10240.0,10290.0,10080.0,10210.0,10095660
2020-12-09,10210.0,10320.0,9870.0,10320.0,26878490
2020-12-10,10080.0,10210.0,10030.0,10030.0,2676550
2020-12-11,10080.0,10160.0,9950.0,10050.0,2133770
2020-12-14,10190.0,10240.0,10110.0,10110.0,4815760
2020-12-15,10130.0,10160.0,10030.0,10030.0,4687670
2020-12-16,10130.0,10130.0,10030.0,10030.0,3987770
2020-12-17,10030.0,10190.0,9920.0,10050.0,8512500
2020-12-18,10110.0,10190.0,10050.0,10130.0,5683010
2020-12-21,10210.0,10240.0,10110.0,10130.0,5875150
2020-12-22,10130.0,10340.0,10080.0,10260.0,6491870
2020-12-23,10400.0,10870.0,10210.0,10660.0,12008360
2020-12-24,10710.0,10870.0,10080.0,10470.0,10796900
2020-12-25,10450.0,10610.0,10260.0,10500.0,4770700
2020-12-28,10610.0,10920.0,10530.0,10710.0,9875830
2020-12-29,10760.0,10930.0,10760.0,10850.0,4892390
2020-12-30,10930.0,11170.0,10820.0,10870.0,6472720
2020-12-31,10870.0,10930.0,10710.0,10740.0,5345790
2021-01-04,10820.0,11010.0,10710.0,10790.0,5695300
2021-01-05,10760.0,10900.0,10710.0,10790.0,5199100
2021-01-06,10870.0,11540.0,10790.0,11190.0,19957600
2021-01-07,11360.0,11520.0,11280.0,11360.0,8550300
2021-01-08,11490.0,12140.0,11380.0,12140.0,18368900
2021-01-11,12490.0,12970.0,12380.0,12970.0,12515100
2021-01-12,13350.0,13700.0,12970.0,13460.0,9784100
2021-01-13,13350.0,13460.0,13000.0,13000.0,11307600
2021-01-14,13130.0,13830.0,12940.0,13830.0,11809100
2021-01-15,14160.0,14420.0,13990.0,14210.0,5956100
2021-01-18,14050.0,14750.0,13860.0,14070.0,7919300
2021-01-19,13990.0,14020.0,13110.0,13110.0,10511200
2021-01-20,13110.0,13350.0,12190.0,12760.0,11910900
2021-01-21,13050.0,13640.0,12810.0,13640.0,9267500
2021-01-22,13890.0,14260.0,13640.0,13940.0,8736000
2021-01-25,13670.0,14160.0,13560.0,13970.0,6660600
2021-01-26,13970.0,13970.0,13000.0,13080.0,9280400
2021-01-27,12810.0,13430.0,12330.0,12380.0,8180800
2021-01-28,11520.0,11890.0,11520.0,11520.0,9232700
2021-01-29,10760.0,12140.0,10760.0,11810.0,9480600
2021-02-01,11790.0,12060.0,11010.0,11010.0,8495100
2021-02-02,11030.0,11570.0,10660.0,11300.0,5477700
2021-02-03,11460.0,12080.0,11300.0,12080.0,6281900
2021-02-04,12110.0,12240.0,11840.0,12030.0,5233400
2021-02-05,12080.0,12380.0,11920.0,12140.0,4129200
2021-02-08,12140.0,12140.0,11300.0,11300.0,8662500
2021-02-09,11460.0,11680.0,11090.0,11460.0,4655800
2021-02-17,11630.0,12030.0,11600.0,11920.0,4564200
2021-02-18,11920.0,12760.0,11760.0,12650.0,9018700
2021-02-19,12430.0,12810.0,12410.0,12540.0,3965000
2021-02-22,12540.0,12730.0,12160.0,12270.0,5735600
2021-02-23,12270.0,12620.0,12160.0,12380.0,5557800
2021-02-24,12540.0,12540.0,11890.0,11980.0,6689300
2021-02-25,12160.0,12220.0,11760.0,11870.0,6209100
2021-02-26,11650.0,11870.0,11520.0,11730.0,5700300
2021-03-01,11870.0,12220.0,11790.0,12160.0,3998800
2021-03-02,12380.0,12430.0,12060.0,12110.0,3712200
2021-03-03,12060.0,12330.0,12000.0,12240.0,4409600
2021-03-04,12300.0,12350.0,11630.0,11730.0,4660900
2021-03-05,11730.0,11950.0,11600.0,11810.0,3965300
2021-03-08,11890.0,12060.0,11840.0,11870.0,3958100
2021-03-09,11870.0,12380.0,11710.0,12030.0,5186900
2021-03-10,12160.0,12270.0,12030.0,12220.0,3988000
2021-03-11,12380.0,12410.0,12220.0,12270.0,3821800
2021-03-12,12330.0,12330.0,12110.0,12190.0,3587000
2021-03-15,12160.0,12350.0,12110.0,12220.0,4015100
2021-03-16,12240.0,12810.0,12220.0,12700.0,9215400
2021-03-17,12810.0,13130.0,12730.0,12840.0,6236000
2021-03-18,12920.0,12920.0,12650.0,12810.0,4200500
2021-03-19,12730.0,12780.0,12380.0,12380.0,5082700
2021-03-22,12540.0,12620.0,12380.0,12490.0,3895800
2021-03-23,12490.0,12490.0,12110.0,12190.0,4431200
2021-03-24,11980.0,12110.0,11680.0,11790.0,6193600
2021-03-25,11840.0,11950.0,11600.0,11730.0,4423700
2021-03-26,11680.0,11790.0,11190.0,11630.0,4888800
2021-03-29,11790.0,12160.0,11650.0,12060.0,3548900
2021-03-30,12140.0,12380.0,11950.0,12270.0,4334300
2021-03-31,12270.0,12680.0,12110.0,12330.0,7797400
2021-04-01,12410.0,13080.0,12330.0,13050.0,11768100
2021-04-02,13130.0,13290.0,12780.0,13020.0,10056200
2021-04-05,13130.0,13320.0,12860.0,13210.0,14249700
2021-04-06,13020.0,13990.0,12940.0,13940.0,10585700
2021-04-07,13720.0,14260.0,13540.0,14210.0,10147400
2021-04-08,14020.0,14020.0,13720.0,13990.0,6876200
