date,open,high,low,close,volume
2019-09-12,6240.0,6330.0,6160.0,6270.0,79700
2019-09-13,6240.0,6390.0,6190.0,6360.0,254970
2019-09-16,6360.0,6440.0,6310.0,6360.0,64320
2019-09-17,6360.0,6360.0,6300.0,6360.0,142480
2019-09-18,6330.0,6360.0,6300.0,6360.0,127040
2019-09-19,6360.0,6410.0,6310.0,6410.0,377020
2019-09-20,6410.0,6410.0,6200.0,6310.0,1186020
2019-09-23,6310.0,6310.0,6160.0,6270.0,458690
2019-09-24,6260.0,6300.0,6120.0,6300.0,391850
2019-09-25,6300.0,6330.0,6220.0,6300.0,139990
2019-09-26,6300.0,6370.0,6220.0,6360.0,372640
2019-09-27,6360.0,6360.0,6260.0,6330.0,108320
2019-09-30,6270.0,6340.0,6270.0,6330.0,153730
2019-10-01,6330.0,6370.0,6270.0,6360.0,493550
2019-10-02,6330.0,6370.0,6310.0,6360.0,241870
2019-10-03,6360.0,6360.0,6300.0,6330.0,140520
2019-10-04,6330.0,6330.0,6270.0,6330.0,287080
2019-10-07,6330.0,6360.0,6270.0,6300.0,278320
2019-10-08,6300.0,6300.0,6240.0,6300.0,96760
2019-10-09,6330.0,6330.0,6300.0,6330.0,90460
2019-10-10,6340.0,6340.0,6270.0,6330.0,211140
2019-10-11,6330.0,6330.0,6260.0,6330.0,138170
2019-10-14,6330.0,6340.0,6270.0,6340.0,550930
2019-10-15,6330.0,6330.0,6290.0,6330.0,179510
2019-10-16,6330.0,6340.0,6300.0,6330.0,148740
2019-10-17,6310.0,6470.0,6310.0,6410.0,1269400
2019-10-18,6400.0,6440.0,6340.0,6410.0,244260
2019-10-21,6410.0,6410.0,6330.0,6410.0,97050
2019-10-22,6360.0,6390.0,6310.0,6310.0,196680
2019-10-23,6300.0,6330.0,6260.0,6330.0,262740
2019-10-24,6330.0,6360.0,6270.0,6360.0,295440
2019-10-25,6360.0,6360.0,6290.0,6330.0,86510
2019-10-28,6330.0,6330.0,6290.0,6290.0,130940
2019-10-29,6290.0,6310.0,6270.0,6310.0,129980
2019-10-30,6310.0,6370.0,6260.0,6360.0,130380
2019-10-31,6360.0,6360.0,6290.0,6340.0,87200
2019-11-01,6340.0,6360.0,6290.0,6340.0,179450
2019-11-04,6300.0,6340.0,6290.0,6330.0,66000
2019-11-05,6330.0,6400.0,6310.0,6370.0,310070
2019-11-06,6360.0,6360.0,6330.0,6360.0,62370
2019-11-07,6360.0,6370.0,6330.0,6360.0,227330
2019-11-08,6340.0,6390.0,6330.0,6390.0,486850
2019-11-11,6430.0,6430.0,6360.0,6390.0,126270
2019-11-12,6410.0,6410.0,6360.0,6390.0,163180
2019-11-13,6390.0,6390.0,6300.0,6370.0,180220
2019-11-14,6370.0,6370.0,6300.0,6340.0,344300
2019-11-15,6340.0,6340.0,6270.0,6290.0,326040
2019-11-18,6310.0,6310.0,6200.0,6270.0,401500
2019-11-19,6270.0,6310.0,6220.0,6310.0,253430
2019-11-20,6310.0,6310.0,6240.0,6300.0,225620
2019-11-21,6300.0,6300.0,6220.0,6300.0,218440
2019-11-22,6270.0,6300.0,6160.0,6160.0,290960
2019-11-25,6160.0,6220.0,6070.0,6160.0,107400
2019-11-26,6160.0,6200.0,6100.0,6190.0,174960
2019-11-27,6190.0,6190.0,6160.0,6190.0,169180
