date,open,high,low,close,volume
2019-09-12,33600.0,34030.0,33600.0,34030.0,800240
2019-09-13,34150.0,35100.0,34150.0,35050.0,1408780
2019-09-16,35050.0,35390.0,34580.0,34670.0,697310
2019-09-17,34540.0,34800.0,34450.0,34710.0,896290
2019-09-18,34710.0,35310.0,34450.0,34500.0,809820
2019-09-19,34670.0,34970.0,34450.0,34880.0,527230
2019-09-20,34880.0,35440.0,34670.0,34670.0,2794080
2019-09-23,34920.0,35050.0,33810.0,33810.0,1187100
2019-09-24,34030.0,34580.0,33770.0,34500.0,791470
2019-09-25,34240.0,34620.0,33980.0,34540.0,729340
2019-09-26,34540.0,34800.0,34370.0,34670.0,1040190
2019-09-27,34800.0,35570.0,34580.0,35480.0,1388490
2019-09-30,35480.0,35650.0,35050.0,35140.0,775770
2019-10-01,35140.0,35780.0,35010.0,35690.0,795100
2019-10-02,35690.0,35820.0,34970.0,35100.0,1224650
2019-10-03,35010.0,35100.0,34500.0,35100.0,1003810
2019-10-04,35100.0,35740.0,35010.0,35520.0,1121700
2019-10-07,35950.0,36170.0,35440.0,35440.0,1134390
2019-10-08,35440.0,36510.0,35440.0,36420.0,1461940
2019-10-09,36420.0,36680.0,36170.0,36170.0,860160
2019-10-10,36340.0,36460.0,36170.0,36210.0,753670
2019-10-11,36170.0,36550.0,36120.0,36510.0,730370
2019-10-14,36590.0,36810.0,36380.0,36380.0,620800
2019-10-15,36380.0,36550.0,36250.0,36460.0,648400
2019-10-16,36890.0,36940.0,36680.0,36850.0,668740
2019-10-17,36980.0,36980.0,36290.0,36460.0,1023870
2019-10-18,36590.0,36720.0,36290.0,36380.0,417240
2019-10-21,36340.0,36340.0,35780.0,36040.0,561470
2019-10-22,36040.0,36720.0,36040.0,36550.0,473090
2019-10-23,36590.0,36720.0,36210.0,36510.0,538120
2019-10-24,36510.0,37240.0,36420.0,37190.0,660180
2019-10-25,37190.0,37880.0,37060.0,37660.0,838210
2019-10-28,37660.0,37750.0,37410.0,37410.0,383850
2019-10-29,37410.0,37450.0,36940.0,36980.0,702620
2019-10-30,36850.0,37750.0,36850.0,37580.0,607710
2019-10-31,37710.0,37880.0,37490.0,37530.0,319340
2019-11-01,37530.0,38260.0,37450.0,38010.0,1071470
2019-11-04,38220.0,39590.0,38220.0,39380.0,1091260
2019-11-05,39420.0,39590.0,38820.0,38860.0,616630
2019-11-06,38860.0,39500.0,38820.0,38950.0,673230
2019-11-07,38950.0,39330.0,38950.0,39080.0,360850
2019-11-08,39080.0,39330.0,38860.0,39160.0,416510
2019-11-11,39290.0,39290.0,38950.0,39080.0,423790
2019-11-12,39120.0,39420.0,39080.0,39250.0,595820
2019-11-13,39460.0,39460.0,38520.0,38730.0,706550
2019-11-14,38730.0,39120.0,38600.0,38900.0,375320
2019-11-15,38520.0,38950.0,38260.0,38390.0,565270
2019-11-18,38310.0,38480.0,37450.0,37490.0,700550
2019-11-19,37660.0,38950.0,37660.0,38950.0,526560
2019-11-20,38950.0,38950.0,38310.0,38310.0,516280
2019-11-21,38130.0,38390.0,37450.0,37450.0,1000670
2019-11-22,37490.0,37880.0,36460.0,36590.0,1346230
2019-11-25,36590.0,36810.0,35350.0,36170.0,1445550
2019-11-26,36170.0,36720.0,36170.0,36250.0,727130
2019-11-27,36590.0,37240.0,36510.0,36940.0,484360
2019-11-28,36810.0,36940.0,36340.0,36510.0,494650
2019-11-29,36640.0,36720.0,36380.0,36510.0,318000
2019-12-02,36510.0,36680.0,35520.0,35740.0,438800
2019-12-03,35520.0,35990.0,35100.0,35100.0,635370
2019-12-04,35050.0,36290.0,34880.0,36250.0,376730
2019-12-05,36380.0,36680.0,36210.0,36290.0,378490
2019-12-06,36290.0,36460.0,36120.0,36340.0,256400
2019-12-09,36340.0,36680.0,36120.0,36460.0,400740
2019-12-10,36510.0,36760.0,36380.0,36550.0,512290
2019-12-11,36810.0,36810.0,36460.0,36760.0,415080
2019-12-12,36850.0,37660.0,36810.0,37450.0,464750
