date,open,high,low,close,volume
2019-09-12,5630.0,5750.0,5630.0,5710.0,11260
2019-09-13,5810.0,5810.0,5660.0,5800.0,34760
2019-09-16,5870.0,5910.0,5700.0,5890.0,57490
2019-09-17,5890.0,5930.0,5860.0,5920.0,25030
2019-09-18,5920.0,5940.0,5860.0,5860.0,18210
2019-09-19,5860.0,6100.0,5780.0,6100.0,52460
2019-09-20,6160.0,6240.0,5930.0,6190.0,62500
2019-09-23,6300.0,6300.0,6140.0,6260.0,71690
2019-09-24,6120.0,6250.0,6120.0,6250.0,18040
2019-09-25,6140.0,6330.0,6140.0,6330.0,15240
2019-09-26,6330.0,6440.0,6260.0,6330.0,12920
2019-09-27,6330.0,6330.0,6190.0,6190.0,4600
2019-09-30,6280.0,6290.0,6060.0,6060.0,25380
2019-10-01,6060.0,6190.0,6060.0,6190.0,17820
2019-10-02,6190.0,6400.0,6170.0,6370.0,116700
2019-10-03,6300.0,6370.0,6280.0,6280.0,50440
2019-10-04,6280.0,6280.0,6120.0,6120.0,21360
2019-10-07,6160.0,6160.0,5940.0,5940.0,26220
2019-10-08,5940.0,6140.0,5940.0,6140.0,20790
2019-10-09,5960.0,6170.0,5960.0,6070.0,23080
2019-10-10,6100.0,6120.0,6070.0,6070.0,19030
2019-10-11,6190.0,6190.0,6010.0,6160.0,19970
2019-10-14,6160.0,6190.0,5890.0,6160.0,55860
2019-10-15,6160.0,6230.0,6070.0,6170.0,32350
2019-10-16,6170.0,6240.0,6140.0,6190.0,31750
2019-10-17,6120.0,6210.0,6100.0,6210.0,12210
2019-10-18,6190.0,6190.0,6100.0,6100.0,2300
2019-10-21,6100.0,6100.0,6030.0,6070.0,26950
2019-10-22,6010.0,6090.0,6010.0,6090.0,14320
2019-10-23,6020.0,6170.0,6020.0,6160.0,67100
2019-10-24,6140.0,6190.0,6140.0,6190.0,8040
2019-10-25,6210.0,6210.0,6070.0,6170.0,45490
2019-10-28,6050.0,6320.0,6050.0,6160.0,9160
2019-10-29,6230.0,6230.0,6030.0,6050.0,13230
2019-10-30,6100.0,6190.0,6010.0,6190.0,21820
2019-10-31,6190.0,6190.0,6160.0,6190.0,65500
2019-11-01,6190.0,6190.0,6070.0,6190.0,26470
2019-11-04,6190.0,6190.0,6100.0,6100.0,258310
2019-11-05,6230.0,6230.0,6090.0,6170.0,122170
2019-11-06,6120.0,6120.0,6010.0,6100.0,74360
2019-11-07,6010.0,6100.0,6010.0,6020.0,202450
2019-11-08,6130.0,6160.0,6050.0,6060.0,144030
2019-11-11,6050.0,6060.0,6010.0,6010.0,155360
2019-11-12,6010.0,6050.0,6010.0,6020.0,127500
2019-11-13,6000.0,6080.0,5900.0,6010.0,104600
2019-11-14,6000.0,6170.0,6000.0,6010.0,130030
2019-11-15,6010.0,6010.0,5920.0,5930.0,124190
2019-11-18,5940.0,6010.0,5940.0,6010.0,44310
2019-11-19,6010.0,6010.0,5940.0,6010.0,36800
2019-11-20,5840.0,6010.0,5840.0,6010.0,35640
2019-11-21,5840.0,6010.0,5840.0,5930.0,102380
2019-11-22,5930.0,6000.0,5910.0,5910.0,408480
2019-11-25,5940.0,6300.0,5860.0,5860.0,439070
2019-11-26,5840.0,6010.0,5840.0,5860.0,104330
2019-11-27,5840.0,5930.0,5840.0,5840.0,146900
2019-11-28,5860.0,6010.0,5860.0,5910.0,15960
2019-11-29,5920.0,6010.0,5860.0,5960.0,392020
2019-12-02,5960.0,5960.0,5870.0,5910.0,53710
2019-12-03,5840.0,5910.0,5780.0,5870.0,8580
2019-12-04,5930.0,5930.0,5750.0,5900.0,7880
2019-12-05,5780.0,5840.0,5770.0,5770.0,51710
2019-12-06,5770.0,5770.0,5480.0,5570.0,71540
2019-12-09,5740.0,5750.0,5610.0,5740.0,18800
2019-12-10,5640.0,5640.0,5590.0,5630.0,187140
2019-12-11,5660.0,5700.0,5550.0,5570.0,15340
2019-12-12,5710.0,5710.0,5550.0,5640.0,27460
2019-12-13,5540.0,5650.0,5520.0,5610.0,23010
2019-12-16,5570.0,5570.0,5540.0,5550.0,42350
2019-12-17,5520.0,5520.0,5410.0,5460.0,50960
2019-12-18,5460.0,5460.0,5170.0,5220.0,49090
2019-12-19,5240.0,5400.0,5240.0,5310.0,12660
2019-12-20,5220.0,5360.0,5170.0,5310.0,149860
2019-12-23,5310.0,5310.0,5170.0,5220.0,30760
2019-12-24,5310.0,5580.0,5130.0,5220.0,96900
2019-12-25,5290.0,5300.0,5170.0,5270.0,68620
2019-12-26,5130.0,5270.0,5130.0,5220.0,21720
2019-12-27,5200.0,5270.0,5180.0,5270.0,21900
2019-12-30,5220.0,5220.0,5190.0,5220.0,46860
2019-12-31,5220.0,5220.0,5110.0,5220.0,56710
2020-01-02,5130.0,5130.0,5060.0,5130.0,18320
2020-01-03,5130.0,5130.0,5040.0,5130.0,2450
2020-01-06,4950.0,5180.0,4950.0,5060.0,22760
2020-01-07,5200.0,5200.0,5060.0,5060.0,18320
2020-01-08,4950.0,5060.0,4950.0,5060.0,2640
2020-01-09,5130.0,5130.0,5060.0,5110.0,3720
2020-01-10,5060.0,5110.0,4970.0,5090.0,8570
2020-01-13,4990.0,5200.0,4990.0,5130.0,40860
2020-01-14,5130.0,5130.0,5040.0,5130.0,65730
2020-01-15,5040.0,5280.0,5040.0,5130.0,1050
2020-01-16,4960.0,5120.0,4960.0,5040.0,24120
2020-01-17,5040.0,5210.0,5040.0,5090.0,30490
2020-01-20,5130.0,5130.0,5050.0,5050.0,10870
2020-01-21,5040.0,5130.0,5040.0,5110.0,53940
2020-01-22,5210.0,5210.0,5060.0,5060.0,44180
2020-01-30,5310.0,5310.0,4780.0,4780.0,101240
2020-01-31,4950.0,4950.0,4710.0,4740.0,54030
2020-02-03,4440.0,4740.0,4420.0,4740.0,96440
2020-02-04,4600.0,4780.0,4600.0,4740.0,6550
2020-02-05,4620.0,4830.0,4510.0,4710.0,59100
2020-02-06,4580.0,4780.0,4580.0,4740.0,23930
2020-02-07,4710.0,4910.0,4420.0,4690.0,60730
2020-02-10,4780.0,4780.0,4630.0,4670.0,9850
2020-02-11,4670.0,4740.0,4600.0,4690.0,30890
2020-02-12,4690.0,4850.0,4680.0,4840.0,55830
2020-02-13,4780.0,4890.0,4780.0,4890.0,34100
2020-02-14,4940.0,5110.0,4920.0,4980.0,30240
2020-02-17,4940.0,5040.0,4880.0,4950.0,17570
2020-02-18,4960.0,5010.0,4860.0,5010.0,14320
2020-02-19,5010.0,5010.0,4840.0,4970.0,120
2020-02-20,4870.0,4950.0,4870.0,4950.0,4640
2020-02-21,4950.0,5020.0,4890.0,4950.0,128730
2020-02-24,4810.0,4910.0,4710.0,4810.0,8780
2020-02-25,4780.0,4860.0,4710.0,4860.0,13560
2020-02-26,4860.0,4860.0,4530.0,4690.0,30500
2020-02-27,4690.0,4760.0,4600.0,4760.0,78230
2020-02-28,4620.0,4620.0,4600.0,4600.0,7540
2020-03-02,4600.0,4780.0,4600.0,4600.0,53480
2020-03-03,4690.0,4690.0,4600.0,4600.0,29910
2020-03-04,4670.0,4670.0,4600.0,4600.0,6280
2020-03-05,4680.0,4740.0,4600.0,4670.0,69690
2020-03-06,4670.0,4710.0,4630.0,4710.0,11030
2020-03-09,4420.0,4580.0,4380.0,4510.0,95830
2020-03-10,4260.0,4580.0,4260.0,4510.0,171530
2020-03-11,4290.0,4330.0,4200.0,4230.0,101910
2020-03-12,3940.0,4090.0,3940.0,3940.0,20000
2020-03-13,3660.0,3890.0,3660.0,3660.0,14480
