date,open,high,low,close,volume
2019-09-12,102840.0,105380.0,102770.0,105380.0,677330
2019-09-13,105380.0,106690.0,105380.0,106300.0,581100
2019-09-16,106300.0,108150.0,106300.0,108070.0,918890
2019-09-17,107690.0,108070.0,107380.0,107920.0,1660130
2019-09-18,107920.0,107920.0,105840.0,107460.0,443680
2019-09-19,107460.0,107610.0,106300.0,107300.0,513500
2019-09-20,106920.0,107230.0,106150.0,106150.0,3731860
2019-09-23,106150.0,106150.0,105690.0,105840.0,319890
2019-09-24,105760.0,106150.0,105760.0,105840.0,447380
2019-09-25,105760.0,105920.0,103840.0,104610.0,414030
2019-09-26,104070.0,104840.0,104070.0,104610.0,325980
2019-09-27,104690.0,105150.0,104230.0,105070.0,437980
2019-09-30,104610.0,106000.0,104610.0,105920.0,488290
2019-10-01,106000.0,106000.0,105230.0,105760.0,340010
2019-10-02,105760.0,106000.0,105380.0,105840.0,401000
2019-10-03,105690.0,105690.0,105230.0,105610.0,336620
2019-10-04,105690.0,106690.0,105460.0,105840.0,710480
2019-10-07,105840.0,105840.0,104920.0,105690.0,429440
2019-10-08,105610.0,106000.0,105460.0,105690.0,498720
2019-10-09,105530.0,105920.0,105230.0,105690.0,528830
2019-10-10,105760.0,105760.0,105230.0,105760.0,509370
2019-10-11,105760.0,107300.0,105690.0,107230.0,649930
2019-10-14,107230.0,107840.0,107230.0,107230.0,489110
2019-10-15,107230.0,107840.0,107230.0,107380.0,481300
2019-10-16,107300.0,107460.0,106610.0,106920.0,329060
2019-10-17,107150.0,107460.0,106460.0,106530.0,458890
2019-10-18,106530.0,107150.0,106300.0,107000.0,400630
2019-10-21,107000.0,108690.0,106920.0,107690.0,489400
2019-10-22,107920.0,110690.0,107920.0,110690.0,451730
2019-10-23,110690.0,111070.0,110000.0,110760.0,435740
2019-10-24,110690.0,111460.0,110000.0,111460.0,468850
2019-10-25,110760.0,112690.0,110760.0,112230.0,458050
2019-10-28,112230.0,113150.0,111530.0,111530.0,311800
2019-10-29,110920.0,111840.0,110380.0,110380.0,394270
2019-10-30,110760.0,111760.0,110760.0,111380.0,707320
2019-10-31,111530.0,111690.0,110920.0,111530.0,657640
2019-11-01,111610.0,111920.0,111530.0,111920.0,441910
2019-11-04,111760.0,111760.0,111000.0,111760.0,374520
2019-11-05,111760.0,112230.0,111760.0,112070.0,507500
2019-11-06,111530.0,111920.0,110000.0,110380.0,476860
2019-11-07,110380.0,110460.0,109530.0,110150.0,400270
2019-11-08,110150.0,110230.0,110000.0,110150.0,389400
2019-11-11,110230.0,110380.0,109610.0,109840.0,428170
2019-11-12,109840.0,110380.0,109690.0,110380.0,394890
2019-11-13,110460.0,110760.0,110150.0,110380.0,433120
2019-11-14,110380.0,110610.0,110070.0,110300.0,419880
2019-11-15,110380.0,110530.0,109920.0,110230.0,495170
2019-11-18,110230.0,110530.0,109920.0,110380.0,509230
2019-11-19,110380.0,110760.0,110300.0,110760.0,583570
2019-11-20,111000.0,111690.0,110920.0,111460.0,581440
2019-11-21,111150.0,111460.0,110300.0,110300.0,602750
2019-11-22,110300.0,110460.0,109610.0,110000.0,431230
2019-11-25,109230.0,110000.0,108920.0,110000.0,393890
2019-11-26,110000.0,110380.0,110000.0,110230.0,445370
2019-11-27,110380.0,110610.0,110150.0,110530.0,321040
2019-11-28,110610.0,111300.0,110610.0,111230.0,501020
2019-11-29,111230.0,111610.0,111230.0,111460.0,336450
2019-12-02,111610.0,112460.0,111460.0,112380.0,561090
2019-12-03,112150.0,112150.0,111530.0,111840.0,492220
2019-12-04,111840.0,112070.0,111530.0,111920.0,395960
2019-12-05,112000.0,112230.0,111840.0,111840.0,413470
2019-12-06,111760.0,111760.0,110840.0,111070.0,385820
2019-12-09,111000.0,111150.0,110150.0,111150.0,351930
2019-12-10,111150.0,111150.0,110230.0,110610.0,400540
2019-12-11,110530.0,110840.0,110300.0,110690.0,405490
2019-12-12,110760.0,111690.0,110690.0,111690.0,423230
2019-12-13,111690.0,111840.0,111150.0,111150.0,349180
2019-12-16,111150.0,111150.0,109840.0,110000.0,409810
2019-12-17,109920.0,110000.0,109460.0,109690.0,309620
2019-12-18,109690.0,109760.0,109380.0,109760.0,389080
2019-12-19,109840.0,110000.0,109460.0,109690.0,452360
2019-12-20,109690.0,109760.0,109300.0,109610.0,800200
2019-12-23,109610.0,110610.0,109610.0,109920.0,407670
2019-12-24,109920.0,110380.0,109840.0,110380.0,358610
2019-12-25,110300.0,110610.0,110150.0,110610.0,354830
2019-12-26,110610.0,110760.0,110380.0,110530.0,371430
2019-12-27,110380.0,110530.0,110300.0,110460.0,360120
2019-12-30,110460.0,111070.0,110380.0,111070.0,415840
2019-12-31,111230.0,112530.0,111070.0,112460.0,482790
2020-01-02,112530.0,113840.0,112530.0,113840.0,419710
2020-01-03,113840.0,114460.0,113460.0,113840.0,350790
2020-01-06,113690.0,113690.0,112000.0,112300.0,334350
2020-01-07,112150.0,112300.0,111920.0,112230.0,360760
2020-01-08,112070.0,112150.0,110760.0,111380.0,417200
2020-01-09,111380.0,112460.0,111300.0,112460.0,451440
2020-01-10,112460.0,112530.0,111760.0,112460.0,483900
2020-01-13,112460.0,112690.0,112230.0,112690.0,466570
2020-01-14,112690.0,112690.0,112150.0,112300.0,486130
2020-01-15,112230.0,112300.0,111760.0,112300.0,422930
2020-01-16,112300.0,112530.0,112150.0,112300.0,404540
2020-01-17,112300.0,114150.0,112300.0,114000.0,506950
2020-01-20,114000.0,114000.0,113070.0,113070.0,341310
2020-01-21,113070.0,113230.0,112690.0,113070.0,369200
2020-01-22,113070.0,113070.0,112690.0,112690.0,365030
2020-01-30,111530.0,111530.0,107690.0,107690.0,565700
2020-01-31,107460.0,107460.0,100150.0,100150.0,489090
2020-02-03,93150.0,96530.0,93150.0,96530.0,1089690
2020-02-04,96530.0,99840.0,96460.0,99230.0,271820
2020-02-05,99230.0,99460.0,97530.0,97690.0,477530
2020-02-06,97530.0,98380.0,97150.0,98070.0,422850
2020-02-07,98150.0,101460.0,98000.0,100920.0,502280
2020-02-10,100770.0,100770.0,99070.0,99230.0,269590
2020-02-11,99230.0,99300.0,98690.0,99230.0,345280
2020-02-12,99300.0,99380.0,98770.0,99380.0,372700
2020-02-13,99150.0,99380.0,98770.0,99380.0,362740
2020-02-14,99380.0,99380.0,98770.0,98920.0,280880
2020-02-17,98840.0,99150.0,98840.0,99000.0,324750
2020-02-18,99070.0,99070.0,98770.0,99000.0,347240
2020-02-19,99000.0,99000.0,98690.0,98770.0,348800
2020-02-20,98770.0,99000.0,98460.0,98840.0,257700
2020-02-21,98840.0,99070.0,98770.0,98920.0,371740
2020-02-24,98770.0,98840.0,97920.0,98460.0,306570
2020-02-25,98300.0,98300.0,96300.0,97690.0,247200
2020-02-26,96530.0,96610.0,96000.0,96150.0,388100
2020-02-27,96150.0,96150.0,94380.0,94460.0,243980
2020-02-28,93840.0,94380.0,93690.0,93770.0,305420
2020-03-02,93070.0,93070.0,91840.0,92920.0,339750
2020-03-03,92690.0,93770.0,92530.0,92920.0,335300
2020-03-04,92920.0,99000.0,92230.0,93300.0,401940
2020-03-05,93460.0,95300.0,93380.0,94610.0,413440
2020-03-06,94530.0,94530.0,92230.0,92690.0,299570
2020-03-09,91530.0,91530.0,86230.0,87300.0,340670
2020-03-10,83840.0,88070.0,82920.0,88070.0,346960
2020-03-11,88070.0,88070.0,81920.0,81920.0,683340
2020-03-12,81150.0,81540.0,76230.0,77690.0,791610
2020-03-13,76540.0,77690.0,72300.0,77690.0,488260
2020-03-16,76380.0,76920.0,73840.0,76920.0,397240
2020-03-17,75380.0,78230.0,75150.0,78230.0,439950
