date,open,high,low,close,volume
2019-09-04,2620.0,2620.0,2560.0,2610.0,450300
2019-09-05,2610.0,2610.0,2560.0,2600.0,285960
2019-09-06,2460.0,2600.0,2460.0,2600.0,1197510
2019-09-09,2600.0,2610.0,2540.0,2610.0,389860
2019-09-10,2600.0,2600.0,2540.0,2600.0,410130
2019-09-11,2600.0,2650.0,2550.0,2650.0,623300
2019-09-12,2650.0,2650.0,2620.0,2650.0,190040
2019-09-13,2650.0,2660.0,2630.0,2650.0,296830
2019-09-16,2660.0,2700.0,2650.0,2660.0,501380
2019-09-17,2660.0,2680.0,2630.0,2630.0,297940
2019-09-18,2640.0,2670.0,2630.0,2650.0,224340
2019-09-19,2650.0,2650.0,2610.0,2650.0,367330
2019-09-20,2650.0,2660.0,2630.0,2640.0,205680
2019-09-23,2640.0,2660.0,2630.0,2640.0,254980
2019-09-24,2640.0,2650.0,2620.0,2640.0,203250
2019-09-25,2640.0,2640.0,2620.0,2640.0,82120
2019-09-26,2640.0,2730.0,2640.0,2690.0,756120
2019-09-27,2720.0,2780.0,2720.0,2750.0,501580
2019-09-30,2770.0,2790.0,2730.0,2730.0,372180
2019-10-01,2720.0,2720.0,2650.0,2670.0,757020
2019-10-02,2680.0,2680.0,2650.0,2660.0,537000
2019-10-03,2650.0,2660.0,2620.0,2660.0,550280
2019-10-04,2660.0,2680.0,2640.0,2660.0,395810
2019-10-07,2660.0,2660.0,2610.0,2650.0,308870
2019-10-08,2650.0,2650.0,2600.0,2650.0,418270
2019-10-09,2650.0,2650.0,2620.0,2640.0,139340
2019-10-10,2620.0,2640.0,2600.0,2640.0,362680
2019-10-11,2640.0,2640.0,2590.0,2630.0,377170
2019-10-14,2630.0,2640.0,2510.0,2550.0,1866180
2019-10-15,2570.0,2610.0,2550.0,2610.0,228470
2019-10-16,2610.0,2610.0,2550.0,2610.0,278000
2019-10-17,2590.0,2590.0,2550.0,2590.0,355560
2019-10-18,2590.0,2590.0,2550.0,2570.0,259770
2019-10-21,2570.0,2600.0,2510.0,2600.0,432450
2019-10-22,2560.0,2600.0,2550.0,2600.0,247760
2019-10-23,2600.0,2600.0,2570.0,2600.0,127930
2019-10-24,2600.0,2600.0,2550.0,2600.0,294760
2019-10-25,2600.0,2600.0,2550.0,2550.0,356480
2019-10-28,2550.0,2570.0,2540.0,2570.0,224820
2019-10-29,2570.0,2570.0,2530.0,2570.0,472760
2019-10-30,2550.0,2580.0,2540.0,2570.0,392690
2019-10-31,2570.0,2570.0,2540.0,2570.0,288060
2019-11-01,2540.0,2590.0,2540.0,2590.0,315980
2019-11-04,2600.0,2610.0,2580.0,2600.0,314490
2019-11-05,2600.0,2620.0,2590.0,2610.0,115590
2019-11-06,2610.0,2630.0,2570.0,2610.0,391690
2019-11-07,2610.0,2660.0,2590.0,2660.0,598900
2019-11-08,2670.0,2710.0,2660.0,2680.0,761260
2019-11-11,2680.0,2690.0,2650.0,2680.0,555880
2019-11-12,2680.0,2680.0,2650.0,2670.0,521640
2019-11-13,2670.0,2670.0,2650.0,2660.0,313470
2019-11-14,2670.0,2670.0,2630.0,2660.0,326970
2019-11-15,2650.0,2680.0,2630.0,2680.0,506950
2019-11-18,2650.0,2670.0,2650.0,2650.0,295580
2019-11-19,2640.0,2650.0,2630.0,2650.0,263700
2019-11-20,2650.0,2660.0,2650.0,2650.0,191360
2019-11-21,2640.0,2650.0,2630.0,2650.0,175180
2019-11-22,2650.0,2650.0,2550.0,2650.0,277650
2019-11-25,2650.0,2650.0,2610.0,2640.0,114710
2019-11-26,2640.0,2650.0,2630.0,2650.0,166310
2019-11-27,2650.0,2650.0,2630.0,2640.0,240410
2019-11-28,2640.0,2640.0,2600.0,2630.0,104960
2019-11-29,2610.0,2620.0,2570.0,2620.0,255980
2019-12-02,2620.0,2620.0,2570.0,2620.0,186390
2019-12-03,2620.0,2620.0,2580.0,2610.0,127490
2019-12-04,2590.0,2620.0,2580.0,2620.0,120830
2019-12-05,2620.0,2620.0,2580.0,2620.0,131810
2019-12-06,2590.0,2630.0,2580.0,2620.0,91840
2019-12-09,2620.0,2620.0,2600.0,2620.0,113990
2019-12-10,2620.0,2640.0,2610.0,2630.0,344030
2019-12-11,2610.0,2630.0,2600.0,2630.0,67310
2019-12-12,2610.0,2730.0,2590.0,2730.0,204240
2019-12-13,2720.0,2720.0,2650.0,2710.0,206520
2019-12-16,2710.0,2720.0,2700.0,2710.0,166860
2019-12-17,2720.0,2730.0,2680.0,2730.0,354360
2019-12-18,2740.0,2740.0,2690.0,2740.0,156730
2019-12-19,2700.0,2750.0,2700.0,2750.0,160790
2019-12-20,2750.0,2750.0,2650.0,2740.0,417790
2019-12-23,2740.0,2740.0,2700.0,2740.0,93160
2019-12-24,2740.0,2740.0,2680.0,2720.0,189950
2019-12-25,2650.0,2730.0,2650.0,2730.0,152820
2019-12-26,2720.0,2720.0,2670.0,2720.0,186720
2019-12-27,2700.0,2740.0,2680.0,2720.0,128290
2019-12-30,2670.0,2730.0,2670.0,2710.0,191100
2019-12-31,2720.0,2720.0,2660.0,2720.0,108720
2020-01-02,2650.0,2730.0,2650.0,2730.0,58580
2020-01-03,2730.0,2730.0,2670.0,2720.0,163940
