date,open,high,low,close,volume
2019-09-12,5720.0,5840.0,5720.0,5840.0,145240
2019-09-13,5860.0,5880.0,5740.0,5840.0,124370
2019-09-16,5760.0,5840.0,5750.0,5750.0,81120
2019-09-17,5760.0,5830.0,5740.0,5780.0,71320
2019-09-18,5830.0,5830.0,5720.0,5780.0,77680
2019-09-19,5780.0,5790.0,5720.0,5760.0,105070
2019-09-20,5800.0,5850.0,5710.0,5720.0,188310
2019-09-23,5720.0,5770.0,5700.0,5700.0,90220
2019-09-24,5700.0,5740.0,5690.0,5700.0,106870
2019-09-25,5700.0,5760.0,5700.0,5720.0,50680
2019-09-26,5760.0,5760.0,5600.0,5620.0,174520
2019-09-27,5600.0,5690.0,5560.0,5620.0,141150
2019-09-30,5560.0,5670.0,5560.0,5620.0,111730
2019-10-01,5620.0,5700.0,5600.0,5640.0,35980
2019-10-02,5640.0,5640.0,5500.0,5520.0,151380
2019-10-03,5520.0,5590.0,5520.0,5560.0,37550
2019-10-04,5560.0,5590.0,5530.0,5530.0,63630
2019-10-07,5580.0,5580.0,5460.0,5520.0,88860
2019-10-08,5520.0,5520.0,5390.0,5400.0,92630
2019-10-09,5400.0,5460.0,5400.0,5440.0,40750
2019-10-10,5500.0,5520.0,5410.0,5480.0,45550
2019-10-11,5500.0,5500.0,5410.0,5440.0,60120
2019-10-14,5440.0,5440.0,5360.0,5420.0,81530
2019-10-15,5420.0,5420.0,5310.0,5320.0,198160
2019-10-16,5320.0,5410.0,5190.0,5400.0,300660
2019-10-17,5400.0,5400.0,5270.0,5290.0,159440
2019-10-18,5270.0,5360.0,5270.0,5290.0,33320
2019-10-21,5310.0,5310.0,5230.0,5290.0,41520
2019-10-22,5270.0,5270.0,5170.0,5180.0,159330
2019-10-23,5210.0,5250.0,5190.0,5210.0,74990
2019-10-24,5210.0,5250.0,5210.0,5230.0,41020
2019-10-25,5250.0,5390.0,5240.0,5390.0,193030
2019-10-28,5400.0,5400.0,5320.0,5330.0,89250
2019-10-29,5330.0,5330.0,5260.0,5260.0,144430
2019-10-30,5250.0,5280.0,5230.0,5270.0,121620
2019-10-31,5250.0,5270.0,5230.0,5230.0,102110
2019-11-01,5310.0,5310.0,5230.0,5250.0,74540
2019-11-04,5260.0,5280.0,5230.0,5240.0,146300
2019-11-05,5250.0,5280.0,5240.0,5250.0,50700
2019-11-06,5250.0,5390.0,5250.0,5340.0,131040
2019-11-07,5310.0,5390.0,5310.0,5340.0,134580
2019-11-08,5380.0,5380.0,5270.0,5270.0,96890
2019-11-11,5270.0,5310.0,5220.0,5230.0,139770
2019-11-12,5230.0,5250.0,5220.0,5220.0,73390
2019-11-13,5220.0,5260.0,5210.0,5210.0,117390
2019-11-14,5210.0,5250.0,5170.0,5210.0,92020
2019-11-15,5230.0,5230.0,4970.0,4970.0,125190
2019-11-18,5110.0,5110.0,5010.0,5030.0,302490
2019-11-19,5060.0,5110.0,5060.0,5090.0,172870
2019-11-20,5100.0,5110.0,5060.0,5060.0,77960
2019-11-21,5070.0,5070.0,4980.0,5030.0,98530
2019-11-22,5030.0,5380.0,4910.0,5380.0,227760
2019-11-25,5270.0,5270.0,5070.0,5130.0,78870
2019-11-26,5110.0,5110.0,4970.0,5020.0,132650
2019-11-27,5020.0,5020.0,4960.0,4980.0,44040
2019-11-28,5020.0,5020.0,4930.0,4950.0,59890
2019-11-29,5010.0,5010.0,4870.0,4950.0,91470
2019-12-02,4910.0,4920.0,4860.0,4860.0,75130
2019-12-03,4870.0,4870.0,4790.0,4830.0,96150
2019-12-04,4830.0,4910.0,4820.0,4830.0,115350
2019-12-05,4910.0,4910.0,4830.0,4900.0,65840
2019-12-06,4850.0,4910.0,4850.0,4900.0,14840
2019-12-09,4910.0,4960.0,4890.0,4930.0,50240
2019-12-10,4930.0,5030.0,4890.0,5030.0,48810
2019-12-11,4970.0,5200.0,4970.0,5200.0,148640
2019-12-12,5200.0,5310.0,5150.0,5300.0,75600
2019-12-13,5210.0,5320.0,5210.0,5230.0,104590
2019-12-16,5250.0,5280.0,5150.0,5280.0,58940
2019-12-17,5280.0,5300.0,5150.0,5210.0,32120
2019-12-18,5160.0,5320.0,5160.0,5320.0,228680
2019-12-19,5360.0,5360.0,5230.0,5310.0,118630
2019-12-20,5240.0,5330.0,5240.0,5300.0,126380
2019-12-23,5310.0,5330.0,5270.0,5310.0,99130
2019-12-24,5310.0,5310.0,5230.0,5310.0,51780
2019-12-25,5370.0,5370.0,5240.0,5330.0,34720
2019-12-26,5310.0,5490.0,5290.0,5400.0,92970
2019-12-27,5400.0,5600.0,5400.0,5520.0,219460
2019-12-30,5550.0,5730.0,5520.0,5610.0,237610
2019-12-31,5620.0,5690.0,5520.0,5570.0,108340
2020-01-02,5520.0,5720.0,5480.0,5600.0,197200
2020-01-03,5600.0,5720.0,5600.0,5720.0,347650
2020-01-06,5760.0,5760.0,5620.0,5620.0,55180
2020-01-07,5700.0,5700.0,5560.0,5560.0,53900
2020-01-08,5570.0,5570.0,5330.0,5440.0,80310
2020-01-09,5440.0,5540.0,5440.0,5520.0,43430
2020-01-10,5560.0,5610.0,5520.0,5520.0,62780
2020-01-13,5520.0,5610.0,5440.0,5590.0,34110
2020-01-14,5600.0,5600.0,5440.0,5490.0,11840
2020-01-15,5520.0,5520.0,5380.0,5410.0,44510
2020-01-16,5380.0,5480.0,5380.0,5420.0,57770
2020-01-17,5380.0,5540.0,5380.0,5460.0,68150
2020-01-20,5460.0,5500.0,5460.0,5460.0,14250
2020-01-21,5400.0,5510.0,5400.0,5490.0,12870
2020-01-22,5500.0,5500.0,5400.0,5480.0,22900
2020-01-30,5480.0,5480.0,5330.0,5400.0,55180
2020-01-31,5360.0,5380.0,5210.0,5210.0,116550
2020-02-03,4850.0,5180.0,4850.0,5180.0,158860
2020-02-04,5170.0,5300.0,5110.0,5190.0,120870
2020-02-05,5190.0,5270.0,5060.0,5110.0,60580
2020-02-06,5110.0,5140.0,5060.0,5140.0,30060
2020-02-07,5150.0,5200.0,5110.0,5170.0,118060
2020-02-10,5170.0,5270.0,5110.0,5170.0,152640
2020-02-11,5210.0,5210.0,5140.0,5190.0,17870
2020-02-12,5190.0,5280.0,5140.0,5190.0,190620
2020-02-13,5140.0,5210.0,5140.0,5190.0,37800
2020-02-14,5190.0,5230.0,5170.0,5230.0,48140
2020-02-17,5230.0,5230.0,5190.0,5190.0,56950
2020-02-18,5210.0,5270.0,5170.0,5230.0,169080
2020-02-19,5220.0,5220.0,5170.0,5170.0,95730
2020-02-20,5270.0,5270.0,5150.0,5150.0,51250
2020-02-21,5150.0,5210.0,5140.0,5170.0,88750
2020-02-24,5110.0,5110.0,4990.0,5000.0,236250
2020-02-25,4910.0,5010.0,4910.0,4960.0,79510
2020-02-26,4910.0,4990.0,4890.0,4990.0,46620
2020-02-27,4990.0,4990.0,4900.0,4970.0,16530
2020-02-28,4970.0,4970.0,4820.0,4860.0,200730
2020-03-02,4860.0,4910.0,4750.0,4770.0,167630
2020-03-03,4800.0,4940.0,4800.0,4940.0,99830
2020-03-04,4940.0,4940.0,4910.0,4910.0,14510
2020-03-05,4910.0,5070.0,4910.0,5010.0,84010
2020-03-06,5010.0,5110.0,5010.0,5110.0,116800
2020-03-09,4750.0,4850.0,4750.0,4750.0,179560
2020-03-10,4750.0,4820.0,4600.0,4750.0,65330
2020-03-11,4800.0,4800.0,4600.0,4600.0,117830
2020-03-12,4540.0,4540.0,4280.0,4310.0,317590
2020-03-13,4020.0,4190.0,4020.0,4170.0,216470
2020-03-16,4240.0,4290.0,4170.0,4270.0,152200
2020-03-17,4170.0,4260.0,4090.0,4230.0,161090
2020-03-18,4190.0,4330.0,4190.0,4230.0,549820
2020-03-19,4190.0,4230.0,4170.0,4210.0,126830
2020-03-20,4190.0,4260.0,4170.0,4260.0,71450
2020-03-23,4170.0,4170.0,3990.0,3990.0,187560
2020-03-24,3990.0,4130.0,3990.0,4010.0,85470
2020-03-25,4010.0,4210.0,4010.0,4190.0,104600
2020-03-26,4290.0,4290.0,4190.0,4190.0,68960
2020-03-27,4190.0,4270.0,4170.0,4190.0,138880
2020-03-30,4170.0,4170.0,4110.0,4150.0,179170
2020-03-31,4130.0,4190.0,4130.0,4190.0,69880
2020-04-01,4170.0,4240.0,4170.0,4200.0,48250
2020-04-03,4200.0,4350.0,4200.0,4290.0,169680
2020-04-06,4290.0,4490.0,4290.0,4390.0,132460
2020-04-07,4390.0,4440.0,4380.0,4400.0,96820
2020-04-08,4400.0,4410.0,4300.0,4400.0,190140
2020-04-09,4400.0,4440.0,4390.0,4390.0,154880
2020-04-10,4410.0,4410.0,4290.0,4290.0,178450
2020-04-13,4270.0,4430.0,4270.0,4430.0,159390
2020-04-14,4430.0,4470.0,4380.0,4450.0,48020
2020-04-15,4450.0,4600.0,4430.0,4570.0,219580
2020-04-16,4580.0,4840.0,4530.0,4780.0,155730
2020-04-17,4780.0,4950.0,4740.0,4890.0,108000
2020-04-20,4890.0,4890.0,4720.0,4800.0,132050
2020-04-21,4710.0,4750.0,4520.0,4520.0,151030
2020-04-22,4460.0,4700.0,4440.0,4660.0,187110
2020-04-23,4770.0,4790.0,4660.0,4740.0,55420
2020-04-24,4740.0,4760.0,4680.0,4710.0,29220
2020-04-27,4670.0,5030.0,4670.0,5010.0,269100
2020-04-28,5110.0,5250.0,4970.0,5210.0,180830
2020-04-29,5460.0,5470.0,5210.0,5290.0,484840
2020-05-04,5210.0,5270.0,5070.0,5210.0,235570
2020-05-05,5210.0,5330.0,5160.0,5310.0,109790
2020-05-06,5330.0,5560.0,5280.0,5550.0,288600
2020-05-07,5550.0,5760.0,5500.0,5500.0,170590
2020-05-08,5520.0,5580.0,5440.0,5490.0,188980
2020-05-11,5540.0,5770.0,5500.0,5770.0,190420
2020-05-12,5720.0,5790.0,5650.0,5780.0,96880
2020-05-13,5780.0,5800.0,5670.0,5720.0,125320
2020-05-14,5620.0,5920.0,5620.0,5740.0,155670
2020-05-15,5720.0,5790.0,5710.0,5720.0,40330
2020-05-18,5630.0,5710.0,5630.0,5630.0,38910
2020-05-19,5640.0,5720.0,5620.0,5620.0,88110
2020-05-20,5660.0,5660.0,5230.0,5560.0,56770
2020-05-21,5550.0,5550.0,5420.0,5420.0,48220
2020-05-22,5400.0,5620.0,5330.0,5610.0,90580
2020-05-25,5610.0,5740.0,5520.0,5690.0,87800
2020-05-26,5690.0,6010.0,5690.0,5970.0,1173370
2020-05-27,6030.0,6090.0,5850.0,5850.0,182450
2020-05-28,5750.0,5910.0,5720.0,5750.0,80910
2020-05-29,5730.0,5910.0,5700.0,5830.0,132810
2020-06-01,5930.0,5930.0,5740.0,5850.0,95840
2020-06-02,5800.0,5850.0,5750.0,5760.0,142010
2020-06-03,5760.0,5850.0,5720.0,5770.0,78670
2020-06-04,5840.0,5930.0,5760.0,5780.0,130140
2020-06-05,5760.0,5850.0,5760.0,5830.0,172010
2020-06-08,5830.0,5970.0,5800.0,5930.0,390220
2020-06-09,5930.0,6050.0,5830.0,5930.0,548200
2020-06-10,5930.0,6130.0,5840.0,6130.0,680210
2020-06-11,6070.0,6090.0,5740.0,5740.0,327960
2020-06-12,5520.0,5680.0,5460.0,5520.0,434690
2020-06-15,5580.0,5580.0,5300.0,5300.0,406010
2020-06-16,5670.0,5670.0,5360.0,5520.0,146670
2020-06-17,5330.0,5720.0,5330.0,5580.0,98160
2020-06-18,5480.0,5600.0,5460.0,5580.0,72500
2020-06-19,5540.0,5700.0,5520.0,5670.0,77610
2020-06-22,5660.0,5660.0,5530.0,5660.0,85200
2020-06-23,5660.0,5800.0,5620.0,5680.0,171890
2020-06-24,5680.0,5720.0,5570.0,5650.0,108490
2020-06-25,5560.0,5660.0,5490.0,5630.0,68890
2020-06-26,5580.0,5590.0,5520.0,5550.0,95250
2020-06-29,5550.0,5550.0,5370.0,5390.0,130130
2020-06-30,5390.0,5540.0,5390.0,5480.0,180190
2020-07-01,5460.0,5540.0,5460.0,5500.0,30110
2020-07-02,5540.0,5600.0,5520.0,5600.0,28040
2020-07-03,5560.0,5630.0,5560.0,5620.0,70420
2020-07-06,5580.0,5710.0,5580.0,5710.0,66460
2020-07-07,5720.0,5740.0,5680.0,5730.0,115160
2020-07-08,5780.0,5840.0,5730.0,5840.0,72700
2020-07-09,5840.0,6010.0,5840.0,5970.0,362000
2020-07-10,5930.0,6030.0,5910.0,5920.0,570620
2020-07-13,5970.0,5970.0,5890.0,5930.0,70470
2020-07-14,5860.0,5950.0,5860.0,5930.0,75220
2020-07-15,5880.0,5930.0,5880.0,5890.0,98670
2020-07-16,5950.0,5970.0,5890.0,5890.0,28490
2020-07-17,5890.0,6010.0,5890.0,5990.0,192260
2020-07-20,6020.0,6170.0,6000.0,6080.0,256240
2020-07-21,6130.0,6200.0,6130.0,6140.0,336070
2020-07-22,6190.0,6190.0,6110.0,6130.0,170180
2020-07-23,6090.0,6130.0,6030.0,6050.0,77090
2020-07-24,6100.0,6100.0,5670.0,5890.0,458270
2020-07-27,5590.0,5780.0,5590.0,5680.0,240080
2020-07-28,5680.0,5970.0,5680.0,5940.0,185200
2020-07-29,5930.0,6000.0,5860.0,6000.0,204470
2020-07-30,5970.0,6340.0,5970.0,6320.0,448280
2020-07-31,6320.0,6430.0,6210.0,6400.0,279960
2020-08-03,6340.0,6400.0,6230.0,6330.0,415030
2020-08-04,6380.0,6660.0,6340.0,6570.0,532560
2020-08-05,6610.0,6640.0,6500.0,6540.0,418010
2020-08-06,6540.0,6650.0,6430.0,6640.0,362380
2020-08-07,6640.0,6680.0,6500.0,6500.0,235170
2020-08-10,6500.0,6540.0,6430.0,6480.0,222440
2020-08-11,6480.0,6520.0,6270.0,6300.0,449430
2020-08-12,6270.0,6380.0,6270.0,6380.0,90810
2020-08-13,6380.0,6440.0,6360.0,6380.0,80310
2020-08-14,6340.0,6400.0,6260.0,6260.0,170370
2020-08-17,6270.0,6620.0,6230.0,6620.0,256400
2020-08-18,6640.0,6830.0,6600.0,6600.0,366860
2020-08-19,6590.0,6660.0,6540.0,6540.0,150160
2020-08-20,6560.0,6640.0,6490.0,6540.0,184860
2020-08-21,6550.0,6710.0,6550.0,6710.0,431510
2020-08-24,6750.0,6820.0,6720.0,6780.0,464180
2020-08-25,6830.0,6920.0,6830.0,6900.0,522980
2020-08-26,6850.0,7000.0,6820.0,6990.0,315000
2020-08-27,7010.0,7140.0,6950.0,7130.0,1166100
2020-08-28,7180.0,7250.0,7070.0,7070.0,1534750
2020-08-31,7070.0,7120.0,6930.0,6950.0,495610
2020-09-01,6950.0,7180.0,6900.0,7150.0,467110
2020-09-03,7370.0,7370.0,7140.0,7150.0,551660
2020-09-04,7030.0,7210.0,6980.0,7150.0,307690
2020-09-07,7150.0,7200.0,7090.0,7110.0,232450
2020-09-08,7060.0,7180.0,7060.0,7110.0,144450
2020-09-09,7090.0,7330.0,7050.0,7280.0,505900
2020-09-10,7240.0,7390.0,7240.0,7340.0,175370
2020-09-11,7340.0,7470.0,7340.0,7450.0,176110
2020-09-14,7410.0,7510.0,7360.0,7360.0,209160
2020-09-15,7340.0,7430.0,7300.0,7300.0,256320
2020-09-16,7290.0,7390.0,7290.0,7380.0,98740
2020-09-17,7380.0,7410.0,7270.0,7280.0,308240
2020-09-18,7320.0,7390.0,7270.0,7370.0,153710
2020-09-21,7370.0,7410.0,7330.0,7340.0,92000
2020-09-22,7340.0,7340.0,7180.0,7260.0,507860
2020-09-23,7340.0,7390.0,7200.0,7390.0,255210
2020-09-24,7410.0,7410.0,7310.0,7370.0,53730
2020-09-25,7310.0,7390.0,7300.0,7340.0,130400
2020-09-28,7370.0,7410.0,7320.0,7410.0,214040
2020-09-29,7410.0,7420.0,7380.0,7380.0,345010
2020-09-30,7380.0,7700.0,7330.0,7700.0,522640
