date,open,high,low,close,volume
2019-09-03,43860.0,43990.0,43760.0,43860.0,58926
2019-09-04,43820.0,43820.0,43210.0,43340.0,50771
2019-09-05,43540.0,43540.0,40480.0,41130.0,183536
2019-09-06,41130.0,42410.0,40480.0,41450.0,88739
2019-09-09,41740.0,41860.0,41290.0,41740.0,54204
2019-09-10,41610.0,42410.0,41540.0,42410.0,31683
2019-09-11,42090.0,42730.0,42090.0,42730.0,26438
2019-09-12,42730.0,43050.0,42380.0,43050.0,34762
2019-09-13,43370.0,43370.0,42250.0,42410.0,8654
2019-09-16,41770.0,42730.0,41770.0,42730.0,28101
2019-09-17,42410.0,42700.0,42250.0,42440.0,37253
2019-09-18,42440.0,42730.0,42250.0,42440.0,15473
2019-09-19,41770.0,42480.0,41770.0,42030.0,48979
2019-09-20,42150.0,42250.0,41770.0,41930.0,32222
2019-09-23,41900.0,42090.0,41900.0,41900.0,18802
2019-09-24,41990.0,41990.0,41290.0,41610.0,38951
2019-09-25,41450.0,41930.0,41450.0,41930.0,19073
2019-09-26,41930.0,42150.0,41610.0,41770.0,9222
2019-09-27,41960.0,41960.0,41450.0,41930.0,17128
2019-09-30,42410.0,42410.0,41900.0,42090.0,15953
2019-10-01,42150.0,42640.0,42120.0,42640.0,39700
2019-10-02,42730.0,42730.0,41770.0,41930.0,9399
2019-10-03,41930.0,42250.0,41670.0,42250.0,20774
2019-10-04,42060.0,42090.0,41800.0,41830.0,8506
2019-10-07,42030.0,42090.0,41860.0,41900.0,23238
2019-10-08,41450.0,41990.0,41450.0,41770.0,37322
2019-10-09,41770.0,42090.0,41770.0,41770.0,35035
2019-10-10,42030.0,42030.0,41770.0,41770.0,10330
2019-10-11,41770.0,41800.0,41480.0,41510.0,46556
2019-10-14,41610.0,41770.0,41320.0,41350.0,18551
2019-10-15,41450.0,41640.0,41450.0,41610.0,34997
2019-10-16,41610.0,41770.0,41610.0,41770.0,18271
2019-10-17,41450.0,41900.0,40800.0,41130.0,14472
2019-10-18,41130.0,41740.0,41130.0,41190.0,14152
2019-10-21,40870.0,40970.0,40480.0,40800.0,36705
2019-10-22,40610.0,40800.0,40610.0,40710.0,29406
2019-10-23,40870.0,40870.0,40640.0,40800.0,58277
2019-10-24,40320.0,40770.0,40320.0,40480.0,36894
2019-10-25,40480.0,40550.0,40000.0,40030.0,21064
2019-10-28,40030.0,40130.0,39200.0,39680.0,81179
2019-10-29,39580.0,40000.0,39130.0,39200.0,44270
2019-10-30,39290.0,39580.0,39290.0,39490.0,20564
2019-10-31,39520.0,42090.0,39520.0,39490.0,64721
2019-11-01,40480.0,40480.0,39650.0,39840.0,29814
2019-11-04,40160.0,40900.0,40000.0,40870.0,116287
2019-11-05,41130.0,41410.0,41060.0,41290.0,80009
2019-11-06,41700.0,41700.0,41060.0,41060.0,10857
2019-11-07,40800.0,41250.0,40520.0,41250.0,28215
2019-11-08,41130.0,41220.0,40930.0,41000.0,6927
2019-11-11,40840.0,41510.0,40800.0,41510.0,60162
2019-11-12,41320.0,41610.0,41320.0,41410.0,28147
2019-11-13,41540.0,41540.0,41320.0,41380.0,50837
2019-11-14,40900.0,41350.0,40800.0,40800.0,1750
2019-11-15,41410.0,41480.0,41130.0,41380.0,54595
2019-11-18,41450.0,41450.0,41160.0,41380.0,7678
2019-11-19,40870.0,41380.0,40870.0,41380.0,6550
2019-11-20,41290.0,41290.0,40970.0,41130.0,2300
2019-11-21,41130.0,41130.0,40800.0,40800.0,16910
2019-11-22,40970.0,41000.0,34890.0,40320.0,15515
2019-11-25,40160.0,40190.0,40160.0,40190.0,13951
2019-11-26,40320.0,40420.0,40130.0,40130.0,17482
2019-11-27,40160.0,40160.0,39900.0,39940.0,15984
2019-11-28,39840.0,39840.0,38880.0,39200.0,23449
2019-11-29,39360.0,39360.0,37910.0,38590.0,9303
2019-12-02,38460.0,39170.0,38230.0,38460.0,4615
2019-12-03,37910.0,38560.0,37910.0,38560.0,14570
2019-12-04,38940.0,38940.0,38070.0,38070.0,2662
2019-12-05,37620.0,38560.0,37270.0,38230.0,15859
2019-12-06,37910.0,38680.0,37910.0,38520.0,1690
2019-12-09,38230.0,38230.0,37660.0,37880.0,20693
2019-12-10,38200.0,38200.0,37880.0,37880.0,33986
2019-12-11,37910.0,37910.0,37300.0,37590.0,32054
2019-12-12,37500.0,37500.0,36310.0,36950.0,38449
2019-12-13,36920.0,36920.0,36660.0,36660.0,30176
2019-12-16,36630.0,36630.0,35860.0,36020.0,38487
2019-12-17,35700.0,36370.0,35700.0,36370.0,32024
2019-12-18,36470.0,36470.0,36310.0,36400.0,36012
